name,canneal,canneal,canneal,canneal,canneal,canneal,canneal,canneal,canneal,canneal
runtime,34.03406524658203,2.853121280670166,15.522658824920654,8.793108463287354,6.620192766189575,5.419074058532715,4.492395877838135,3.9059982299804688,3.4917256832122803,3.155390739440918
l2miss,3591070.9433962265,27288511.818181816,6578421.3513513515,11888154.878048781,14186055.211267605,12898428.0,17039030.87719298,15680176.615384614,17979772.85714286,19980785.6
l3miss,900426.7924528301,6618456.818181817,1565647.1621621621,2705616.341463415,3388944.788732394,3069019.1999999997,4030929.824561403,3741130.7692307695,4320968.928571428,4790813.6
instructions,236824150.94339624,1377047894.5454547,445808450.4054054,789071835.3658535,876108226.1971831,845040661.8666667,1003195135.0877192,989972270.7692307,1133837396.0714285,1265320413.1999998
cycles,460066242.83018863,2051171654.090909,749462530.1351352,1133650535.8536584,1298191835.2112677,1224741999.2,1515836564.2105265,1454774782.7692308,1658413123.5714288,1866717293.1999998
stall_cycles,315663388.3018868,1222019855.4545455,479132236.0810811,664182819.2682927,769535102.2535211,719147239.4666667,905154512.9824561,858297378.7692308,975106339.6428572,1100501112.8
intra_coh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inter_coh,0.0,0.0,0.0,0.0,0.0,0.0,1.0526315789473684,3.6923076923076925,0.7142857142857142,0.0
wall_cycles,2102856216.6037736,2165764168.181818,2121542866.891892,2104202526.0975611,2146456920.8450704,2143781256.8000002,2104931477.5438597,2148869192.923077,2156788652.5,2176753666.8
llc_size,33686740.52830189,35578600.72727273,36027973.18918919,35132890.53658537,34284558.42253521,35504783.36,37770581.333333336,36031692.8,34965796.571428575,36593991.68
local_mem,50437989.43396226,364082269.09090906,80582711.35135135,145010388.29268295,180879360.0,176894771.20000002,215647932.63157892,203060775.3846154,253483885.7142857,238655897.60000002
remote_mem,123652.83018867925,3008698.1818181816,469379.45945945947,623391.2195121951,1532250.1408450704,3145728.0,2000572.6315789474,2117316.923076923,2083108.5714285714,1887436.7999999998
