name,streamcluster,streamcluster,streamcluster,streamcluster,streamcluster,streamcluster,streamcluster,streamcluster,streamcluster,streamcluster
runtime,15.790497303009033,1.6254587173461914,7.994792938232422,4.513734579086304,3.4284212589263916,2.8362393379211426,2.4251182079315186,2.1420912742614746,1.9057996273040771,1.7779912948608398
l2miss,9490893.333333334,53783833.684210524,14614428.108108109,18742722.666666664,42809007.85714285,43247958.4,36230546.89655173,38130502.75862069,44272819.2,49895393.63636363
l3miss,30865.098039215685,151890.52631578947,41126.48648648648,52961.66666666667,114403.57142857143,129640.0,97031.72413793103,106677.93103448275,121932.8,138123.63636363635
instructions,640673436.862745,3605699469.4736843,980717256.2162162,1253068608.0,2874639352.1428576,2901347537.6,2439123766.896552,2558617915.172414,2973615377.6,3348015429.0909095
cycles,456965126.2745098,2017049400.0,690581255.1351352,730714334.0,1622799817.142857,1637835516.0,1375433257.2413793,1436140782.0689654,1669206094.4,1880381431.818182
stall_cycles,123423665.09803921,247750547.36842108,180596066.4864865,107763708.66666667,204050398.5714286,205068621.6,170537995.86206898,177965996.55172414,205618469.60000002,231780489.0909091
intra_coh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inter_coh,0.0,4.2105263157894735,0.0,0.0,2.142857142857143,0.0,0.0,0.0,3.2,2.727272727272727
wall_cycles,2162025397.647059,2291438498.9473686,2140402474.3243244,2158960542.333333,2103394063.5714288,2224353419.2,2213833157.2413793,2213760590.3448277,2217925684.7999997,2259517049.090909
llc_size,59110.901960784315,10347.78947368421,0.0,2184.5333333333333,14043.42857142857,13107.2,79095.1724137931,72315.58620689655,7864.32,0.0
local_mem,77101.17647058824,68985.26315789473,0.0,21845.333333333332,46811.428571428565,52428.8,180788.9655172414,180788.9655172414,104857.6,0.0
remote_mem,102801.56862745098,137970.52631578947,0.0,21845.333333333332,234057.14285714287,2673868.8,90394.4827586207,90394.4827586207,104857.6,0.0
