l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
680612,114224,88988166,86896066,38311981,0,0,339080976,19857408,22544384,0
697938,108612,86723428,87214426,39464497,0,0,105080448,23068672,5570560,0
716531,106225,84975638,87351191,40355842,0,0,105169386,25559040,5046272,327680
740296,104550,83624750,87453695,40926334,0,0,105143025,27328512,5373952,0
754111,105415,82538359,87612900,41504406,0,0,105142536,29032448,7340032,131072
767807,107769,81436329,87637301,42048841,0,0,105146655,30474240,11862016,0
778257,109769,80657592,87714975,42469945,0,0,105144576,31195136,8060928,65536
790775,112935,79765951,87702327,42860544,0,0,105068034,31588352,10616832,0
806545,113675,78835553,87617431,43089697,0,0,105046995,32178176,10551296,196608
809624,116453,77909274,87649823,43445196,0,0,105163641,32636928,10092544,262144
811352,114756,76788932,87612159,43793183,0,0,105143502,32768000,10551296,0
813804,118115,75524987,87896028,44500382,0,0,105163932,33161216,10354688,393216
816399,119253,75044435,87882989,44652045,0,0,105152064,33357824,10223616,0
819229,118597,74368821,87981478,44993627,0,0,105145836,33488896,7405568,327680
824955,121644,73783426,87927463,45226213,0,0,105144369,33882112,11141120,0
820028,122416,73512250,88011079,45425036,0,0,105148908,34144256,9109504,131072
821567,122918,73171456,87978783,45591623,0,0,105142986,34537472,10420224,196608
818300,122519,72740144,88010803,45820892,0,0,105142299,34603008,10616832,0
821114,123170,72486664,87954872,45797328,0,0,105158490,34799616,11403264,131072
818958,123205,72083274,87910531,46043334,0,0,104988288,34406400,12189696,196608
821340,126704,71668739,87950317,46336113,0,0,105155997,34603008,9240576,0
813569,127644,71309053,87989647,46595596,0,0,105153720,34865152,11665408,0
820732,125845,71058369,87988454,46805618,0,0,105153816,34930688,12976128,196608
820235,125739,71024688,87915491,46902535,0,0,105134421,35061760,13041664,0
817394,130889,70708760,88084978,47112061,0,0,105157746,35061760,11665408,0
822448,128109,70513825,88040249,47243816,0,0,105144168,35258368,12124160,131072
767581,215400,51344527,88357983,58621930,0,1,105200973,35389440,19070976,655360
852359,280150,37600316,89654018,63441363,0,0,105130299,35389440,17104896,0
914577,265659,40419414,89672362,61231809,0,0,105156159,36110336,10747904,65536
945533,262587,41930869,89493770,60051077,0,0,105150483,37027840,9699328,0
950942,260291,42200099,89669497,60112476,0,0,105145872,38207488,7340032,65536
952265,257726,42148044,89490358,60011981,0,0,105155067,38666240,5308416,0
959555,260686,42501619,89636766,59865585,0,0,105150264,38993920,6684672,65536
961799,261482,42701151,89680869,59892984,0,0,105167241,39321600,5767168,0
959301,262050,42906095,89686648,59961425,0,0,105068622,39518208,5832704,196608
961450,262210,43104407,89695449,59904579,0,0,105225543,39780352,7733248,0
965970,261962,43022101,89631245,59932444,0,0,105154113,39845888,5570560,65536
965058,260733,43024337,89678474,59990239,0,0,105150744,39845888,7012352,0
967765,259593,43250574,89636678,59768958,0,0,105152412,39976960,6160384,0
966594,260172,43278363,89695669,59811278,0,0,105167757,39976960,5701632,0
979654,264829,44142918,89558904,59264432,0,0,105135666,39714816,7995392,131072
986637,264699,43952598,89696481,59323887,0,0,105163203,39649280,5767168,0
970890,260568,43371557,89620863,59595909,0,0,105136677,39714816,7733248,131072
969588,258595,43344161,89662610,59672759,0,0,105125220,39649280,5636096,0
968730,259819,43513711,89686432,59656124,0,0,105149619,39976960,6094848,131072
972182,259408,43465712,89650854,59638587,0,0,105153102,40042496,7340032,0
640470,208424,35930504,73722528,48202888,0,0,105127095,39845888,6094848,65536
1200375,355677,17628453,76258640,58982953,0,0,105119511,39976960,14614528,131072
1424042,458139,15604519,89530785,75560276,0,0,105187602,40173568,21102592,65536
1411174,452362,15375821,89580415,75846140,0,0,105166356,39976960,16515072,0
1400594,452889,15165237,89681674,76120035,0,0,105166212,39976960,16515072,131072
1235991,470281,25946976,89551649,71013317,0,0,105181227,40173568,28508160,1572864
1566594,842468,24106918,89629698,71484078,0,0,105108762,40501248,45613056,0
827070,562505,28039027,89634831,72603708,0,0,105210171,40108032,63111168,0
80112,216411,11220958,32758009,20510036,0,0,105290916,38207488,32309248,0
