l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
341023,52336,53696689,46426898,17944016,0,0,284552598,8388608,6160384,0
438342,65010,67091534,57862218,22531673,0,0,104982224,11272192,2883584,131072
362575,52084,52591456,45917101,18116570,0,0,105093443,12976128,1966080,0
478314,65474,65713244,58938765,23798436,0,0,105619760,16056320,3735552,0
313084,42376,40830401,37259013,15289948,0,0,105303459,17432576,1769472,0
513010,67070,64841881,60012843,25044924,0,0,104874567,19333120,2621440,262144
385053,49675,47507332,44321033,18744307,0,0,105562055,21102592,2621440,0
533040,69159,64104528,61010207,26306023,0,0,105008368,22216704,2424832,131072
314683,41252,36743838,35421940,15480763,0,0,105244098,23003136,917504,0
554333,73004,63020338,61758972,27346528,0,0,105165387,25493504,6356992,0
390470,50598,43608109,42665000,18879174,0,0,105107269,26542080,2555904,0
578071,76110,62664430,63080652,28668352,0,0,105618343,27787264,4915200,0
388056,51257,41697439,41921841,19088265,0,0,105266363,28508160,2883584,0
601782,80458,62836648,64198146,29577583,0,0,105411559,29622272,5636096,131072
307846,41304,31828065,32731242,15167471,0,0,105021131,29949952,2031616,0
612889,84761,61960529,64729674,30335727,0,0,105526910,31391744,6619136,131072
378214,52493,37790773,39766899,18649505,0,0,105004306,31981568,3604480,0
630172,87138,62061584,66073500,31362218,0,0,105603493,32309248,6160384,65536
374089,49329,36272255,38832307,18545263,0,0,104976043,32833536,3670016,0
651226,89114,62421844,67390001,32388157,0,0,105216742,33554432,8454144,458752
287603,40880,27301538,29577751,14229951,0,0,105078815,33882112,3080192,0
648587,92251,60972400,67447043,33048363,0,0,105164430,34209792,8323072,65536
358715,51675,33703746,37050252,18108032,0,0,105204160,34406400,2162688,0
672913,95338,61960295,68471581,33334453,0,0,105595023,34537472,7536640,196608
278264,37337,25470606,28025073,13677296,0,0,105157080,34799616,2359296,0
684915,100726,62990943,70163955,34439460,0,0,105410512,34996224,7995392,65536
340809,49559,31508679,35112283,17249711,0,0,105402034,35192832,4325376,0
698933,102676,63045855,71060992,35191160,0,0,105067730,34668544,12451840,393216
333911,52027,30023623,34047676,16928692,0,0,105329276,34537472,3801088,0
700188,103115,63401185,71806146,35735255,0,0,104897641,34537472,10616832,0
245897,47169,21674027,24934135,12551616,0,0,105435839,34668544,3080192,0
723303,109836,64530924,73187864,36943411,0,1,104854222,34734080,8781824,262144
312856,48296,28272036,32353078,16255967,0,0,105371267,34799616,4849664,0
721051,109907,63625874,73335453,37033678,0,0,105048631,35127296,11534336,262144
226105,35039,20395902,23288730,11836728,0,0,105584311,35192832,1507328,0
723513,111453,64196581,74579599,38138990,0,0,105082440,35651584,8650752,589824
298928,43760,26174790,30501869,15568453,0,0,105314259,35717120,3670016,0
742253,115851,65417653,76105940,38888233,0,0,105344416,35782656,10158080,393216
280772,44805,25025860,29356553,15077645,0,0,105198912,36044800,4063232,0
747417,117035,65573742,77130005,39690316,0,0,105125874,36372480,9895936,589824
195798,32132,17229776,20263501,10459119,0,0,105627287,36241408,2162688,0
755124,118596,66037205,77640815,40193310,0,0,104862583,36438016,12058624,65536
269420,44171,22811390,27442985,14251682,0,0,105124239,36503552,2686976,0
