l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
1980268,5039,132010057,79533258,11572236,0,0,279795222,0,0,0
1982880,5103,133111445,79637819,11555541,0,0,105287015,0,0,0
1987798,4946,132874857,79662326,11781504,0,0,105452863,0,0,0
2029452,5230,136802147,79633548,11564271,0,0,105006739,0,0,0
2022252,4964,135758803,79535120,11517263,0,0,105288185,0,0,0
2036639,4979,135668533,79680566,11586561,0,0,105667389,0,0,0
2020287,5086,136251367,79671595,11519394,0,0,104893327,0,0,0
2049209,8982,136243922,79546775,11615140,0,0,105412514,0,0,0
2057063,7060,137842918,79666977,11466854,0,0,105231334,0,0,0
2052192,5065,137867525,79577582,11397172,0,0,105178696,0,0,0
2067923,5118,138338608,79579930,11409727,0,0,105182263,0,0,0
2062326,6809,138483832,79538470,11419586,0,0,105163900,0,0,0
2076700,4839,138979079,79552794,11432283,0,0,105153263,0,0,0
2069390,4738,139054963,79568435,11194913,0,0,105158103,0,0,0
2029508,4878,139349759,78962530,11464739,0,0,105165802,0,0,0
2060739,4840,138991686,79540649,11318966,0,0,105158990,0,0,0
2076939,4857,139063832,79578898,11364225,0,0,105139570,0,0,0
2068160,4976,139159119,79515950,11269121,0,0,105213612,0,0,0
2072202,4768,138876011,79490752,11325478,0,0,105202509,0,0,0
2084805,5747,139575197,79543595,11302997,0,0,105159224,0,0,0
2070475,4808,139269045,79539141,11276933,0,0,105145740,0,0,0
2078605,4828,139627885,79599340,11312162,0,0,105206250,0,0,0
2070285,4908,139420173,79572582,11359879,0,0,105298297,0,0,0
2076746,4812,139365043,79575831,11255655,0,0,105567867,0,0,0
2087025,4712,139780466,79613000,11326640,0,0,104902644,0,0,0
2084942,4679,139391835,79613638,11301812,0,0,105407186,0,0,0
775902,2866,50387218,28323958,3907817,0,0,105338122,196608,131072,65536
