l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
2649884,7905,177291524,104484059,13858271,0,0,255165119,0,0,1245184
2658499,8084,177680557,104713387,13746350,0,0,104656505,65536,0,393216
2467814,7306,164803135,96777445,12607708,0,0,105074800,0,0,0
2645879,8062,176827872,104300127,13660309,0,0,105433316,0,0,0
2487752,7603,166496767,94957182,11933102,0,0,105570666,0,0,0
2684679,7758,179495027,102305504,12982642,0,0,105557186,0,0,0
2650034,8087,176201924,101032796,12823528,0,0,105075681,0,0,0
2434041,9324,162906255,92094094,11556210,0,0,105241769,0,0,0
2648347,7753,177996597,99538606,12306109,0,0,105109954,0,0,0
2412523,7298,161442930,90350516,11223113,0,0,105338285,0,0,65536
2621824,9105,176017239,97731777,11856791,0,0,105375589,0,0,0
2598723,7233,174743019,96767442,11810656,0,0,104809347,0,0,0
2347112,6687,157246018,87357335,10744674,0,0,105187257,0,0,0
2545011,7224,171048454,94837487,11572397,0,0,105017025,0,0,0
2290963,6181,154084506,85232673,10365337,0,0,105228921,0,0,0
2494567,7465,166881828,92576094,11293118,0,0,105239822,0,0,0
2470622,7051,165557072,91600671,11067983,0,0,105314097,0,0,0
2165390,6392,142598808,80672574,10716844,0,0,105445999,0,0,65536
486886,1345,32607816,18177799,2204725,0,0,104858114,0,0,393216
2420332,6900,162238838,89759951,10868454,0,0,105130013,0,0,65536
499279,1477,32893476,18215817,2456483,0,0,105464835,0,0,393216
2169737,5730,145815334,80632702,9759552,0,0,105180413,0,0,65536
2373395,5992,159568927,87973651,10609890,0,0,105199053,0,0,0
539211,1512,36365451,20141643,2497181,0,0,105201299,0,0,458752
297444,2576,27875048,15063063,1814350,0,0,105566709,262144,65536,196608
