instructions:u,cycles:u
176814,230529
5588609,2138917
6631767,2228846
1588355,544527
5394877,2064539
1212709,586085
6210952,2261664
6088820,2181826
912187,451024
282097,451520
4003913,1657516
1393540,680031
852499,869707
120233,218929
769170,597486
907610,815131
303828,446906
399190,321164
914288,889591
853784,832125
733082,1136793
1118586,182401
301934,453139
572877,409029
58071,139400
853616,731192
258703,391913
929871,893861
40351,51487
646781,435664
105497,185986
907023,843345
169555,215953
989829,871002
1372275,960838
758485,562886
935312,819680
299667,443934
734590,480892
33901,12062
300344,445906
618242,430019
98105,170881
1350646,971797
185962,263997
1099315,918497
1331460,956710
837210,605044
966823,887925
298585,441070
748991,473359
28435,8316
299268,444087
646593,440331
49504,136630
1430340,949347
170283,272034
1007565,877310
1065536,925518
40085,42552
859,3654
193093,211622
1042273,917296
764016,693783
393253,285810
1240322,951534
1183521,975387
1573495,1273837
1007555,918481
193399,247201
0,None
3200,14640
1230717,669229
112644,190643
1054260,898209
230894,310433
1822908,1362211
1057000,883770
28053,113582
1120510,921203
1448363,991002
966268,833796
135852,84223
90496,152811
1023938,830811
294940,394151
820773,466734
1423431,1075522
297827,436585
690069,413697
1092406,923971
1307125,995732
1930958,1357939
1317995,949634
23327,91483
1383025,966828
114260,209699
1328722,911776
228110,309973
1411762,998102
1062360,569810
300253,436083
1094093,613812
109537,188463
1412378,1038039
1352967,844386
596,9279
102700,173262
1332427,927184
292319,367212
1462813,1028554
1030741,603985
None,None
421641,595278
787086,526198
1199962,911612
946507,889268
1586504,1038273
124794,238505
1201941,759406
1137939,941239
300910,438570
845195,476298
1120598,961709
1358168,940245
1747277,1293816
1164272,848873
40424,131441
1362976,912387
131366,245352
1012377,820925
476918,447472
1859393,1199447
1258243,977912
600255,291293
299698,437212
642096,383174
1216699,939194
1093981,762502
908425,526424
110112,189961
1253704,956535
1118597,938433
1550323,955538
298331,444675
1315987,671824
957895,809696
708070,475576
1487965,998961
1254991,964610
1289573,817522
185452,285354
1125946,992198
1317289,990859
763115,439968
1172332,959979
1135873,785799
980238,546871
90709,160714
1316938,981140
1092694,904081
1440726,1105345
1524961,1081042
448275,470280
2783947,1741861
1641861,976469
6998,59179
1275725,908777
111463,202368
1426803,970564
276692,347693
1569797,1054375
992949,540875
298412,445417
1336843,988856
866178,529577
107630,190486
1662735,1066831
1581741,1028086
1308030,933271
596,8870
89253,163230
1311248,971992
1171151,944508
1728696,1087578
297813,429209
556503,337596
1313160,953585
1351955,955047
1764775,1079243
1483944,1022831
1561945,838480
1370903,1022615
299677,444727
465623,293686
964650,880045
1292921,892403
884268,546738
89989,163883
1405217,996804
1726008,1059404
1516144,1033664
300919,425275
107374,139260
1122694,955631
1428308,929360
1135976,850511
511370,432931
2535235,1458856
1423742,982648
180043,215359
1626002,1098457
