starttime	seconds	ctime	dtime	ttime	wait
Thu Jan 10 01:55:06 2019	1547052906	0	275	275	149
Thu Jan 10 01:55:03 2019	1547052903	2	276	277	2
Thu Jan 10 01:55:08 2019	1547052908	0	287	287	31
Thu Jan 10 01:55:08 2019	1547052908	0	300	300	68
Thu Jan 10 01:55:08 2019	1547052908	0	300	300	91
Thu Jan 10 01:55:08 2019	1547052908	0	302	303	89
Thu Jan 10 01:55:07 2019	1547052907	0	319	320	66
Thu Jan 10 01:55:08 2019	1547052908	0	350	350	218
Thu Jan 10 01:55:08 2019	1547052908	0	351	351	60
Thu Jan 10 01:55:08 2019	1547052908	0	358	358	102
Thu Jan 10 01:55:08 2019	1547052908	0	365	365	31
Thu Jan 10 01:55:03 2019	1547052903	2	375	377	138
Thu Jan 10 01:55:03 2019	1547052903	2	378	379	59
Thu Jan 10 01:55:03 2019	1547052903	2	378	380	58
Thu Jan 10 01:55:08 2019	1547052908	0	394	395	31
Thu Jan 10 01:55:03 2019	1547052903	3	415	418	59
Thu Jan 10 01:55:08 2019	1547052908	0	421	421	248
Thu Jan 10 01:55:08 2019	1547052908	0	422	423	67
Thu Jan 10 01:55:03 2019	1547052903	3	421	424	2
Thu Jan 10 01:55:08 2019	1547052908	0	431	431	125
Thu Jan 10 01:55:08 2019	1547052908	0	434	434	102
Thu Jan 10 01:55:08 2019	1547052908	0	435	435	101
Thu Jan 10 01:55:08 2019	1547052908	0	451	451	68
Thu Jan 10 01:55:08 2019	1547052908	0	456	456	68
Thu Jan 10 01:55:08 2019	1547052908	0	461	461	105
Thu Jan 10 01:55:08 2019	1547052908	0	467	467	174
Thu Jan 10 01:55:03 2019	1547052903	3	466	469	3
Thu Jan 10 01:55:08 2019	1547052908	0	480	480	291
Thu Jan 10 01:55:08 2019	1547052908	0	484	484	70
Thu Jan 10 01:55:08 2019	1547052908	0	484	485	69
Thu Jan 10 01:55:08 2019	1547052908	0	484	485	69
Thu Jan 10 01:55:08 2019	1547052908	0	485	485	68
Thu Jan 10 01:55:08 2019	1547052908	0	485	485	91
Thu Jan 10 01:55:08 2019	1547052908	0	485	486	69
Thu Jan 10 01:55:08 2019	1547052908	0	487	487	69
Thu Jan 10 01:55:08 2019	1547052908	0	491	492	90
Thu Jan 10 01:55:08 2019	1547052908	0	499	499	228
Thu Jan 10 01:55:03 2019	1547052903	2	506	507	57
Thu Jan 10 01:55:03 2019	1547052903	2	507	509	135
Thu Jan 10 01:55:03 2019	1547052903	2	508	510	58
Thu Jan 10 01:55:08 2019	1547052908	0	519	519	70
Thu Jan 10 01:55:08 2019	1547052908	0	523	523	213
Thu Jan 10 01:55:08 2019	1547052908	0	535	536	68
Thu Jan 10 01:55:08 2019	1547052908	0	535	536	173
Thu Jan 10 01:55:08 2019	1547052908	0	536	536	69
Thu Jan 10 01:55:08 2019	1547052908	0	540	540	69
Thu Jan 10 01:55:03 2019	1547052903	2	553	554	57
Thu Jan 10 01:55:03 2019	1547052903	3	553	555	2
Thu Jan 10 01:55:08 2019	1547052908	0	566	566	243
Thu Jan 10 01:55:03 2019	1547052903	2	580	582	57
Thu Jan 10 01:55:03 2019	1547052903	2	580	582	151
Thu Jan 10 01:55:03 2019	1547052903	2	581	583	59
Thu Jan 10 01:55:03 2019	1547052903	3	581	584	2
Thu Jan 10 01:55:03 2019	1547052903	2	582	584	57
Thu Jan 10 01:55:03 2019	1547052903	2	583	585	57
Thu Jan 10 01:55:03 2019	1547052903	3	585	588	2
Thu Jan 10 01:55:03 2019	1547052903	2	593	595	77
Thu Jan 10 01:55:07 2019	1547052907	0	609	609	35
Thu Jan 10 01:55:07 2019	1547052907	0	610	610	125
Thu Jan 10 01:55:05 2019	1547052905	0	610	610	242
Thu Jan 10 01:55:08 2019	1547052908	0	610	611	410
Thu Jan 10 01:55:05 2019	1547052905	0	615	616	416
Thu Jan 10 01:55:05 2019	1547052905	0	628	628	1
Thu Jan 10 01:55:05 2019	1547052905	0	630	630	377
Thu Jan 10 01:55:07 2019	1547052907	0	630	631	24
Thu Jan 10 01:55:07 2019	1547052907	0	631	631	24
Thu Jan 10 01:55:07 2019	1547052907	0	635	635	59
Thu Jan 10 01:55:07 2019	1547052907	0	643	643	69
Thu Jan 10 01:55:07 2019	1547052907	0	644	644	232
Thu Jan 10 01:55:07 2019	1547052907	0	644	644	178
Thu Jan 10 01:55:07 2019	1547052907	0	646	647	180
Thu Jan 10 01:55:07 2019	1547052907	0	646	647	181
Thu Jan 10 01:55:07 2019	1547052907	0	646	647	210
Thu Jan 10 01:55:07 2019	1547052907	1	647	648	293
Thu Jan 10 01:55:07 2019	1547052907	0	647	648	292
Thu Jan 10 01:55:08 2019	1547052908	0	650	650	381
Thu Jan 10 01:55:07 2019	1547052907	0	650	650	254
Thu Jan 10 01:55:07 2019	1547052907	0	651	651	294
Thu Jan 10 01:55:08 2019	1547052908	0	654	655	423
Thu Jan 10 01:55:08 2019	1547052908	0	657	657	425
Thu Jan 10 01:55:05 2019	1547052905	0	668	668	20
Thu Jan 10 01:55:08 2019	1547052908	0	679	679	437
Thu Jan 10 01:55:04 2019	1547052904	0	679	680	428
Thu Jan 10 01:55:08 2019	1547052908	0	683	683	467
Thu Jan 10 01:55:03 2019	1547052903	2	692	694	380
Thu Jan 10 01:55:04 2019	1547052904	0	703	704	458
Thu Jan 10 01:55:08 2019	1547052908	0	709	709	456
Thu Jan 10 01:55:05 2019	1547052905	0	716	716	319
Thu Jan 10 01:55:05 2019	1547052905	0	725	726	150
Thu Jan 10 01:55:05 2019	1547052905	0	726	726	326
Thu Jan 10 01:55:08 2019	1547052908	0	730	730	559
Thu Jan 10 01:55:08 2019	1547052908	0	731	731	278
Thu Jan 10 01:55:08 2019	1547052908	0	738	738	214
Thu Jan 10 01:55:08 2019	1547052908	0	738	738	424
Thu Jan 10 01:55:08 2019	1547052908	0	748	748	470
Thu Jan 10 01:55:03 2019	1547052903	3	746	749	2
Thu Jan 10 01:55:03 2019	1547052903	2	747	750	345
Thu Jan 10 01:55:08 2019	1547052908	0	755	755	540
Thu Jan 10 01:55:05 2019	1547052905	0	762	762	170
Thu Jan 10 01:55:08 2019	1547052908	0	769	769	455
Thu Jan 10 01:55:08 2019	1547052908	0	769	769	240
Thu Jan 10 01:55:08 2019	1547052908	0	771	772	559
Thu Jan 10 01:55:05 2019	1547052905	0	778	778	208
Thu Jan 10 01:55:05 2019	1547052905	0	781	782	376
Thu Jan 10 01:55:06 2019	1547052906	0	781	782	29
Thu Jan 10 01:55:08 2019	1547052908	0	788	788	617
Thu Jan 10 01:55:05 2019	1547052905	0	792	792	392
Thu Jan 10 01:55:05 2019	1547052905	0	794	794	534
Thu Jan 10 01:55:08 2019	1547052908	0	797	797	436
Thu Jan 10 01:55:08 2019	1547052908	0	801	801	457
Thu Jan 10 01:55:08 2019	1547052908	0	802	803	367
Thu Jan 10 01:55:08 2019	1547052908	0	804	804	458
Thu Jan 10 01:55:05 2019	1547052905	0	808	808	341
Thu Jan 10 01:55:04 2019	1547052904	0	818	818	429
Thu Jan 10 01:55:06 2019	1547052906	0	824	824	165
Thu Jan 10 01:55:08 2019	1547052908	0	824	825	558
Thu Jan 10 01:55:06 2019	1547052906	1	826	826	168
Thu Jan 10 01:55:07 2019	1547052907	0	828	828	24
Thu Jan 10 01:55:05 2019	1547052905	0	830	830	469
Thu Jan 10 01:55:05 2019	1547052905	0	839	839	420
Thu Jan 10 01:55:06 2019	1547052906	0	840	840	155
Thu Jan 10 01:55:08 2019	1547052908	0	841	842	411
Thu Jan 10 01:55:07 2019	1547052907	0	843	843	179
Thu Jan 10 01:55:07 2019	1547052907	0	843	843	181
Thu Jan 10 01:55:08 2019	1547052908	0	849	849	692
Thu Jan 10 01:55:08 2019	1547052908	0	851	852	556
Thu Jan 10 01:55:08 2019	1547052908	0	853	853	560
Thu Jan 10 01:55:08 2019	1547052908	0	854	854	541
Thu Jan 10 01:55:03 2019	1547052903	2	854	856	418
Thu Jan 10 01:55:08 2019	1547052908	0	855	856	600
Thu Jan 10 01:55:04 2019	1547052904	0	857	857	556
Thu Jan 10 01:55:07 2019	1547052907	0	860	861	254
Thu Jan 10 01:55:07 2019	1547052907	0	860	861	255
Thu Jan 10 01:55:06 2019	1547052906	0	865	865	297
Thu Jan 10 01:55:03 2019	1547052903	0	866	866	161
Thu Jan 10 01:55:08 2019	1547052908	0	867	867	617
Thu Jan 10 01:55:08 2019	1547052908	0	867	867	583
Thu Jan 10 01:55:08 2019	1547052908	0	867	867	448
Thu Jan 10 01:55:08 2019	1547052908	0	869	869	558
Thu Jan 10 01:55:08 2019	1547052908	0	870	871	617
Thu Jan 10 01:55:04 2019	1547052904	0	871	871	790
