starttime	seconds	ctime	dtime	ttime	wait
Thu Jan 10 01:55:01 2019	1547052901	0	16	16	1
Thu Jan 10 01:55:11 2019	1547052911	0	16	16	1
Thu Jan 10 01:55:02 2019	1547052902	0	16	16	1
Thu Jan 10 01:55:02 2019	1547052902	0	16	16	1
Thu Jan 10 01:55:00 2019	1547052900	0	16	16	1
Thu Jan 10 01:55:00 2019	1547052900	0	16	16	1
Thu Jan 10 01:55:11 2019	1547052911	0	16	16	1
Thu Jan 10 01:55:13 2019	1547052913	0	16	16	1
Thu Jan 10 01:55:00 2019	1547052900	0	16	17	1
Thu Jan 10 01:55:02 2019	1547052902	0	16	17	1
Thu Jan 10 01:55:02 2019	1547052902	0	16	17	1
Thu Jan 10 01:55:02 2019	1547052902	0	16	17	1
Thu Jan 10 01:55:13 2019	1547052913	0	16	17	1
Thu Jan 10 01:55:02 2019	1547052902	0	16	17	1
Thu Jan 10 01:55:10 2019	1547052910	0	16	17	1
Thu Jan 10 01:55:10 2019	1547052910	0	16	17	1
Thu Jan 10 01:55:11 2019	1547052911	0	16	17	1
Thu Jan 10 01:55:00 2019	1547052900	0	17	17	1
Thu Jan 10 01:55:11 2019	1547052911	0	16	17	1
Thu Jan 10 01:55:02 2019	1547052902	0	16	17	1
Thu Jan 10 01:55:12 2019	1547052912	0	16	17	1
Thu Jan 10 01:55:00 2019	1547052900	0	17	17	1
Thu Jan 10 01:55:03 2019	1547052903	0	17	17	1
Thu Jan 10 01:55:10 2019	1547052910	0	16	17	1
Thu Jan 10 01:55:03 2019	1547052903	0	16	17	1
Thu Jan 10 01:55:02 2019	1547052902	0	17	17	1
Thu Jan 10 01:55:10 2019	1547052910	0	17	17	1
Thu Jan 10 01:55:11 2019	1547052911	0	17	17	1
Thu Jan 10 01:55:02 2019	1547052902	0	17	17	1
Thu Jan 10 01:55:02 2019	1547052902	0	17	17	1
Thu Jan 10 01:55:12 2019	1547052912	0	17	17	1
Thu Jan 10 01:55:03 2019	1547052903	0	17	17	1
Thu Jan 10 01:55:10 2019	1547052910	0	17	17	1
Thu Jan 10 01:55:03 2019	1547052903	0	17	17	1
Thu Jan 10 01:55:13 2019	1547052913	0	17	17	1
Thu Jan 10 01:55:01 2019	1547052901	0	17	17	1
Thu Jan 10 01:55:10 2019	1547052910	0	17	17	1
Thu Jan 10 01:55:10 2019	1547052910	0	17	17	1
Thu Jan 10 01:55:13 2019	1547052913	0	17	17	1
Thu Jan 10 01:55:01 2019	1547052901	0	17	17	1
Thu Jan 10 01:55:12 2019	1547052912	0	17	17	1
Thu Jan 10 01:55:00 2019	1547052900	0	17	17	1
Thu Jan 10 01:55:01 2019	1547052901	0	17	17	1
Thu Jan 10 01:55:12 2019	1547052912	0	17	17	1
Thu Jan 10 01:55:03 2019	1547052903	0	17	17	1
Thu Jan 10 01:55:12 2019	1547052912	0	17	17	1
Thu Jan 10 01:55:01 2019	1547052901	0	17	17	1
Thu Jan 10 01:55:12 2019	1547052912	0	17	17	1
Thu Jan 10 01:55:11 2019	1547052911	0	17	17	1
Thu Jan 10 01:55:10 2019	1547052910	0	17	17	1
Thu Jan 10 01:55:12 2019	1547052912	0	17	17	1
Thu Jan 10 01:55:13 2019	1547052913	0	17	17	1
Thu Jan 10 01:55:10 2019	1547052910	0	17	17	1
Thu Jan 10 01:55:13 2019	1547052913	0	17	17	1
Thu Jan 10 01:55:12 2019	1547052912	0	17	17	1
Thu Jan 10 01:55:13 2019	1547052913	0	17	17	1
Thu Jan 10 01:55:11 2019	1547052911	0	17	17	1
Thu Jan 10 01:55:01 2019	1547052901	0	17	17	1
Thu Jan 10 01:55:02 2019	1547052902	0	17	17	1
Thu Jan 10 01:55:01 2019	1547052901	0	17	17	1
Thu Jan 10 01:55:11 2019	1547052911	0	17	17	1
Thu Jan 10 01:55:12 2019	1547052912	0	17	17	1
Thu Jan 10 01:55:10 2019	1547052910	0	17	17	1
Thu Jan 10 01:55:13 2019	1547052913	0	17	17	1
Thu Jan 10 01:55:02 2019	1547052902	0	17	17	1
Thu Jan 10 01:55:01 2019	1547052901	0	17	17	1
Thu Jan 10 01:55:11 2019	1547052911	0	17	17	1
Thu Jan 10 01:55:03 2019	1547052903	0	17	17	1
Thu Jan 10 01:55:02 2019	1547052902	0	17	17	1
Thu Jan 10 01:55:13 2019	1547052913	0	17	17	1
Thu Jan 10 01:55:03 2019	1547052903	0	17	17	1
Thu Jan 10 01:55:12 2019	1547052912	0	17	17	1
