starttime	seconds	ctime	dtime	ttime	wait
Wed Jan 09 22:50:09 2019	1547041809	0	16	16	1
Wed Jan 09 22:50:06 2019	1547041806	0	16	16	1
Wed Jan 09 22:50:09 2019	1547041809	0	16	16	1
Wed Jan 09 22:50:10 2019	1547041810	0	16	16	1
Wed Jan 09 22:49:59 2019	1547041799	0	16	16	1
Wed Jan 09 22:50:00 2019	1547041800	0	16	16	1
Wed Jan 09 22:50:09 2019	1547041809	0	16	16	1
Wed Jan 09 22:50:09 2019	1547041809	0	16	16	1
Wed Jan 09 22:50:10 2019	1547041810	0	16	16	1
Wed Jan 09 22:50:10 2019	1547041810	0	16	16	1
Wed Jan 09 22:50:09 2019	1547041809	0	16	16	1
Wed Jan 09 22:50:08 2019	1547041808	0	16	16	1
Wed Jan 09 22:49:58 2019	1547041798	0	16	16	1
Wed Jan 09 22:49:58 2019	1547041798	0	16	16	1
Wed Jan 09 22:50:07 2019	1547041807	0	16	16	1
Wed Jan 09 22:50:08 2019	1547041808	0	16	16	1
Wed Jan 09 22:50:09 2019	1547041809	0	16	16	1
Wed Jan 09 22:50:06 2019	1547041806	0	16	16	1
Wed Jan 09 22:50:09 2019	1547041809	0	16	16	1
Wed Jan 09 22:50:09 2019	1547041809	0	16	16	1
Wed Jan 09 22:50:08 2019	1547041808	0	16	16	1
Wed Jan 09 22:50:09 2019	1547041809	0	16	16	1
Wed Jan 09 22:50:10 2019	1547041810	0	16	16	1
Wed Jan 09 22:50:08 2019	1547041808	0	16	16	1
Wed Jan 09 22:50:10 2019	1547041810	0	16	16	1
Wed Jan 09 22:50:07 2019	1547041807	0	16	16	1
Wed Jan 09 22:50:10 2019	1547041810	0	16	16	1
Wed Jan 09 22:49:59 2019	1547041799	0	16	16	1
Wed Jan 09 22:50:10 2019	1547041810	0	16	16	1
Wed Jan 09 22:50:11 2019	1547041811	0	16	16	1
Wed Jan 09 22:50:10 2019	1547041810	0	16	16	1
Wed Jan 09 22:50:09 2019	1547041809	0	16	16	1
Wed Jan 09 22:50:07 2019	1547041807	0	16	16	1
Wed Jan 09 22:50:07 2019	1547041807	0	16	16	1
Wed Jan 09 22:50:07 2019	1547041807	0	16	16	1
Wed Jan 09 22:50:08 2019	1547041808	0	16	16	1
Wed Jan 09 22:50:09 2019	1547041809	0	16	17	1
Wed Jan 09 22:49:58 2019	1547041798	0	16	17	1
Wed Jan 09 22:50:07 2019	1547041807	0	16	17	1
Wed Jan 09 22:50:07 2019	1547041807	0	16	17	1
Wed Jan 09 22:50:10 2019	1547041810	0	16	17	1
Wed Jan 09 22:50:07 2019	1547041807	0	16	17	1
Wed Jan 09 22:50:07 2019	1547041807	0	16	17	1
Wed Jan 09 22:50:07 2019	1547041807	0	16	17	1
Wed Jan 09 22:50:08 2019	1547041808	0	16	17	1
Wed Jan 09 22:50:08 2019	1547041808	0	16	17	1
Wed Jan 09 22:50:06 2019	1547041806	0	16	17	1
Wed Jan 09 22:49:58 2019	1547041798	0	16	17	1
Wed Jan 09 22:50:10 2019	1547041810	0	16	17	1
Wed Jan 09 22:50:08 2019	1547041808	0	16	17	1
Wed Jan 09 22:50:09 2019	1547041809	0	16	17	1
Wed Jan 09 22:50:08 2019	1547041808	0	16	17	1
Wed Jan 09 22:50:08 2019	1547041808	0	16	17	1
Wed Jan 09 22:50:00 2019	1547041800	0	16	17	1
Wed Jan 09 22:49:58 2019	1547041798	0	16	17	1
Wed Jan 09 22:49:59 2019	1547041799	0	17	17	1
Wed Jan 09 22:49:59 2019	1547041799	0	17	17	1
Wed Jan 09 22:49:59 2019	1547041799	0	16	17	1
Wed Jan 09 22:50:10 2019	1547041810	0	17	17	1
Wed Jan 09 22:50:00 2019	1547041800	0	16	17	1
Wed Jan 09 22:50:10 2019	1547041810	0	17	17	1
Wed Jan 09 22:50:08 2019	1547041808	0	17	17	1
Wed Jan 09 22:50:07 2019	1547041807	0	17	17	1
Wed Jan 09 22:50:00 2019	1547041800	0	17	17	1
Wed Jan 09 22:50:09 2019	1547041809	0	17	17	1
Wed Jan 09 22:49:58 2019	1547041798	0	17	17	1
Wed Jan 09 22:50:00 2019	1547041800	0	17	17	1
Wed Jan 09 22:49:59 2019	1547041799	0	17	17	1
Wed Jan 09 22:50:00 2019	1547041800	0	17	17	1
Wed Jan 09 22:50:11 2019	1547041811	0	17	17	1
Wed Jan 09 22:50:00 2019	1547041800	0	17	17	1
Wed Jan 09 22:50:00 2019	1547041800	0	17	17	1
Wed Jan 09 22:50:06 2019	1547041806	0	17	17	1
Wed Jan 09 22:50:00 2019	1547041800	0	17	17	1
Wed Jan 09 22:49:59 2019	1547041799	0	17	17	1
Wed Jan 09 22:50:01 2019	1547041801	0	17	17	1
Wed Jan 09 22:50:00 2019	1547041800	0	17	17	1
Wed Jan 09 22:50:00 2019	1547041800	0	17	17	1
Wed Jan 09 22:50:01 2019	1547041801	0	17	17	1
Wed Jan 09 22:49:58 2019	1547041798	0	17	17	1
Wed Jan 09 22:49:59 2019	1547041799	0	17	17	1
Wed Jan 09 22:50:01 2019	1547041801	0	17	17	1
Wed Jan 09 22:50:00 2019	1547041800	0	17	17	1
Wed Jan 09 22:49:58 2019	1547041798	0	17	18	1
Wed Jan 09 22:50:07 2019	1547041807	0	18	18	1
Wed Jan 09 22:50:00 2019	1547041800	0	17	18	1
Wed Jan 09 22:49:59 2019	1547041799	0	18	18	1
Wed Jan 09 22:50:08 2019	1547041808	0	18	18	1
Wed Jan 09 22:50:08 2019	1547041808	0	18	18	1
Wed Jan 09 22:49:59 2019	1547041799	0	18	18	1
Wed Jan 09 22:49:59 2019	1547041799	0	19	19	1
Wed Jan 09 22:49:59 2019	1547041799	0	24	24	2
Wed Jan 09 22:50:09 2019	1547041809	0	27	27	1
Wed Jan 09 22:50:09 2019	1547041809	0	28	28	1
Wed Jan 09 22:50:07 2019	1547041807	0	29	29	1
Wed Jan 09 22:50:10 2019	1547041810	0	34	34	1
Wed Jan 09 22:50:08 2019	1547041808	0	34	34	19
Wed Jan 09 22:49:59 2019	1547041799	0	35	35	1
Wed Jan 09 22:50:00 2019	1547041800	0	37	37	1
Wed Jan 09 22:49:58 2019	1547041798	0	37	37	1
Wed Jan 09 22:50:01 2019	1547041801	0	41	41	1
Wed Jan 09 22:49:59 2019	1547041799	0	42	42	1
Wed Jan 09 22:50:00 2019	1547041800	0	43	43	1
Wed Jan 09 22:50:00 2019	1547041800	0	43	43	1
Wed Jan 09 22:50:07 2019	1547041807	0	43	43	1
Wed Jan 09 22:50:00 2019	1547041800	0	44	44	1
Wed Jan 09 22:50:11 2019	1547041811	0	44	45	1
Wed Jan 09 22:50:07 2019	1547041807	0	46	46	1
Wed Jan 09 22:50:08 2019	1547041808	0	46	47	1
Wed Jan 09 22:50:10 2019	1547041810	0	48	48	1
Wed Jan 09 22:49:58 2019	1547041798	0	48	48	1
Wed Jan 09 22:50:08 2019	1547041808	0	48	48	1
Wed Jan 09 22:49:59 2019	1547041799	0	48	48	1
Wed Jan 09 22:50:06 2019	1547041806	0	49	49	32
Wed Jan 09 22:50:10 2019	1547041810	0	49	49	1
Wed Jan 09 22:50:00 2019	1547041800	0	49	49	1
Wed Jan 09 22:50:07 2019	1547041807	0	49	49	1
