instructions:u,cycles:u
2223351,1089482
6647855,2328988
6959244,2321871
5243759,2090281
6468344,2292422
6091894,2236171
755698,866811
5067188,1932016
852411,898201
889327,883748
908127,859171
945504,861790
966099,901483
994467,898484
1416813,1016941
873928,857201
916793,859048
934194,842236
957842,886514
966415,887771
998762,870449
1419338,1000583
898377,872768
939270,892423
1071750,896238
920070,888450
1435204,1019437
1098276,947879
1400497,1009927
954089,890824
966609,870804
1078779,878443
949074,855380
1472271,1024870
986372,900936
999022,846454
1014641,909487
983333,905158
1513927,1025380
1010536,903030
1024991,917560
1042501,923095
1008023,876397
1522070,1044864
1060654,923315
1074668,919880
1089437,914757
1054868,915786
1137336,942455
1455478,987546
1102503,932226
1109746,933056
1121081,937228
1421817,994733
1256118,994931
1363049,1023673
1296257,964305
1396194,1041145
1246929,980686
1252083,942811
1114868,930756
1236635,972138
1336745,981761
1303997,964295
1307156,982727
1395224,1020760
1268909,903685
1408950,969642
1404353,990465
1318174,980975
1166475,935990
1247801,968837
975050,922838
1504901,1010354
1336208,966383
1140434,914398
1344505,949512
997925,886083
1566198,993014
1425495,988919
1210066,929619
1200064,653769
372505,550123
1136112,980512
1288670,966082
1293030,906278
1548101,1044092
1437706,984287
1395400,987749
1209237,940828
1263659,943417
1128930,918343
1578820,1020260
1608232,1031986
1555234,1047462
1489438,978821
1260042,947821
1397089,989093
1075154,904002
1331746,955653
1538283,1030565
1459697,958105
1296972,947452
1305259,951903
1214229,942377
1355194,962970
1463707,999372
1704258,1057410
1520353,1050497
1745976,1100019
1270509,977210
1432923,999799
1567196,1001539
1305040,951871
1336086,955097
1177661,926495
1710153,1037850
1598945,992383
1314473,950055
1359781,963748
1186773,927866
1752912,1086364
1540675,1062551
1383692,975500
870951,838208
1578705,976188
1571911,1074603
1624791,987360
1323359,967695
1221905,952289
1487520,1020749
1192328,927299
1418937,985267
1727811,1060106
1516285,1021802
1049759,886559
1606371,1051731
1263788,957880
1485547,1029338
1738135,1059628
1411739,963034
1612548,1013065
1238448,939867
1462058,994454
1778476,1056656
1464993,1000399
1261457,980557
1493324,1068349
1386569,987422
1356459,956103
1407684,988037
1388056,982337
1456698,1004109
1095367,889392
1417018,993604
1384217,1004095
1291859,973553
1325749,961128
1749995,1027803
1619512,1047050
1071115,905653
1640465,1034929
1335083,990305
1088632,664356
None,None
1445300,1076962
1297702,935431
1317566,965377
1278723,939406
1271746,966275
1678588,1051311
1265907,942315
1440529,1018132
1882238,1102038
1597362,1037430
1341415,979617
1784967,1123021
1358487,972344
1474530,1022132
1933273,1083735
1631131,1043868
1374709,1013092
1531879,1019321
1361369,1003825
1283709,949984
1380808,982529
1539195,941703
1718818,1090689
1136254,899839
1739850,1072446
1436601,1004512
1515876,1036014
1987083,1119445
1687038,1067494
1404418,992940
1868730,1119063
1449911,994632
1523757,1003573
2016742,1097968
1714348,1060033
1283016,984152
1430272,981426
1443715,997489
1387214,986752
1308306,954870
1990807,1105159
1681761,991381
1468185,1027928
1882026,1115120
1530331,1038017
1683412,1103021
2052925,1166131
1769452,1037620
1520197,992245
1993064,1133683
1261087,980711
1204501,951062
1340268,981113
1889388,1032468
1723780,1045563
1537367,1018741
1895090,1115531
1328784,994892
1526443,1060926
2186088,1192738
1880083,1066113
1192764,927332
2163268,1175998
1264443,949831
1241098,960063
1272539,978154
1700342,992416
1911543,1113461
2019311,1118860
1376996,1038013
1508397,1050925
2225464,1221004
1844539,1050770
1582107,1009472
2218522,1221724
1201209,972915
1177588,951225
1301985,970545
1830209,1016529
2013459,1183932
968369,592015
None,None
None,None
None,None
None,None
None,None
None,None
1221048,901324
1400274,989079
1374637,979623
1286192,978966
1462593,1003555
2218075,1188522
2088159,1221546
1255165,941003
2182124,1139295
1470454,1003481
1318265,971816
1215414,947306
1295439,982329
1703199,967903
1920975,1055376
1572686,1026977
2297418,1243759
1475845,1029902
1574031,1058024
2276157,1139727
2066086,1158368
1350063,985581
1331269,964578
1657797,991491
1504412,1042949
1501897,1009692
2332469,1244428
2094590,1204954
1610921,1004413
2379001,1230394
1359175,986081
1283584,939995
1340934,993237
1935249,1044378
2107265,1117112
1302157,1001795
2311052,1193559
1603499,1079835
1586128,1124646
2371231,1168447
2157628,1190898
1512123,1019925
1493141,948707
1575647,1016863
1516960,1003426
1616545,1053713
2357248,1183018
2112939,1226046
1737712,1047420
2413178,1275874
1208971,955911
1299836,987497
1321825,971828
2419358,1195841
2066567,1102508
1813973,1107124
2447595,1288770
1672609,1041460
1729149,1091563
1744617,1018513
1334159,957802
2114758,1131035
1753055,1044553
2494752,1288166
1726799,1103966
2208911,1289916
5391626,2251643
2263745,1196612
460948,688414
533234,666334
696381,1021876
377486,632557
837554,1051420
1019722,880274
229858,435570
1045351,888458
923380,911239
883976,940867
361290,407383
1237,6022
1237,5411
1426728,1044512
2846974,2217901
3151773,1890429
5100717,2097196
450584,188968
None,None
None,None
154615,76742
3216002,1790037
2865692,1996299
2824572,1970139
2911002,1974287
3150424,2051334
2839692,2015474
3322692,2093067
1542600,2050637
2332896,1927136
2893448,2167227
2812622,2157574
3012579,2170824
2444593,2106834
2164062,1995110
3179664,2125321
2665972,2030616
2867287,2042950
2517872,2145786
2790169,2264940
2643705,2161814
2533079,2068820
2930234,2181024
2578980,2145486
2116189,2126882
3201613,2242376
2550015,2199175
2454204,2124604
2594299,2174582
2734314,2166168
2952851,2084821
2615635,2135740
2798977,2266038
2507055,2216143
2460284,2205348
2099941,2148586
3529826,3373832
4323464,3568489
2803915,2292315
4045039,3867848
1942388,2320655
2514362,2164975
1927384,2168186
2165804,2157570
3890919,2110375
3073293,2874398
2414383,2203327
3752801,3669980
3302860,2676636
2853608,3067216
2000347,2032126
3383125,3232917
2411537,2939536
5073366,4056315
6469989,2297134
6140343,2257694
2213037,2183368
3205354,3426498
2794040,3374949
4104980,4329276
3130859,3640586
1278306,1601600
1673,4433
26754,52580
52099,62596
3211396,3453933
4069056,4134309
5302018,4140080
11098083,9353958
3808008,3825599
4157625,4089418
4902542,4395046
4130363,4188687
5220921,4326082
3899546,3666448
3375754,3133872
2482825,2637529
3307849,3084457
3824736,4141317
3761844,3662281
5299719,4315087
4966106,4215177
4637809,4123459
5804318,3918696
5152363,3956262
7087800,3878194
16787728,14922791
5357248,4344844
19861672,17726976
4800085,4177547
4835815,4322199
3617320,3824581
2356242,2264061
3683405,2680486
4312447,2135828
2389119,2650505
2853060,2135782
3923304,3697616
3404190,3463537
4066826,3817225
3752955,3503209
3644142,3645783
4278275,4110802
3725769,4168772
11532229,8937880
2233349,2270576
4802268,2650652
5576904,4235506
4149771,3488508
2195126,1913357
0,0
12746,76071
1624907,1148665
385835,622134
4119158,1985343
5756656,1965056
1544623,934115
668137,684417
466346,799898
1181683,908771
690791,883570
788485,884616
1019896,898925
1573657,1053626
505347,773122
604648,864718
439709,775610
821850,1011106
559761,784059
692129,869172
537645,792415
735920,979248
2340669,2013138
4146948,1647958
6308129,2075660
6318020,2076089
6405219,2104719
6417705,2109000
6363895,2089714
6130207,2014287
6287997,2067664
6345768,2085125
6370096,2092501
6416448,2106570
6319882,2078070
6319732,2076933
6251075,2053601
6288462,2067044
6349826,2083499
6316868,2079209
6402017,2104237
6424175,2109076
4186418,2157927
4140846,2273125
3866006,2334942
3617847,2344441
3783193,2364930
3970724,2377040
3658401,2395557
3650434,2385359
3803832,2364921
3711612,2388134
3706226,2385985
3902265,2390018
3802011,2377693
3830101,2391827
4043213,2388476
3541987,2323403
3643075,2391529
3814486,2389930
3676278,2386331
3670330,2381549
3538606,2390544
3823259,2389312
3777296,2362220
3801759,2403818
3630100,2385943
3631553,2387481
3691714,2381433
3695422,2392141
3697774,2391358
3756168,2373358
3784182,2387893
3797381,2386231
3776725,2389120
3766002,2384452
3954353,2390176
3734601,2389547
3794770,2372579
3808746,2388528
3658715,2386194
3655458,2388416
3718589,2379666
3694926,2388000
3710734,2391805
2233260,1431438
None,None
None,None
None,None
67253,52877
3774870,2391772
3789270,2390053
3736665,2386656
3651461,2370252
3676729,2390412
3771105,2385868
3748920,2360604
3818137,2401497
3710188,2388638
3659618,2388700
3683201,2382725
3828051,2388260
3813253,2387383
3839954,2364234
3745139,2388960
3748586,2389388
3946261,2391204
3722698,2379773
3732549,2388052
3483892,2258203
3797708,2365763
3847776,2396817
3890040,2385702
3876706,2387105
3917147,2378518
3662229,2391240
3653994,2385951
3691994,2359831
3691094,2393908
3675405,2385022
3767789,2385656
3756081,2379851
3773563,2387756
3841120,2391394
3803028,2368606
3845493,2392681
3856692,2386033
3779985,2387092
3757359,2377217
3795628,2406605
3678519,2388507
3713262,2363432
3659485,2397209
3645512,2389445
3733386,2389900
3664922,2377499
3685869,2390292
3775400,2388104
3694695,2363890
3747767,2398190
3815486,2386629
3765008,2389444
3751816,2378379
3835943,2388007
3762490,2387307
3731141,2363958
3819251,2395002
3731383,2385848
3808912,2389012
3787845,2389223
3782648,2388942
3839342,2385740
3647420,2318987
3751567,2388246
3834685,2397245
3731112,2390928
3721492,2382858
3837317,2388420
3789963,2388045
3681416,2323317
3825578,2388666
3771599,2407687
3748914,2388166
3852093,2384058
3800338,2389071
3866258,2389909
3684744,2319088
3805213,2391472
3841191,2389732
3687378,2389395
890914,570834
None,None
None,None
None,None
None,None
None,None
None,None
2087845,1368769
3766221,2385837
3711330,2389085
3689780,2373253
3774854,2392652
3666038,2385800
3668617,2386167
3812732,2389906
3778657,2386035
