instructions:u,cycles:u
2206015,1083899
6557528,2307849
6712922,2237877
5099052,2032239
6341850,2273564
6204445,2220134
999869,888063
5235649,2097294
873822,931017
967405,911143
907810,870871
941006,881137
968349,902000
990112,897133
1280788,983664
1015203,922181
913700,861256
927228,859557
949111,851690
981169,858896
988851,853809
1433386,974777
900414,834692
937623,884527
1070426,895281
919204,882117
1434676,1017642
1102817,929408
1400592,1000990
954155,895961
966818,893568
1078849,884606
942949,881429
1478235,1053647
985747,887656
999067,892582
1014597,903742
983166,887964
1461855,1011048
1062496,908490
1022911,888567
1038521,866309
1007106,886501
1529883,1043709
1060137,917505
1072313,872120
1087050,917913
1057865,923204
1137337,912023
1457968,1040574
1102500,932865
1109194,930487
1121503,942370
1268495,966011
1314390,1003580
1358521,983936
1213800,963283
1240203,951856
1257795,973393
1057947,901330
1282676,986290
1414072,1008145
1311556,963789
1354153,981329
1287739,956965
1380088,979273
1435678,993767
1325357,943663
1431638,995020
1346206,981937
1109543,882532
1296509,972234
1030740,924917
1514767,1009735
1322663,993730
1181669,953432
1336048,947503
1015204,873132
1562142,1020921
1383387,1004295
1207349,940668
1391485,969402
1036923,871024
1259408,927498
1397030,964158
1568394,1035280
1524208,1037535
1425327,978960
1214073,924822
1256370,928280
1182791,934785
1590029,1026793
1609642,1041239
1559062,1063992
1493289,987497
1256208,916771
1396133,963839
1026904,877000
1333728,953406
1518792,1024321
1516416,1000180
1286197,944614
1320726,912561
1156344,909948
1347769,957754
1524691,1017712
1716044,1085465
1516576,1049470
1677967,1034365
1281488,942980
1480523,990614
1577717,994861
1293670,932295
1330907,926271
1165303,909737
1736831,1068699
1605185,1030726
1314961,991416
1359627,1001637
1186741,914187
1652593,1111031
1315417,948991
1369383,979951
1323254,989345
1467024,952898
1570059,1066410
1602465,973921
1348470,979126
1256599,991905
1515083,1049004
1200638,930011
1375589,927200
1707035,1046515
1515482,1015591
1049196,867194
1603297,1036282
1265452,962758
1482500,1010547
1754634,1074833
1470985,997849
1631243,1056928
1232888,980006
1407800,1002734
1753790,1033352
1461764,979944
247529,308600
1128730,836886
1647275,1053145
1291104,983327
1462038,1005091
1802115,1071532
1589885,1026567
1132130,908414
1637286,1034940
1353485,987447
1277434,960252
1417938,988281
1828631,1077710
1622490,1043142
1111104,870251
1716443,1084774
1325079,965598
1279864,942819
1487089,1047019
1794362,1043632
1551048,999606
1299402,968397
1746287,1060375
1325854,974281
1539216,1033047
1301993,870837
1445090,1011324
1344164,987295
1301649,966392
1568599,965658
1343365,999255
1524023,1054515
1870426,1045711
1567769,1004892
1380375,986216
1811034,1088223
1390130,977882
1586870,1085614
1878270,1060103
1725174,1083898
1139459,919722
1833291,1089885
1447228,994743
1316646,972387
1260306,971389
1522948,1000113
1540356,972061
1411421,998677
1800557,1075194
1438003,974861
1450609,966133
2014275,1182837
1714845,1088070
1426785,995709
1803510,1073196
1472685,1011583
1641888,1072704
1443638,927115
1399328,987727
1432228,990653
1401566,944817
1925211,1122902
1432479,965817
1607431,1083452
2112704,1169551
1803150,1104510
1510128,997717
1909102,1075620
1564577,999490
1681101,1090648
1444585,971600
1343952,966906
1529491,974622
1494368,1001118
1868299,1108341
1328054,983500
1451458,989499
2187136,1201226
1898884,1102583
1170266,921282
2159188,1182862
1412123,1033808
1073070,886883
1330256,999491
1667157,985863
1864961,1117663
2052766,1145943
1384197,1015920
1510168,1043123
2225472,1218483
1844602,1045167
1581848,1004326
1949713,1160446
