l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
55552,66278,51790419,22024109,6595819,3,0,18438376,7012352,40042496,1638400
56018,64449,50593052,21290289,6372214,29,0,17009540,6291456,34734080,0
54231,63894,49751774,21232911,6534040,2,0,18661924,6881280,38600704,4063232
55561,61966,49971008,20942527,6214190,1,0,17496448,5832704,32112640,4390912
40066,42755,36214545,21164807,10027040,6,0,16557636,3801088,34209792,0
45366,48110,41400736,21163894,9228980,0,0,16651472,3145728,25034752,0
46307,48040,41010813,21162405,9180309,7,0,15624688,3932160,24117248,3997696
46076,48465,41187642,21152259,9128415,153,0,15164624,5832704,38731776,0
47601,58838,47276596,19765595,8369573,5,0,16675012,3145728,27721728,589824
58792,69095,52081100,21187428,4966824,1148,0,18223908,5701632,39452672,0
59119,68600,51609286,20993219,5657057,0,0,16769804,6815744,34930688,0
60586,70593,51904780,21024003,5620702,1,0,15063882,6160384,34799616,2228224
43492,45788,39030426,20635334,9264309,3,0,14887676,4128768,33423360,0
44050,45179,39403853,21508267,9398964,0,0,17787884,5963776,37289984,4915200
47891,50568,43474895,20947564,8251371,5,0,17315128,6619136,43450368,0
61444,72210,53497901,21096272,5567064,0,0,16255540,4456448,33488896,2686976
43194,46908,39191517,21447120,9054943,0,0,15574020,5111808,37552128,0
45277,48557,40500238,21475000,9448726,0,0,16172712,2228224,26738688,5046272
58818,64822,51707739,20493878,5483428,4,0,16464668,2621440,26607616,0
60059,68380,52577067,21145551,5915479,0,0,15236904,3276800,25559040,1245184
57420,67664,53234005,21614656,5580886,10,0,15958536,7471104,38207488,851968
59092,67698,53034284,21357538,6005253,0,0,15398048,7995392,46465024,0
57456,65481,51648971,20694155,5626379,2,0,17947204,7340032,41091072,1703936
57848,67037,52415705,20855392,5652848,2,0,16778380,5636096,40894464,1638400
43781,43028,35195200,18373130,8717649,0,0,16093372,5898240,38731776,0
41699,48554,36938170,19509644,5811150,8,0,16644800,4784128,36700160,0
57662,70878,53500098,21417747,5827894,4,0,16222808,14548992,37552128,4325376
61510,70643,53426897,21005171,5487054,1,0,18319572,2424832,31719424,0
58120,66870,50079799,20170676,5396690,4,0,14945948,5505024,45285376,983040
58820,67982,51332874,21106987,5156537,10,0,18441646,6750208,35782656,524288
61060,70340,53716241,21382027,5771841,40,0,16257614,6094848,44302336,0
57488,69241,51132440,20840085,5992997,0,0,14826272,6881280,42008576,2228224
60206,70065,52362621,21153657,5368420,3,0,15459116,3801088,34340864,0
60433,70548,53370754,21156098,5586847,0,0,14728716,3473408,30605312,0
61609,71733,53184490,21072398,5517396,0,0,16414628,5963776,38141952,0
67463,76050,54243279,21489390,5437348,0,0,16576252,6684672,45154304,0
57410,64832,45227218,20554003,4989811,2,0,13661484,1572864,12386304,1572864
61222,72475,53433834,21511408,5996866,0,0,16354521,1048576,7208960,0
58565,67884,50053407,20618286,6081300,0,0,15795491,917504,4915200,720896
60999,69582,51454481,20926526,5980739,3,0,15890124,655360,5832704,0
58366,68350,51733127,21061910,4951487,2,0,16449998,22740992,199819264,0
