l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
1061090,474244,24968343,18616401,7752203,0,0,14938308,36700160,214433792,0
1116769,496682,25375135,18885724,8276957,0,0,15913176,37224448,197197824,2752512
1097593,485810,25169390,18712747,7705275,0,0,16530352,37552128,227737600,6881280
1130883,501752,25909621,19031268,7575323,0,0,16337992,36831232,252706816,32571392
1109691,492905,25519636,18796733,7552050,0,0,16379392,39976960,337969152,0
1087029,494942,25407523,18493026,7330671,1,0,15734632,39321600,296878080,5832704
1125726,501462,25999679,18939773,7498730,2,0,15696384,39256064,332660736,10682368
1139076,500623,25811315,18829413,7512084,4,0,15706096,40108032,341508096,0
1112239,477753,25044117,18465274,7530774,0,0,15642928,39911424,303038464,0
1121132,506344,25658921,18703706,7423568,0,0,16190716,39714816,337969152,34996224
1105795,508665,25738827,18894383,7577667,0,0,17309120,39911424,336199680,0
1180866,543079,22737448,18413444,8853123,70,0,16839772,38666240,337838080,0
1196841,586699,23582274,18053178,10210791,0,0,17452536,38731776,365887488,0
287874,146858,8400151,4107038,2243216,0,0,15410604,36831232,207224832,0
321373,176108,9391597,5073019,1031149,0,0,15467772,35192832,141950976,10027008
316296,129840,6237621,4906352,1877582,1,0,15401150,34668544,111280128,8388608
1205222,462294,22122528,18623708,9034063,0,0,16374768,33423360,83558400,1572864
1184649,449865,22213435,20140706,10456765,2,0,15664444,8716288,12320768,0
1254813,494942,24916638,21519609,11415528,3,0,16082446,9306112,7405568,589824
1278993,509064,25631583,21728741,11427092,0,0,17073272,9240576,37355520,92471296
1183371,488607,24190719,21169464,11105035,3,0,17594541,36700160,256770048,0
1284835,516964,25652957,22262655,11816409,4,0,17902423,35848192,164691968,0
1228845,498820,24895223,21352849,11331011,0,0,16006380,35782656,131858432,0
1220989,490595,24473277,21088719,11213756,6,0,15757852,35323904,143785984,17432576
1241783,508726,25520689,21853037,11411509,12,0,16670640,36241408,153878528,0
1326472,489847,25378042,21222254,10181730,0,0,17333788,34275328,143982592,9109504
1244685,493680,25732343,20126742,9343485,3,0,17361800,34930688,140967936,0
945530,291135,21807701,18355468,8584409,154,0,15147288,35258368,132120576,8847360
769900,216115,13004999,16360603,9236679,0,0,16776780,36241408,133627904,0
504724,175898,7485673,5290293,2915377,0,0,16259280,37355520,234553344,90898432
452049,219616,14926492,8463234,3533700,13,0,16563076,38273024,360382464,0
670773,660651,34179163,21311850,9662004,4,0,16882616,28966912,159645696,60686336
587252,581796,30190243,21970357,11477959,0,0,17334616,37224448,358219776,0
574903,554737,28072517,20928129,11221303,0,0,16006452,38404096,347996160,32178176
13,291931,14610513,19002264,10453551,24,0,15717800,35782656,249233408,0
577626,452208,21642253,20827733,12851129,135,0,15944116,36765696,210894848,0
801606,534030,27344549,21625206,11623574,2,0,15926400,36241408,216858624,9830400
811154,580210,28657353,21190433,10863210,0,0,17042668,37486592,247791616,0
828680,540520,27647094,21477044,11013208,0,0,15360624,36896768,216137728,0
880244,588263,29568632,22055267,11328807,2,0,17024120,36962304,236847104,37748736
818545,557917,27997797,20871468,10779141,8,0,16813228,38666240,335216640,3342336
840982,573964,28805747,21480820,11082206,0,0,16317200,39583744,320012288,5308416
704877,505354,29146996,21495451,10562278,304,0,16692216,39190528,367001600,6946816
776155,601100,36050259,21463066,8098176,0,0,16791076,38666240,376176640,0
1198971,477798,53619454,21197349,3146150,6,0,16941376,39190528,313393152,0
952697,557523,48794356,21923185,4155509,0,0,16210848,38731776,343408640,22347776
1269717,490459,46759489,21206678,5036428,3,0,17750408,40370176,340590592,0
821590,525359,51560882,21100316,2892171,0,0,16865272,38469632,346095616,1441792
1259918,512478,42246849,21458902,6260225,0,0,17369576,38338560,363790336,0
873696,541726,57044249,21793340,2051432,0,0,16644140,36569088,210108416,0
1302682,526515,42819726,21696685,6100148,9,0,16662792,35323904,175046656,0
859847,526038,57459702,21815317,2593356,5,0,17040912,36044800,152502272,7274496
1282822,542454,46433147,22093711,5399333,9,0,17161488,36438016,156303360,0
905112,515569,54835902,21402872,3075380,9,0,16584728,36438016,162070528,5373952
983403,522152,45309161,21422166,4859387,6,0,16347768,35717120,145227776,0
1155099,490876,51789344,21081781,3701297,2,0,16420980,37879808,246415360,56295424
913101,541852,47237430,21283239,4122724,1,0,16835560,35127296,229572608,0
1254595,475824,51297689,21024062,4540466,6,0,16095428,33619968,142409728,0
848094,506016,53211900,20941400,3072394,3,0,16455248,34537472,135069696,0
1220859,502658,44671193,21426796,4812262,0,0,17017716,34668544,133496832,8126464
912298,495749,51644528,20745776,3439528,0,0,15852984,36700160,139853824,0
1139839,508410,43870058,21110777,5530617,0,0,17399804,33423360,147456000,51445760
1019533,519127,55737879,21975800,3058766,0,0,15852344,37617664,323813376,0
1087690,515149,44005917,21070483,5470016,4,0,18174960,34865152,170328064,0
1031317,507283,53109324,21234126,3270700,0,0,16042140,34144256,135856128,10747904
