l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
34184025,38374154,27992489928,12625204196,4376144122,33098,0,14012352,13631488,54919168,11599872
68526,81705,59234216,21772084,5768138,62,0,16473784,7405568,61538304,4128768
66605,83235,58270711,21418174,6018014,42,0,16444212,7864320,64880640,0
64810,76189,53833539,20498623,5424980,32,0,17125764,4128768,49610752,0
68048,84393,58091035,21484824,5242209,64,0,17243602,1572864,25034752,0
65358,78713,55507956,20781640,4678444,125,0,16255630,4128768,11927552,11599872
65154,81451,56510487,20542446,4270680,216,0,16731480,4456448,37158912,6619136
62311,74547,51749288,20687895,5204457,144,0,16696688,3538944,44171264,0
68111,79353,54626798,21520805,4533918,0,0,15651776,3866624,36372480,0
65237,78397,52576003,20688776,4943206,0,0,15305972,3670016,37617664,3473408
65155,76879,52456510,21096139,5213929,0,0,16718388,5832704,47448064,262144
67723,79688,54931106,21371009,5420885,0,0,16406670,4325376,41091072,0
65059,77898,52258235,21207199,5995113,72,0,16660771,4456448,48300032,6619136
238287346,65712438,14716467588,11484679464,6503631291,144252,3,16549784,7995392,60424192,5636096
960526,180992,8675709,20843308,15454882,0,0,15573880,7798784,62259200,0
1075289,202609,9739170,21371237,15140306,1,0,16139707,4128768,22085632,1179648
929482,174231,8331523,20859370,15621890,0,0,17510518,8650752,58130432,15925248
935882,177320,8559169,20598944,15244489,0,0,15880910,6946816,71237632,0
1074029,200114,9566243,21324661,15397736,0,0,17132700,8060928,63438848,0
951503,179321,8632994,21376035,15967854,0,0,17281564,5373952,45481984,6684672
1038947,196176,9420186,21652465,15691364,4,0,18664868,7274496,75169792,720896
970869,181759,8723654,21022146,15594133,0,0,17704296,9371648,72876032,0
957403,179192,8603061,20892751,15488463,0,0,16643728,6422528,41746432,0
1041201,195935,9452463,20815969,14925643,3,0,17067462,1572864,15138816,0
710665,140969,9151416,21252532,14862591,32,0,17601548,6356992,32768000,31522816
656456,146702,14015013,20929734,12803291,16593,0,17235910,9240576,83099648,0
1085312,203513,9708387,21198056,15232231,1,0,17245216,9371648,77725696,3801088
948173,174598,8428900,21590958,16243381,0,0,17715072,11010048,82837504,2818048
983225,183455,8884420,20812599,15183656,2,0,17491954,19660800,82444288,0
1043933,194501,9348597,21534977,15778186,0,0,17334928,7405568,64421888,0
985387,184704,8839431,21553435,15969007,0,0,17020932,3342336,23724032,10747904
1047077,197229,9452997,21133531,15190279,1,0,17001750,10158080,76808192,3080192
905183,172693,8175665,20515927,15300500,1,0,17285848,7602176,78184448,0
954000,178092,8517210,21743057,16430586,0,0,18168384,9240576,76677120,458752
1030259,192907,9313023,20996933,15156672,0,0,16765140,9371648,74842112,0
896849,168823,8227604,21115703,16114827,0,0,16841720,11468800,72024064,0
901544,167838,8021250,21021788,15971278,0,0,15282408,8585216,57737216,0
1070270,201654,9685860,20933077,14821795,0,0,17921764,8388608,47513600,25559040
902033,168149,8064631,21041874,15912989,1,0,16611812,5636096,61538304,0
913721,172544,8286293,20805352,15803569,5,0,15293220,4325376,38928384,851968
470657,86278,4131901,21390657,18638920,0,0,15248398,3342336,39911424,3014656
546597,102656,4934735,21407745,18299504,0,0,16344636,4063232,42336256,0
586842,110508,5327607,21895488,18612496,0,0,17206569,5505024,40435712,0
566110,105839,5061126,21616753,18333805,0,0,15670381,4980736,38338560,0
568281,106024,5083460,21258624,18081390,0,0,16147624,3866624,36306944,0
588615,109296,5273149,21467256,18195502,0,0,15463652,11468800,49217536,9175040
556934,105006,5071487,21195088,17928111,0,0,15487216,7143424,45547520,0
578468,108088,5154940,21534603,18302348,0,0,15558464,7012352,31653888,21954560
580936,109782,5228627,21559764,18258733,0,0,17158388,8388608,66322432,0
546475,100751,4883542,21153325,17974378,0,0,16393804,8912896,59768832,0
574199,107962,5138734,21098706,17879736,0,0,15971448,7471104,62980096,1245184
683010,124987,5867899,21432993,17654614,0,0,15836232,8192000,62193664,0
612293,114162,5460729,21290223,17861778,0,0,16066124,3866624,56492032,0
567194,103693,4876542,20969027,17791419,0,0,16343356,3473408,35586048,1966080
559155,101219,4869407,20944941,17743927,0,0,16081492,4390912,39190528,0
552105,99472,4843757,21235823,18039084,0,0,16525760,2752512,25755648,0
536971,102670,4964218,20633874,17597554,0,0,15951224,1376256,5373952,131072
574553,109817,5210768,21036631,18041551,0,0,15986996,4653056,30212096,16318464
539826,104529,5026966,20839833,17690811,0,0,16956144,4063232,46858240,0
567642,106224,5115419,21254447,17898277,0,0,17019360,6422528,50593792,327680
569277,107532,5122513,20708669,17679738,0,0,15777676,5242880,40828928,0
543148,101789,4844628,21744488,18672188,0,0,16096752,4849664,45547520,7077888
513371,96863,4659219,21296953,18311219,0,0,17241408,8060928,68616192,5308416
522950,97738,4698228,21091048,18147048,0,0,16687632,8519680,74711040,0
514072,98852,4743855,21036594,18098055,0,0,17251048,9633792,66846720,0
547177,101287,4847748,21696972,18591602,0,0,16075456,9633792,68616192,7405568
520706,97612,4666991,21342278,18368128,0,0,16907816,7929856,74776576,0
529692,99922,4809734,21398210,18397019,0,0,16465480,7995392,72482816,4849664
538576,98318,4767072,21702351,18638725,0,0,17118832,4849664,64749568,0
534643,99633,4765000,21138558,18152750,0,0,16884252,11862016,57540608,13828096
527117,99392,4718346,21018229,18095781,0,0,16827916,8847360,76414976,0
505163,94916,4579076,21706483,18747877,0,0,16849840,5636096,41943040,0
504552,93116,4508978,21103847,18284584,0,0,16897240,10813440,57540608,16777216
498402,93329,4424750,20958679,18178874,0,0,16414844,7864320,67305472,0
516983,95730,4515179,21383976,18412236,0,0,17051932,8388608,67174400,917504
511399,98305,4608251,21206377,18307276,0,0,16519912,8323072,66977792,6946816
497657,95225,4558781,21396615,18423023,0,0,16331352,9240576,78512128,0
505378,94573,4549603,21048829,18109295,0,0,17176912,5373952,58851328,0
509547,94853,4536592,20780825,17901622,1,0,17237264,3801088,27787264,0
798740,159640,7358088,20819628,16617478,0,0,17390024,3211264,15794176,0
529010,76280,9034181,21733879,14568222,44,0,17164920,6422528,31522816,29294592
848987,194447,12707120,20477947,14081324,16720,0,17678128,10747904,76611584,0
798120,153835,7636447,21053527,16450628,0,0,15896584,7536640,68354048,0
873397,163411,7798957,21448182,16434666,0,0,15716012,7995392,76218368,0
869455,162387,7855647,21103404,16128517,0,0,16989984,8978432,77922304,4784128
869241,165042,7872183,21524248,16565706,0,0,18000236,7667712,81854464,0
886190,166271,7959618,21179824,16191722,0,0,17022676,1507328,32178176,0
887377,166587,8007054,21134577,16125412,0,0,17080340,917504,18284544,10485760
903517,167694,8050586,21111509,16100438,2,0,17200164,5439488,46465024,1048576
920766,170789,8164403,21613322,16544783,0,0,17487820,4718592,40042496,0
899462,168992,8128097,21229728,16060646,1,0,16754184,3735552,38141952,0
900170,168950,8105116,20928006,15891722,0,0,17393828,3735552,36634624,2490368
898870,166296,8069596,21193692,16081957,1,0,18084280,5898240,50921472,6356992
890448,166473,7996936,21092323,16002609,0,0,17673852,7733248,64618496,3276800
895456,166636,7996911,20979347,15951851,2,0,16355832,6815744,72089600,0
890903,166101,7828351,20748818,15852826,0,0,17597084,7405568,63897600,0
882977,164196,7861421,21173567,16097058,0,0,16923644,2359296,11665408,655360
862985,162103,7691799,20827418,16007667,0,0,16748634,7012352,51314688,16515072
838482,163703,7743506,20875558,16037344,1,0,17470511,7929856,70844416,0
880973,161146,7733619,21019364,16071836,0,0,17204744,3997696,46137344,0
885523,162276,7886144,20760820,15875457,1,0,16297644,4521984,40108032,1114112
