l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
60950,71185,53598857,21362360,5717805,55,0,14578316,4915200,39321600,0
61290,69672,51815593,21138969,6135826,209,0,15688758,8192000,41156608,1572864
57929,67538,50428475,20885365,6167715,297,0,13323756,8192000,42598400,983040
58032,68780,51734453,21012438,6362519,364,0,14680464,6422528,37224448,720896
58267,67768,51153899,20458841,5466620,40,0,15139316,6225920,39845888,327680
61175,71144,53688975,21147587,5437401,269,0,14186948,5701632,36110336,0
60798,70168,50502601,20283704,5615417,146,0,15166754,3735552,30736384,1179648
43342,50135,38883631,21031240,10220694,444,2,14471696,1441792,8257536,1703936
44754,51468,39088534,21026967,9484226,512,0,14744600,2359296,9175040,0
45780,52473,39508824,21248937,9754243,171,0,15413120,17432576,174850048,4063232
44646,52406,40642042,20760643,8977522,239,0,14975740,26148864,168230912,0
41865,48945,37961422,21458321,10566744,471,0,16238881,4456448,31850496,11796480
46203,52780,40251059,22561750,10820640,463,0,15108556,6815744,50921472,0
42383,48691,36812401,21036141,10281958,140,0,15809056,6881280,36765696,851968
50802,61345,47185825,20632282,6770152,202,0,15479760,6291456,35258368,1835008
54186,66253,48592733,21168609,9379645,3,0,15685084,6029312,36765696,1638400
56486,67083,49071150,21474509,7081832,0,0,15280312,6356992,39583744,4915200
60098,67243,48546313,20944876,6975684,100,0,16604021,10944512,57147392,10158080
60818,71180,48938704,20944323,6612541,72,0,15725854,11862016,69337088,0
56388,67833,49045499,21143993,7298049,71,0,16018024,10616832,76677120,0
57601,68863,49787651,21083398,6184952,14,0,16617964,9633792,73596928,0
55189,66522,48357451,20590377,6391573,92,0,15211102,6225920,44826624,4063232
46375,51937,38383747,20722462,9457675,104,0,15534808,14483456,68288512,0
44308,51245,39620114,21402881,10752906,127,0,14973766,11337728,61931520,2490368
43028,49099,38262737,20874099,9557373,216,0,13198436,13041664,59113472,0
44868,50487,38175354,20750119,9490592,143,0,15094004,5963776,35782656,1572864
45599,50467,38810507,21057791,9672124,150,0,14697452,6946816,37683200,0
45224,51071,40056102,21280282,9774677,190,0,14997116,7405568,50397184,0
45836,51483,39112384,21065812,9498398,15,0,15480012,9895936,67633152,2424832
45896,50455,38544705,20779299,9477191,181,0,15512764,9830400,73138176,0
48553,56108,40535316,20859382,8931173,194,0,16132044,8192000,63438848,0
43833,50451,38802082,21053284,9891717,60,0,14835808,6619136,36241408,262144
61210,70617,52670871,21280555,5741815,0,0,15467436,5439488,33161216,2359296
60852,70602,51441842,20774910,5750142,465,0,14775319,12582912,58982400,0
60366,69243,52161241,21265230,6122760,286,0,16249800,11010048,64356352,0
60353,69111,51992682,20658485,5638485,183,0,14475116,7929856,36831232,720896
61422,72512,52742519,20980499,5362545,23,0,15280423,9568256,64421888,2949120
63471,73907,53528917,20892196,5320791,226,0,15415008,9830400,61210624,1966080
63073,72875,51988968,20294910,5246442,174,0,15231488,6291456,44171264,7340032
60245,69067,50109144,19591636,5100935,61,0,15244720,14942208,63963136,1638400
55641,64847,46898778,21311324,7253887,0,0,14725660,15138816,59637760,2490368
56072,65661,46654501,21341996,7612900,114,0,15541292,13041664,52953088,3932160
59381,71095,49012520,21331159,6783245,206,0,16240704,12189696,62390272,0
32497985,38551598,26680370736,11899338109,4147462954,48835,1,17837947,6225920,41025536,196608
69539,81917,55534669,21672518,5484481,0,0,18572399,7471104,44498944,0
65260,77236,53026586,20731355,5299568,145,0,17681812,6881280,45088768,2228224
70819,80721,54197819,21404848,5649345,110,0,18817972,12320768,60096512,0
65010,77270,52753743,20687738,5351564,121,0,16247234,2293760,8454144,18153472
65238,77360,52388006,20571372,5320466,55,0,14201912,12124160,62128128,0
63524,79049,52287186,20473057,5370725,158,0,15215004,12582912,58720256,2752512
50510,55296,36609493,20532681,8975557,127,0,16257388,7929856,41877504,0
51733,59412,38504258,20801694,9080314,162,0,15667974,5963776,43188224,720896
52557,61907,41690527,20691403,8163750,208,0,17341888,5373952,40763392,0
63650,72666,46988775,19800097,6128414,291,0,17259780,5636096,45219840,3407872
58983,70572,47215027,21741593,7902364,112,0,17038716,7667712,45088768,0
65810,78394,53582655,21062848,5559605,0,0,16730906,6422528,42336256,0
66096,79869,53555166,20966190,5590035,0,0,17491986,11141120,59899904,7405568
64720,77837,52535291,20820383,5415143,1024,0,18123432,11534336,64880640,458752
68688,82868,55338331,21503154,5359128,1448,0,16239772,4980736,30474240,0
65085,77717,52787519,21138469,5680452,944,0,18268180,10616832,59637760,10485760
65252,78372,53312645,20632472,5096222,190,0,17084459,12189696,70516736,0
