l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
442926,373045,15667708,14689957,6985960,4,0,15947734,33161216,213712896,0
436255,443208,17861125,15792345,7393976,0,0,15433116,30539776,139591680,0
417935,374998,16061092,16181868,8849576,80,0,15226112,30736384,131858432,0
494293296,268455523,19667674726,11981045629,4480725473,47364,0,16043304,33947648,330825728,25034752
502039,445105,8785572,20205815,13379162,5,1,16928894,30670848,230490112,0
776764,432654,43343785,20222823,2510069,3,0,15665178,35192832,319750144,14745600
708484,510586,52420250,21328617,1903774,0,0,17717785,35520512,321978368,0
912425,353476,37210741,21123156,6932889,14,0,17126180,34209792,319488000,21037056
267655,471463,37687682,21446486,6538376,3,0,17169506,34537472,361234432,0
773690,346285,47587743,20028427,7468044,2,0,16299582,27918336,148635648,9306112
857325,299526,32617713,20776110,9947461,0,0,15092012,30474240,140115968,393216
893218,400126,38313468,21159294,7915579,0,0,16124706,40042496,317259776,0
772794,387157,32561192,20990273,7777117,0,0,16009556,30474240,163184640,3538944
926956,469622,43745674,20840603,4150764,0,0,17389842,26738688,168296448,0
790281,528457,46910103,20574695,5850960,0,0,15639532,30277632,300613632,0
466279,259439,33913689,19810079,686886,47,0,15996032,28835840,223739904,0
263332,92097,13780916,6922880,2714425,0,0,15078008,30932992,207880192,33095680
310022,187511,13258554,12368788,5412124,101,0,19914160,28704768,282525696,0
548006,561848,22408010,20461035,9579072,0,0,16133256,35192832,345899008,1703936
513774,526618,21083920,20021962,9478370,0,0,17934035,35717120,358744064,3932160
541221,533984,21441587,21644844,12519886,0,0,16937189,40370176,376766464,0
541128,543834,21686752,22098507,12660758,0,0,16556218,35520512,321716224,0
538885,536579,21535513,21616356,12342828,0,0,17348470,34865152,318308352,5832704
509857,136791,18831451,21472959,11328178,946,0,16908936,34340864,347340800,0
966099,481698,46949812,20830226,3062345,43,0,15224764,35127296,328531968,5898240
612728,286709,22647590,21264195,10442472,489,0,14361230,30932992,164036608,0
804671,533092,38083059,20714823,6531537,568,0,15725520,30277632,169541632,3276800
974797,400448,38348509,20996786,5618595,421,0,16475588,34406400,225443840,49217536
736825,471517,22184995,20682635,10804926,387,0,14986324,24641536,242810880,0
673449,513690,47070134,20913848,3131347,90,0,15829036,30015488,126025728,5570560
749292,262968,26267871,20634840,10242545,400,0,16137672,30867456,137166848,0
881368,519820,42162615,21261112,6083686,934,0,15979444,36634624,101580800,11796480
1046417,448575,42059554,21750093,5108247,232,0,16674450,31850496,136380416,0
716102,387560,21636642,20845557,10205984,585,0,16906112,33423360,114622464,7143424
690598,516528,48639563,21454883,3064494,21,0,15739166,32440320,136511488,0
791899,290865,29078492,21763271,10387228,208,0,16861174,33226752,131203072,0
888797,559259,39009125,21272387,6686076,333,0,16506572,35717120,200212480,51576832
1061020,422769,39634588,20708968,5434198,212,0,16853852,30408704,284950528,0
842394,450742,38635750,21289534,6769373,390,0,15075328,28311552,134610944,3211264
1051755,400575,38697542,20564323,4415652,326,0,14984049,35192832,264699904,48824320
712933,389771,20247074,20898768,10751357,493,0,15881079,34209792,326565888,0
669977,496197,47427313,20687215,3195920,85,0,15782754,33357824,328531968,589824
778757,235054,21665383,20644528,7054186,432,0,17069536,34471936,342949888,3276800
861248,531684,37326337,20870425,6721717,797,0,16036388,35061760,362086400,8847360
1043516,455114,43142270,20955378,3978550,400,0,14558260,34340864,344195072,0
598120,431366,22070371,21116833,10244733,251,0,17583362,34865152,365101056,0
745037,539965,48082955,21865727,3570000,24,0,17227364,29425664,238944256,0
816467,298460,29271442,21195346,10016106,448,0,18045801,30408704,212664320,2097152
878153,519617,36802651,20772677,5881734,156,0,16777276,35323904,225574912,917504
1061233,466644,44083126,21633959,4509481,344,0,15330075,30670848,227606528,1703936
664772,362898,20501451,21190684,11019022,456,0,15700240,29425664,220987392,458752
688802,508890,46804793,20726344,3258255,45,0,19590144,30670848,238092288,2490368
235673,466142,42660882,20609585,4177349,401,0,13358774,35127296,337051648,0
466815479,267569697,18080933692,11979777763,4908460893,34312,0,13079728,33816576,316342272,0
1179834,420751,46831104,21148247,3747752,29,0,17487406,28704768,146276352,4718592
511788,305271,19241860,21441986,12843743,587,0,17898264,29818880,168689664,0
731157,523790,35340958,20468238,7174376,527,0,20368496,28573696,160432128,8323072
987661,394839,32692895,20705468,4488507,446,0,17839700,30801920,153485312,0
584175,354716,18111224,20986652,12239628,366,0,16846028,37879808,144637952,20185088
704469,551877,43464585,21673510,5300739,200,0,21405912,29622272,166592512,0
856012,359196,29929223,21208283,9689483,456,0,17237415,20185088,65863680,0
760520,474577,25792149,21584719,10322303,800,0,17813269,32440320,242089984,60686336
829854,544394,48895991,22053335,3588271,8,0,17499906,27131904,209911808,0
568120,264874,20921194,21075039,11318653,354,0,17649178,28180480,140705792,8257536
875846,578491,36865370,21786267,7983867,775,0,16143036,29163520,143982592,0
1031278,494039,40357990,21340490,5411058,341,0,16507448,31653888,118292480,16449536
556049,337126,18537431,21311242,12371598,565,0,15466328,28573696,139264000,0
912539,543814,41726660,21025073,5071068,198,0,17562694,26083328,144965632,10682368
696183,477869,45069018,21039869,3910430,58,0,15326440,34078720,226230272,54067200
1056588,307435,34791410,21030858,4855623,343,0,15767124,29753344,144244736,0
692342,402697,18157246,20972213,12063984,357,0,16682916,31195136,159907840,0
602230,516880,43553672,20756629,4849371,95,0,16926254,25886720,166854656,0
815155,300359,22164749,20689105,7280851,385,0,18073301,38207488,127533056,16187392
691433,442234,17703403,20938662,12043793,715,0,17050776,29163520,173211648,46006272
606843,538028,44031408,20746415,4442260,98,0,17536263,33161216,339017728,1441792
823402,312631,23274949,20836382,11653172,704,0,17443092,34078720,355074048,5701632
701400,452992,18711721,21512187,12093691,1000,0,17371114,34734080,381222912,0
641664,560935,45431460,21577633,4423521,16,0,15728428,34406400,364314624,3080192
817439,337368,26993751,21372043,11939101,302,0,18282632,34275328,346095616,5242880
776394,497475,27371012,21188426,9512238,309,0,17511420,34668544,379322368,0
826616,523237,46984761,21495075,3581455,53,0,14254876,30474240,252444672,0
546807,257631,19816324,20787791,12050371,276,0,18003372,37748736,240386048,0
720657,455783,37292563,21619994,7368135,537,0,15516508,29687808,194576384,6684672
636444,552830,46705570,21388877,6391084,311,0,16365428,39976960,327483392,0
876806,436074,31542670,21098703,8561586,464,0,16587812,33030144,325910528,11337728
613032,387484,17045393,20968078,12779244,634,0,17593068,34471936,372834304,0
616435,527343,41796171,20657923,6776191,279,0,17285945,31391744,306249728,0
879499,431714,31695601,21174136,8484039,472,0,16699220,34603008,345702400,4653056
587283,374544,16645981,20753636,12652793,659,0,16288292,33947648,348717056,0
639871,544221,41685067,21462875,5150641,452,0,17184644,30277632,180682752,0
884443,429848,31206341,21615054,9300360,391,0,15676591,29818880,154599424,10813440
610243,393023,16757895,21311182,13032580,888,0,16432016,29687808,167772160,0
641784,552506,42751787,21025483,4592492,41,0,16653874,34078720,146145280,0
1049496,498682,32196715,22391408,9733647,427,0,17155720,32636928,141950976,16121856
825731,439832,18872593,21938299,13449073,0,0,17374930,30081024,157089792,25821184
945754,518948,21687745,21268461,11832263,0,0,17515550,29622272,192217088,54525952
924208,528884,21895583,21241613,11735182,0,3,16329476,28246016,167575552,0
879578,443500,18003307,21404122,11911327,2,1,16607800,28901376,130351104,6029312
874247,498189,20394175,21224051,11988842,314,0,15665572,33357824,277872640,45219840
966580,627085,22464966,21158044,12332585,0,0,16660762,29818880,223739904,0
895582,567582,19982480,20713885,13098079,2,0,16605912,37814272,119013376,0
907088,580323,21237706,21568027,13123000,0,0,15981298,29491200,128385024,13697024
901539,575727,20782072,21278921,13155637,0,0,15285432,29753344,156303360,1900544
897280,581820,21112701,21340945,12608133,0,0,16473394,26411008,147521536,917504
778272,487019,17976569,21493403,14210996,7,0,16774420,26869760,142934016,2490368
799454,507843,18541461,21715095,14200399,0,0,15870354,29818880,139853824,7274496
776381,516112,17271296,21489746,13409017,360,0,15600090,27656192,145424384,0
783599,568347,15417326,21687891,13575328,0,0,15692682,27721728,152174592,0
797080,562612,15407142,22201045,13927146,0,0,15631132,38010880,172163072,68616192
775778,549548,14901023,21763102,13723437,0,0,17013920,34209792,350289920,0
741698,542505,14814012,21304606,13361566,1,0,16128484,34340864,352256000,0
821462,546724,15098708,21902241,13809770,0,0,15234654,35127296,349175808,0
899534,500738,17576061,21495319,14909350,0,2,15834940,27197440,219676672,2818048
891473,492912,17423401,21136102,14571410,1,0,18402332,29360128,232456192,0
902967,499789,17559131,21162709,14645323,1,1,16804154,30277632,239861760,0
