l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
36449,16391,25231101,9262547,626318,6729,0,16879121,10682368,524288,0
66523,15154,56381807,16318578,566929,7089,0,18446672,9175040,917504,65536
67970,18754,51951739,16238397,537773,12533,0,17768988,8650752,327680,131072
32331,21724,48804243,15714732,680848,14547,0,17792512,7798784,1114112,0
26981,12691,54536081,15830377,446404,14369,0,18249355,6881280,262144,0
27861,10458,51139807,16048246,464987,15700,0,18072028,6619136,196608,0
25784,1607,25609651,11721809,2183652,8157,0,17196232,6160384,1048576,1507328
61349,590,19486033,8609345,984910,3798,0,15204718,6094848,393216,0
16949,360,7553336,6863301,1431883,1252,0,17056671,7733248,3473408,2555904
48429,4701,19704943,20402932,6354475,13594,0,18826671,13893632,6356992,0
119696,5255,37644304,17139915,1707831,19789,0,17164618,14155776,720896,0
113706,484,45379277,20159443,2019778,13154,0,17706884,12451840,262144,65536
84435,271,46319239,20342466,1848584,11997,0,15833284,10092544,655360,0
106925,553,46556539,20528098,2156592,8851,0,14818706,5963776,458752,0
103080,446,46511635,20539801,1977555,5709,0,14638412,4915200,1310720,327680
62806,132,24530370,10472277,902061,318,0,16220736,6553600,1835008,917504
25434,703,8791097,9669989,3126045,5103,0,14715536,14483456,4259840,0
54410,8220,19391339,18902668,5689924,13483,0,15820994,14548992,196608,0
116937,400,47278195,20729783,1867831,12956,0,16235113,13565952,327680,0
140643,336,47651916,20938313,1886797,13528,0,16135608,12124160,655360,131072
113849,566,45849666,20410680,1592263,7960,0,14654844,11599872,131072,0
121340,508,46506985,20636740,2137007,5470,0,14553204,9043968,393216,65536
108198,453,46937930,20626161,1925784,13974,0,15996594,7077888,524288,65536
2430,49,3517102,1338252,225073,143,0,14565035,5701632,393216,851968
25399,28417,55760839,16539643,531893,14697,0,15647300,4456448,327680,131072
93860,534,46535208,20429020,2288501,11468,0,15816680,7864320,720896,131072
93829,518,46213196,19891703,1673248,9887,0,14729880,5636096,2359296,1507328
7106,20,5287748,2449742,242690,52,0,18428374,6946816,2686976,0
39213,1708,13956467,14862047,5097201,6858,0,16908292,15335424,2621440,0
93606,8322,26045451,17706630,3979508,13465,0,15391348,15007744,131072,0
107579,432,47166526,20627486,1803232,14467,0,15966204,12845056,262144,0
134935,496,47265402,20804451,1947248,13429,0,16546884,12320768,589824,196608
89584,538,46097541,20382971,1665588,10770,0,14769853,12255232,655360,0
94723,549,46713764,20843534,2088349,11971,0,15613064,10223616,589824,196608
84614,438,46246509,20365051,2012942,13955,0,14998999,7798784,589824,0
34628,101,16272981,6857334,555254,2666,0,16267341,6684672,2359296,524288
26076,575,6920380,7644356,2455751,3566,0,16841433,10747904,7274496,1572864
57761,5046,17851411,18152348,5670787,12974,0,16434216,14483456,3080192,0
135614,871,46237738,20379867,1819885,13362,0,15863484,15007744,0,65536
108244,612,46365525,20492578,1815472,10387,0,14835312,12124160,131072,0
107471,482,46701200,20335494,1770305,13321,0,16084348,9502720,327680,131072
127661,456,42103923,18280394,1774141,11702,0,16357544,6815744,327680,65536
19366,2371,353727,457348,215148,198,0,15289206,7995392,589824,131072
31747,9082,12782981,12550783,4061911,6858,0,15059416,14221312,65536,0
86222,35853,20923037,17927487,4842640,14942,0,15961141,13697024,65536,0
137581,761,46095013,20170038,1763728,11336,0,15072628,9175040,458752,65536
122755,216,46852207,20683849,2047795,10247,0,15371532,8454144,327680,0
123816,320,46538690,20228777,1838594,9001,0,15080480,8257536,262144,0
127565,780,44689444,19624612,1753581,10033,0,15474644,7208960,524288,65536
117039,187,46737822,20485238,1756364,11584,0,16133412,6750208,327680,65536
118499,119,47032177,20475082,1633721,12360,0,14922148,7340032,2359296,458752
114978,444,39564576,17208734,1694695,9054,0,16035616,7864320,2293760,3407872
25790,896,10318812,10145113,3059227,4981,0,15071610,15007744,196608,131072
39946,5351,16107394,16265219,5133775,9449,0,15442252,14548992,131072,0
131347,4411,39986644,17981107,1534734,7441,0,15807210,13828096,327680,131072
114337,322,39815813,17549003,1547774,7147,0,15429724,12517376,458752,131072
118312,467,40024815,17664499,1603838,4970,0,14818132,11534336,1048576,0
111295,175,41394256,18291007,1715367,6666,0,14790969,10289152,851968,0
134130,273,43994264,19610636,1917608,6577,0,16654141,9502720,393216,0
137149,356,46008332,20146724,1737080,8604,0,15028684,8323072,458752,0
127076,58,46235907,20678047,2021589,12339,0,14491056,7405568,3473408,0
140078,1777,42501038,20832754,1901331,9462,0,14060676,9699328,327680,0
124212,400,47866197,20684647,1785879,9377,0,15087280,9043968,327680,196608
112690,312,45417017,20168784,2004513,10760,0,16123948,8323072,983040,720896
123144,432,47409871,20548098,1738579,9051,0,15490194,5177344,1835008,0
122268,483,47110875,20567707,1753581,11049,0,16184186,4849664,196608,0
114447,182,47348571,20621419,1700404,10729,0,15680384,4915200,1441792,655360
115288,290,47230136,20455728,1612988,11801,0,15370862,6750208,2162688,2752512
118566,457,46309062,20428373,1802829,10270,0,15502063,12451840,9502720,0
86825,186,33986442,14703274,1290748,2420,0,16164217,14942208,983040,0
19378,312,6234914,6943146,1866317,1024,0,14708384,13238272,196608,65536
52558,4414,19900974,20326036,5933908,13660,0,16026900,12451840,327680,262144
138707,5480,36558014,16801235,1715893,14567,0,16655122,11141120,458752,0
152751,522,45807144,20221022,1866259,13403,0,15856228,10485760,655360,0
140120,328,47708517,21057937,1977795,11116,0,16840746,9568256,393216,196608
135085,209,46456389,20462140,1882861,11657,0,14974628,8585216,655360,0
141167,320,46788060,20437307,1747407,11165,0,15624948,7864320,524288,0
136941,425,45491640,20013651,1818653,12938,0,16237400,7274496,327680,0
129807,242,46992871,20576821,1892302,13035,0,14591310,7012352,2097152,0
142598,723,45100607,20423573,1862666,13656,0,15907832,6225920,458752,131072
137892,280,46499507,20478588,1937966,12973,0,16226644,6160384,2424832,196608
140728,312,46272431,20435809,1835949,12395,0,16278084,7274496,1703936,2686976
139505,799,45481311,20069913,1899933,11645,0,16829288,12451840,8126464,0
137106,208,47568095,20657542,1660137,14789,0,15798240,13893632,655360,0
23790,78,9693420,4082112,333399,1184,0,16409922,13369344,262144,0
23653,6591,36361091,12361596,1160872,6251,0,15550548,12582912,8454144,0
41177,13564,55843892,16828890,912347,10983,0,16636624,14745600,1179648,0
