l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
10475199,3720811,1289474152,1537922548,823309061,0,0,16562472,19333120,3014656,524288
10880398,3979772,1215923556,1542665042,863720333,0,0,14933170,26279936,4915200,327680
11353747,4277558,1169645517,1577957256,924752287,0,0,18484022,23724032,3473408,65536
12299573,4550916,1163251687,1645024453,987850403,0,1,15933054,18874368,4587520,0
12721710,4715990,1148232336,1666335752,1017967828,0,1,15837918,21889024,2883584,458752
13231181,4950418,1138685174,1701021439,1051586119,0,4,17058496,18219008,3276800,196608
15106261,5642130,1224369281,1903218649,1204041841,0,0,13348488,27262976,3145728,0
13589695,5147091,1075857810,1712465304,1092749168,0,0,17592128,23199744,3670016,0
13891356,5120893,1047309940,1692086990,1087748716,0,0,16253642,25755648,2359296,1179648
13885392,5139830,1023141051,1685001846,1091657865,0,0,17475308,20971520,3670016,0
14148672,5268256,1030298304,1710867798,1107040765,0,0,16028440,18677760,3932160,196608
14216231,5256525,1012755712,1706562559,1123339298,0,0,17734820,20185088,4915200,0
14462170,5371608,1008021763,1719729755,1130917345,0,0,16556480,20185088,3407872,0
14428170,5280903,983114821,1695192920,1118626122,0,0,17033838,25034752,3997696,983040
14475374,5352010,981569344,1689645171,1117105967,0,0,15382658,22478848,3342336,589824
14584173,5406992,976479633,1709198161,1134105205,0,0,16653444,23330816,3604480,65536
14645999,5419159,973046328,1715122712,1138531225,0,0,16996582,23592960,2686976,0
14758990,5454391,970916534,1718629802,1145474549,0,0,16657880,18481152,3735552,0
14565397,5453162,949451367,1691584750,1132350875,0,0,15801480,26476544,2686976,262144
14345976,5313604,934772904,1677456692,1125305132,0,0,18100752,25493504,3211264,589824
14720040,5463377,957104752,1719798472,1152600151,0,0,16590548,21757952,3407872,0
14640004,5462092,935962182,1695883346,1140413950,0,0,18270420,15532032,2490368,0
14821014,5546126,951436451,1729344215,1165383424,0,1,15157018,26017792,3342336,524288
14970661,5581335,955102569,1730937334,1167805231,0,0,15119780,25165824,2424832,393216
14809662,5516361,944797706,1723970398,1165222080,0,0,18942334,22151168,3538944,655360
14408794,5447567,926858578,1698477516,1148298302,0,0,37026770,35061760,61210624,0
14847584,5490280,939488250,1721537092,1165099473,0,0,14364300,37683200,36634624,0
25490357,12585475,1145489685,2876089261,2171607560,35540,1,17699688,37027840,48627712,1310720
26451,16047,678435,2679498,2140137,29,0,13335640,38141952,50987008,0
466247,288147,12445270,50024425,41482133,1239,0,15047104,37814272,41353216,0
60308,38663,1637204,6357889,5131693,113,0,13813860,38207488,44105728,458752
76860,40178,2133083,8932863,7645078,163,0,15245918,38141952,43909120,0
130628,74954,3678559,14918692,12352009,336,0,13963632,38338560,39387136,2621440
129079,77456,3644991,14666281,12196159,346,0,15261260,38797312,45350912,0
101483,64394,2909215,11432948,9346965,275,0,13902144,37945344,40960000,851968
154665,94031,4353658,18048296,14760503,435,0,14273321,38338560,37879808,0
152223,95719,4368704,17674603,14665914,462,0,13354360,38338560,43974656,2097152
148807,92012,4282721,17228802,14284758,486,0,13947109,38338560,48234496,0
45156,26044,1234538,4996621,4029389,66,0,14719970,37945344,45350912,0
96428,62471,2684639,10896257,9147415,285,0,13206804,38404096,41877504,393216
152772,104299,4322564,17255442,14272134,482,0,14460232,38207488,46792704,786432
152320,103890,4273610,17067846,14131936,479,0,14764828,38207488,45613056,0
100570,69237,2861933,11283851,9289804,303,0,15531646,38273024,39321600,917504
122488,69344,3489829,14251547,11837934,330,0,10570952,38731776,42467328,0
122146,72232,3512090,14399527,11962784,351,0,16473812,38469632,32899072,2228224
126207,70914,3534458,14386510,11888062,354,0,14689144,38600704,50200576,655360
67142,40244,1937137,7778341,6334015,201,0,15169768,38731776,44630016,0
477931,298132,13668958,56665671,49572708,1605,0,13237444,38404096,40370176,0
40110,23373,1095265,4260609,3449757,74,0,13979824,38797312,42467328,0
416397,247521,11550895,46619399,38653732,1445,0,13006896,38666240,31260672,0
96563,54303,2554533,10361238,8542037,216,0,13230056,38535168,40566784,4259840
378967,244134,11237703,45137147,37467028,1027,0,13566928,38666240,42074112,3735552
73378,44180,2151661,8529882,6941003,136,0,13766652,38600704,44171264,196608
102476,57244,2605841,11020890,9258558,247,0,13361540,38600704,42205184,2424832
