l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
1880097,702707,3506884607,1485045441,50854345,0,0,52889000,34013184,24707072,0
28934206,21220773,5725999800,4511184324,1762307510,139122,17,17515362,27852800,42336256,10354688
390986,7584,48013978,20230275,4314558,386,0,57817645,32768000,39321600,0
361967,7176,47731501,20018321,4096940,200,0,44198404,35323904,91947008,3211264
328240,6916,43615450,18999076,4202031,51,0,109679893,33292288,25755648,0
378822,17185,41770457,19540906,4962674,329,0,20837006,30343168,11862016,3735552
956053,105266,89674619,45995204,12148758,1168,0,23259084,25362432,24051712,19070976
357343,54321,45969613,19652269,4486110,789,0,51874784,35520512,108396544,0
349552,52877,47598170,19672031,4962471,1947,0,51558414,34078720,51904512,0
361664,43123,48621663,19493454,4610364,2279,0,36429182,34668544,17825792,7929856
328144,23457,49800128,19528768,4462349,2392,0,94522389,30998528,31391744,0
326174,30393,44470592,19604224,3906203,589,0,27005325,28180480,24707072,48234496
331702,32956,43205712,19487106,3727154,932,0,76926690,35520512,131989504,0
491250,45825,69827469,29896724,5915503,1036,0,44389740,35651584,51576832,9633792
389719,26539,55594289,23858443,3525979,627,0,35352035,34078720,94240768,0
384535,26043,55643888,23818032,3192449,32,0,46952925,33685504,40960000,0
367466,21849,51232382,23442925,4667597,688,0,18446976,29229056,41091072,5046272
383408,18914,55619509,24038948,4834719,360,0,23953517,31064064,56295424,16908288
332473,17895,43695455,19616175,4470219,80,0,71305415,32047104,91750400,0
351785,17805,46626953,19532116,3582189,8,0,58717844,33816576,17432576,5963776
343357,17934,47657248,19707608,3584220,177,0,76806582,33095680,29884416,0
323074,17573,43552198,19503385,4317754,680,0,20872622,27525120,33816576,13434880
330520,20549,44464274,19558873,4134418,799,0,45828892,33816576,65667072,0
398642,11528,43490201,19902837,5023756,578,0,48482028,33882112,37093376,6094848
439816,28431,41111621,19780534,5541734,686,0,35121096,34734080,52035584,0
384956,21681,43253969,19685999,4609454,1293,0,42371012,35848192,35717120,6422528
351439,24594,43921882,19883882,4539553,868,0,42910216,34537472,36044800,2818048
361731,17520,50254681,19977927,4216536,358,0,29749300,36962304,76873728,6356992
