category,canneal,nn,CG,SP
runtime,72.91318321228027,79.30456471443176,135.03028392791748,152.95632672309875
l2miss,2421201058.2765036,4584667144.718793,4239656928.824154,3941282547.172044
l3miss,1373767851.2089276,1074277.7777777778,798715807.1116878,2226607530.6854935
instructions,75096431258.52449,415820392338.82025,43105578747.96556,156533789742.1314
cycles,272285845528.2083,755637156502.7435,112076210768.07407,98015587077.18703
stall_cycles,219214177876.00745,488172376950.6173,85710266451.35039,37491076865.859436
intra_coh,6282937.383756975,3365665170.7818933,1825263.002712584,402701.46722410666
inter_coh,21.078735275883446,528.8065843621399,45.81908243896686,73.40064684073519
wall_cycles,33556632942.34346,22547853299.03978,14606564274.324802,12242354503.786385
llc_size,36578961061.37632,6375151495.198903,7697910036.560915,35556578254.16108
local_mem,73399385512.70923,1507238101.5089164,46203363075.83442,167782938777.31323
remote_mem,10304794504.649721,139702255.14403293,3394457950.22998,8684463466.119743
