l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
293327,230491,12595674,10251789,4546450,7,0,17471776,30277632,210501632,43646976
472923,463192,18507485,15570785,7404907,0,0,17201814,34078720,350617600,0
460873,452099,18120612,15781745,7703973,0,0,15936072,35389440,326238208,11272192
422592,445108,17592838,15275894,7321007,0,0,16375414,34734080,338886656,0
360538,403977,16789190,15533816,7424037,20,0,16500756,38535168,359399424,2424832
375342,275615,14080334,14582212,6961753,0,0,16703496,34603008,352124928,983040
311314,272431,12122928,10285276,4372863,9,0,16621362,35586048,340525056,851968
676019,240754,14047669,20706186,13991726,4,0,15282224,33816576,321257472,0
957184,344901,39622178,20207685,4454451,6,0,15450102,33030144,132186112,29163520
727352,394196,27582304,20013717,8621194,1,0,16189392,32505856,170524672,22151168
751118,449949,51140944,20709012,1833850,1,0,14750368,35520512,294780928,0
701967,245563,22605315,19937876,7695032,43,0,16044514,33161216,156565504,0
809621,497044,42440214,20176580,3722319,2,0,16589904,31195136,133693440,0
903397,336033,37326937,20143672,6007562,26,0,18004604,33554432,120717312,2818048
734355,432994,31625842,20029100,5914729,0,0,14276904,32505856,128647168,7208960
959474,470971,52955826,21257464,1838393,32,0,16836448,32702464,125960192,0
621253,292853,21846789,20007447,10065210,0,0,17606329,32047104,142671872,0
770365,489978,46875863,20530360,2463455,0,0,16243776,32112640,145031168,22872064
835551,300217,33293315,20670572,8098777,12,0,15082848,32440320,163774464,16646144
793864,451155,37446166,19983424,5319548,0,0,17871596,35192832,308412416,0
805303,430627,45557036,19954454,2944128,26,0,15695608,33947648,169017344,0
479868,264518,30504670,19942343,8887562,10,0,15966224,30670848,123666432,65536
867988,273227,32984226,20078483,6294778,1,0,14683802,36831232,307167232,1703936
790173,466137,37471348,20201041,6431447,2,0,14236838,37552128,324468736,20840448
996121,397186,45844165,19969946,1988022,24,0,15821006,35454976,367788032,0
586016,317776,22048257,20398117,10604130,2,0,15789280,36896768,347209728,0
746519,492795,49491192,20814216,1868309,2,0,14877576,36634624,352256000,13303808
779818,261025,30532215,19974443,8811942,30,0,17086032,36700160,357236736,0
825396,479555,43463792,20250250,3946998,0,0,16017976,11141120,100401152,0
999714,387140,43566174,20630418,3840644,0,0,17862210,37421056,167575552,12976128
703260,354320,24096182,20359591,8964633,0,0,16217244,29556736,186777600,0
695591,484770,53040626,21074135,1502608,0,0,18477724,31653888,179568640,0
