category,nn,freqmine,CG,SP
runtime,76.7570366859436,85.5900285243988,136.93973469734192,153.625901222229
l2miss,10755091222.222221,1348598493.9238455,5537502983.807236,4823958328.482329
l3miss,1305470.3196347032,218210409.9378882,1052128863.8723173,2730706571.580525
instructions,884715921502.2831,655776522440.7238,57676327086.54219,191947317780.68945
cycles,1560322882922.3745,360959527084.256,144084233369.1795,120455308704.24988
stall_cycles,996588405100.4565,88022399342.15501,108426312324.55257,46256931394.52691
intra_coh,7703540968.03653,341616145.55765593,2389492.7558689085,407801.0926848136
inter_coh,1188.7366818873668,331.6230083715906,34.554892693887034,99.59870424986704
wall_cycles,58593679473.36377,41254473392.1145,18200532451.84783,14669419683.74994
llc_size,10608652468.797565,28751933390.224144,6207732198.651894,36697938816.61268
local_mem,3967571385.083714,7463900880.3672695,56879926722.55366,196049646461.34506
remote_mem,712516968.0365298,1629834128.0043209,8594903974.587433,20487777310.448196
