l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
78295913,6491,6495086671,11449148052,7303372981,55839205,0,116440660,1245184,5832704,2490368
89842984,8555,7496820118,13190320082,8408976823,64499394,0,19198490,3342336,2162688,1900544
425614259,119328,35755440753,62995582952,40116467424,304290439,46,107216492,5832704,458752,0
144515,49,10818838,19406370,13474233,108570,0,26253352,3473408,11010048,0
579615,207,50502978,88750033,56457371,314596,0,90743898,3080192,10747904,0
407990,84,36552349,64124447,40761038,316583,0,23441766,3276800,8060928,6815744
429322,45,36189029,64248033,41020711,335057,0,123003644,4784128,9961472,0
421361,159,36647246,64849119,41898903,273395,1,44608658,9437184,2097152,0
422020,111,37005581,64622280,40893113,262789,0,24872162,10027008,1900544,393216
401495,102,36584283,64283688,40874251,335897,0,49455416,3473408,7405568,1048576
381540,138,36613517,64276571,40728772,280051,0,87274178,3473408,3407872,0
573258,126,50679604,89091590,57796848,398016,0,18886134,3145728,983040,524288
457094,108,36413181,64534257,41117523,274969,0,19231760,3211264,4784128,262144
405973,72,36720598,64237199,40888811,318649,0,53755010,1703936,1638400,589824
415276,58,36535672,64255241,40957654,325480,0,77162878,1376256,4325376,0
154551,49,12367780,22793797,16242690,124485,0,19992084,2228224,3211264,5898240
387544,147,33695871,59183509,37590572,192638,0,36468915,3604480,1900544,262144
232137,53,19683340,34777692,22150677,171853,0,26426298,4849664,2293760,0
115547,28,11820921,20951448,13369587,105004,0,21907848,5898240,2621440,393216
137880,21,11836102,21250701,13951839,100253,0,91313928,851968,7929856,0
688707,145,59374253,104084047,65890440,426442,0,142811780,5570560,18546688,7012352
420907,121,36713335,64216427,40750327,329959,0,191823064,1507328,11862016,0
404560,47,36262319,64182730,40887125,319019,0,44662894,1900544,1441792,458752
436790,85,36603661,64841350,41799071,280919,0,42502300,2490368,5767168,262144
450566,83,36601998,64764788,41121256,278607,0,91237392,1572864,1966080,0
138837,39,11968209,20982841,13246220,92576,0,21997822,1703936,1376256,786432
138570,17,11885792,21051711,13450843,109142,0,66204914,4521984,2031616,5111808
138174,41,10494048,19115724,13659373,104243,0,20127765,2097152,3080192,4456448
604238,67,51057998,89987593,57423355,298581,0,26420308,2424832,1441792,1835008
425052,49,36551445,64262593,40842286,325967,0,57387310,3866624,6684672,0
406898,22,36173859,64191568,41124913,342140,0,64848936,4128768,1572864,0
454775,69,36686604,64826234,41892561,311468,0,21282184,3407872,1310720,2228224
435105,62,36526395,64603043,41124382,211204,0,49316700,4456448,6160384,0
433699,65,36583769,64349996,41022788,334284,0,59116198,5898240,1376256,131072
355235,7,36392961,64250259,40896556,309342,0,21353614,4521984,3473408,3473408
138187,17,11258013,20266763,13189349,90420,0,21501464,3276800,1376256,327680
141523,24,11542140,20523117,13015926,94940,0,20517544,4259840,5570560,2686976
132679,13,11819980,20846421,13285408,105183,0,20266774,7274496,1310720,0
799651,73,71050253,124978060,79755750,604949,0,93841298,3014656,1507328,786432
437161,34,36610563,64928540,41972892,310294,0,96024834,4915200,6750208,0
459493,59,36460865,64713362,41343127,277187,0,22944882,5963776,7929856,1441792
398262,44,36917459,64289554,40843323,314282,0,109040976,7077888,3211264,0
410937,33,36265121,64217661,41008894,336922,0,23739532,7077888,1638400,458752
455826,80,36873650,64785715,42000641,309516,0,45598612,6094848,10747904,0
174750,26,14867320,26023024,16340339,103526,0,108287944,4325376,3538944,0
148939,12,11917470,21176566,13519955,115047,0,66656068,8650752,3735552,0
124212,36,11926494,20766507,13183281,96137,0,42888356,2293760,1966080,458752
365980519,61128,30222765910,53266501455,33999910890,262160219,81,32818016,4063232,2621440,2162688
410106,153,36606698,64104593,40786915,333411,0,61892716,7536640,4063232,0
137470,46,11967389,21142426,13468904,105875,0,25370338,8323072,1179648,3538944
420105,195,37008235,64692748,41996733,266073,0,22447740,2162688,1572864,0
452017,132,36398783,64710802,41403792,285385,0,20135236,2752512,4390912,1966080
397752,102,36615753,64228005,40842597,309100,0,91766400,7274496,3276800,0
419894,91,36434007,64364394,41177883,318977,2,22723160,7929856,3014656,1048576
422109,135,36901774,64685992,41613307,283148,1,102055260,10747904,1376256,0
429240,152,36840403,64596950,41034954,216408,0,23822598,2686976,8650752,458752
149263,70,12468852,21910534,13893037,98450,0,130368436,1441792,1769472,196608
647520,260,60491163,106666250,68148003,535769,0,29313904,3211264,6225920,786432
146861,84,11543040,20861105,14173622,108859,1,91578404,5963776,3145728,0
159168,54,12108506,21400583,13377221,106230,0,20184908,8454144,1245184,1310720
147219,27,12055604,21296581,13601203,107474,0,17373413,7864320,7471104,2228224
714543,208,61436964,108289689,69258312,585694,0,143590079,6160384,3801088,0
134274,50,11591095,20926210,14124797,94378,0,106581436,7274496,4325376,0
149112,48,11808714,21072610,13113186,97082,0,129224412,10289152,10944512,0
418568,83,35568949,62807972,40138366,349610,0,81932022,9830400,6029312,0
138909,32,11850878,21128625,13503678,111369,0,40973336,8126464,7536640,0
146710,38,11636168,20824081,14031256,107539,0,106071322,9764864,2031616,589824
154685,22,12274260,21919092,13677593,95325,0,88053235,7667712,6422528,0
562030,75,45185151,79383801,50589447,440392,0,84528040,9633792,3145728,0
143733,13,12510986,22164998,14152281,121502,0,24207490,9961472,1835008,0
123519,11,12247217,21739253,13917534,115314,0,23707674,10747904,3997696,4718592
129082,17,11525119,20384130,12054413,69620,0,21895976,9371648,4915200,4653056
153851,16,12380588,21790844,13920158,115996,0,20001376,8912896,6553600,262144
137647,50,12265488,21396579,13614367,105821,0,42321884,9502720,2162688,3342336
135847,20,11493590,20459130,13900951,97834,0,19739874,5636096,1769472,0
400234,132,36987771,65041024,41292343,234442,0,103850686,7864320,6946816,0
149193,26,12082490,21407809,13632984,108077,0,46607034,8519680,2097152,262144
353397,71,34504630,61176239,38985849,300762,0,69966460,9830400,1769472,0
614219,210,49226864,87152545,56611481,401973,0,23450694,11206656,2621440,3997696
150412,31,11943618,21295891,13198079,92113,0,87733348,2883584,6619136,0
387737,58,35281154,62389590,39856053,323171,0,23143970,1310720,1966080,851968
143483,6,11813792,20995479,13456140,114784,0,42529392,1900544,7667712,4849664
380356951,51476,31199860494,55025855970,35153869956,272497407,77,21952572,3342336,3932160,2686976
146308,44,9054235,17718440,13687026,109732,0,114055888,3145728,3538944,0
122019,3,11557322,20329088,12984760,95861,0,64184725,6815744,3538944,0
152317,19,14400576,25430373,16208050,127817,0,84236048,6946816,5832704,0
578170,0,63609053,111598570,71205742,529884,0,30051828,6750208,1703936,0
446679,51,36537352,64735634,42122385,315846,0,102520242,5439488,3211264,0
448610,57,36569005,64767080,41355296,295146,0,23725674,6029312,1835008,0
442144,67,36348283,64226859,41065108,336991,0,24709504,6750208,1572864,0
451660,20,36364328,64156904,41004816,330916,0,23850034,7471104,5242880,1703936
128646,0,8051627,17079806,13671919,91488,0,91077844,2228224,2686976,1900544
137781,19,11751842,20898845,13400092,67548,0,110704676,6291456,3407872,0
134375,17,11447987,20510608,13214440,111996,0,30696696,5832704,1572864,131072
357714,73,30956327,54884401,35068654,285449,0,28860572,6422528,1966080,524288
426652,100,36832295,64932439,41530378,283133,0,43530004,1900544,3473408,0
467297,74,36387729,64620554,41395148,292140,0,18758996,2097152,1179648,2031616
458145,65,36259575,64360149,41173957,351914,0,46645932,1703936,8257536,0
421248,36,36270835,64238963,41090718,320653,0,93479016,3407872,6422528,2031616
140227,143,9605027,17966030,13432339,107268,1,18582688,1900544,6881280,65536
154116,39,12275094,21713668,12692051,90600,0,136515246,5898240,1835008,0
147330,33,11805029,20898726,13341898,98744,0,25653568,5046272,5767168,65536
131430,40,11772549,20775212,13242327,111617,0,103843878,1310720,3932160,0
34482,16,11731900,20986396,13438150,107801,0,21421896,1441792,1835008,0
157681,53,12963399,23118146,15416860,117006,1,22394626,1835008,2293760,1966080
731670,121,60090781,105852576,67456381,425559,0,86813374,3604480,7667712,0
183931,39,14419438,25541072,16312039,138320,0,58029020,5111808,1638400,0
652208,169,58800687,102934964,65593536,509819,0,28803086,5898240,2490368,3997696
127682,94,11114717,20034661,13741863,89951,0,90154814,1376256,1310720,131072
150772,40,11827194,21050126,12668835,96074,0,66116184,2228224,8912896,0
145698,27,11858096,20895257,13246337,98973,0,108221892,5570560,4784128,0
590529,100,50680551,89779821,57373590,454845,0,24562612,1835008,1703936,1179648
691065,134,58229748,102131934,66095727,485758,0,98471378,4259840,6356992,0
907957,170,72915865,129075111,82525961,666760,0,20645206,4259840,2162688,524288
139472,18,12006716,21350066,13670581,117530,0,41216864,3604480,4587520,0
882805,314,73151583,129211193,83042312,616094,0,72849372,5373952,2949120,0
170855,30,14403627,25229519,15842460,103924,0,28515596,1835008,1703936,0
151957,24,11876261,21108099,13498582,108629,0,54589556,2949120,7208960,0
117392,13,11751953,20820849,13261462,95233,0,137221067,5111808,2359296,0
350216587,51409,28629647781,50519755116,32276412824,250553007,71,147142970,2293760,7602176,0
142302,38,11333907,20118678,13663515,104220,0,100629200,2818048,1376256,1966080
146630,15,11529775,20643063,12467757,90705,0,49605384,1835008,1966080,65536
144359,20,12200605,21176588,13367935,99702,0,19816616,4456448,1507328,65536
142786,16,11846230,20796393,13274775,114733,0,33748326,1507328,1769472,1507328
401177,23,36827026,64824069,42075660,260080,0,129259362,3932160,4587520,0
454832,49,36461929,64667570,41362667,289006,0,23866028,3997696,7274496,327680
412662,20,36619142,64314814,40971215,342361,0,108275398,4653056,1966080,0
