category,swaptions,canneal,CG,SP
runtime,56.67028832435608,69.9908299446106,135.62843561172485,151.56091690063477
l2miss,569247646.3878328,1359839307.0699964,3819583791.7000055,3699686170.140177
l3miss,9019939.163498098,769696628.9131199,721636227.3963834,2091563063.561522
instructions,4934099632840.305,42563333042.56068,38438835686.66986,146951197907.439
cycles,2873840702969.5815,153364445489.2719,100407768498.58644,91061833411.48112
stall_cycles,617870619973.384,123260417016.88356,76683216465.35446,34243987395.75762
intra_coh,397619520.9125475,3481454.4495251495,1733498.6397823652,344184.0094934362
inter_coh,1258.5551330798478,10.552233556102708,12.695364591668,20.173551880145368
wall_cycles,22881743000.0,20127679209.98945,12856700121.61946,11283906259.80865
llc_size,669812806.0836502,37299550457.96694,6998428178.1618395,36024249216.93985
local_mem,165958083.65019011,43857368920.15476,40430758433.45602,161704227790.2544
remote_mem,35633642.58555133,3583710412.944073,2344033281.9117727,6420581313.950901
