l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
31453326,35700928,26131236740,11679601247,4013411508,33845,1,15560760,8585216,72482816,2162688
262083550,66507766,11541558198,10786976035,6621031309,130864,1,15680062,10223616,60555264,655360
1107697,194794,9620047,21485855,15517989,0,0,15640180,10092544,62914560,0
986521,183567,8822297,21027073,15378248,2,0,16817560,3211264,35782656,1310720
1073586,199454,9586205,21077648,14979802,0,0,15466704,5308416,53346304,0
992487,185044,8890937,20864746,15109987,0,0,18112792,4259840,36438016,0
1024521,191797,9227862,21309547,15494251,0,0,16347880,5111808,37748736,2293760
1089885,203592,9726075,21113484,15077451,0,0,18519872,4325376,43515904,0
993462,186053,8960993,21013409,15383307,0,0,16965762,4390912,41484288,0
1083838,202861,9728555,21193872,15081855,0,0,15639108,5046272,38338560,786432
1021412,190011,9107936,21119305,15422441,0,0,16108584,3670016,38928384,1835008
1023791,191848,9222406,21162394,15361792,0,0,16394500,5701632,43843584,0
1102957,203961,9744000,21018830,15022638,0,0,16803936,5177344,35848192,786432
998869,187883,8991330,21103048,15445252,0,0,16975096,3342336,34930688,0
1074638,203316,9707045,20894131,14785618,0,0,15705354,6422528,35782656,10551296
1002053,194273,9153985,20713808,15136904,0,0,15182738,8388608,71303168,2293760
1022307,192648,9223439,21054364,15254174,0,0,15938944,8650752,77463552,0
983092,184819,8876035,19060391,13544865,0,0,16852292,10551296,69337088,2162688
912967,152362,9292562,21157144,14540185,24,0,15954476,9633792,74842112,0
270585,95897,9651720,21756576,12865360,217,0,16307812,9175040,70123520,0
604744,138627,10022787,21844937,17063870,16156,0,17373672,11796480,59965440,0
595380,110330,5298993,20814853,17397940,0,0,16316074,1572864,8847360,19070976
601118,107516,5238248,20711859,17382525,0,0,16443016,10092544,76546048,0
597110,113070,5578031,20812101,17302656,0,0,15175236,8716288,76283904,2818048
596384,112254,5428161,20636491,17636784,0,0,16275986,12320768,74317824,0
892002,166949,8071385,20855490,15745683,0,0,15892956,9371648,74711040,0
924871,171597,8211249,20141847,15044396,0,0,15750976,10551296,67764224,0
881545,165827,8011738,20960155,15580561,0,0,14669564,10354688,61997056,0
1011245,189351,9092326,21348376,15603611,0,0,15563696,8388608,39649280,18874368
1040274,193988,9254860,21269813,15529791,0,0,14380814,8388608,72679424,0
957979,179239,8627176,20754466,15350477,0,0,15440060,6619136,45613056,0
1069122,197966,9483247,21433117,15479557,0,0,16609628,8126464,60686336,3670016
1014027,187215,8985902,21261669,15639082,0,0,13550640,10354688,67371008,0
996710,184962,8867796,21213589,15676336,0,0,14639176,9175040,64749568,0
1093512,202321,9862783,21708717,15663215,1,0,14539704,9830400,63832064,3276800
976133,183390,8799394,21817916,16148830,0,0,15988796,4325376,37683200,0
982766,185383,8853417,21043463,15492588,0,0,18108786,10878976,81461248,1966080
1048318,197479,9400201,20665216,15011903,0,0,17931518,9568256,79036416,0
955411,179292,8686547,21261233,15619258,0,0,15318820,10158080,71499776,2949120
1010719,189561,9176467,20678848,14946209,1,0,15188038,8323072,71892992,0
965500,183141,9112523,21053716,15506603,0,0,15857080,8781824,68288512,1900544
979621,183678,8823208,21067974,15526764,0,0,15783316,20185088,54263808,0
1041793,194582,9338513,20669893,14821228,1,0,16208556,6225920,23265280,13631488
940756,175104,8399310,20686841,15377140,0,0,16044296,9175040,59572224,0
975444,180022,8697734,20839022,15385903,0,0,16245448,5111808,41877504,0
1064258,199985,9559669,20496917,14537275,0,0,16116224,4653056,41615360,262144
907349,172045,8301134,20539799,15718397,0,0,15644804,6029312,41680896,65536
973934,182222,8806127,21107074,15510323,0,0,14951732,4587520,35913728,0
1039820,192774,9166763,20678271,14967195,0,0,14729616,3997696,40697856,6815744
974367,182247,8778693,21230057,15558076,0,0,15176196,11075584,59113472,786432
1025765,192457,9244503,20993969,15168076,0,0,14842892,8978432,56360960,0
1011915,189059,9055457,21501180,15770341,0,0,14779340,5308416,38600704,0
949150,177478,8487777,20424641,15208308,0,0,16182964,8323072,37421056,15532032
1109386,206003,9891650,21543874,15332094,1,0,15436240,10682368,62193664,2031616
949010,178248,8542088,21036099,15683897,0,0,15100644,7733248,63897600,0
974515,181927,8743391,20904033,15383984,0,0,15489256,8847360,60424192,1769472
1098397,203222,9708398,21563196,15627864,0,0,16536640,4849664,47513600,0
972626,183110,8770333,21187221,15647541,0,0,15384784,4521984,36241408,0
861676,104865,9513585,21108757,14363358,24,0,15384428,5111808,36175872,1376256
737078,124366,12742914,20676276,13573330,16511,0,16383132,5111808,38404096,0
953931,177812,8592506,21162779,15755939,0,0,17965418,4390912,42860544,1310720
1052644,197006,9568026,21050432,15083957,1,0,16367982,1572864,15400960,0
952452,178075,8571099,21261956,15950834,0,0,16700690,4849664,21889024,17039360
972789,182586,8769443,20974970,15429996,0,0,17556192,7012352,50855936,0
1063370,199296,9553889,20714757,14842011,0,0,16545016,5963776,41549824,1966080
948808,176606,8546152,20864111,15514729,0,0,16050626,4456448,44433408,9568256
1009610,185276,8972750,20889131,15240814,1,0,16055894,8192000,70385664,2818048
1004254,186191,8943360,20659408,15048013,0,0,16886056,9568256,74186752,0
951859,177952,8634204,21009565,15820375,0,0,15753830,8257536,75628544,0
1062187,197478,9492106,21082503,14993706,0,0,15841670,9109504,58130432,0
965736,179156,8572576,20706249,15278571,0,0,15547264,5242880,28246016,22282240
968590,181290,8758369,20641197,14969014,0,0,15510024,8519680,73531392,0
1100090,205818,9888967,21443546,15252774,0,0,15623196,6160384,53870592,0
944979,176206,8433827,21202060,15863814,0,0,15414926,7929856,56360960,11141120
975934,182637,8726571,20717903,15228940,0,0,15676616,9830400,72351744,0
1071413,198698,9492034,21253757,15438377,0,0,15031964,8978432,68550656,0
984196,182996,8806040,21081665,15461677,0,0,15006900,11993088,63307776,4063232
1016668,189915,9138859,20659968,14924348,1,0,16560768,4063232,41811968,2228224
1006580,187093,8903299,21170905,15661883,0,0,15838404,11665408,70254592,917504
