l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
10585594,3304966,1286090228,1483415896,769366257,0,0,14811184,31391744,3670016,0
10996239,3662610,1214427204,1509450947,830264561,0,0,16764184,31129600,4718592,0
11306566,3883737,1143013641,1511924425,873920813,0,0,15263042,30146560,3473408,458752
11596790,3916569,1083327035,1491874018,876677232,0,0,17834892,30408704,4390912,0
12423621,4260290,1112795041,1580669730,948116531,0,0,15842328,30408704,4915200,0
12750018,4378041,1082224720,1588415182,970737906,0,0,16449902,29818880,4653056,0
13206716,4488541,1073372007,1616574131,999741630,0,0,17648000,26083328,5767168,0
13305218,4497711,1040811596,1604211449,1002587076,0,0,16293824,32047104,4259840,0
13275164,4500527,1005231196,1580824194,998007532,0,0,16046320,30408704,3604480,0
13590047,4607059,1001542211,1602815344,1018987771,0,0,16687812,30277632,4128768,0
13870367,4745676,1005270301,1630146859,1042414157,0,0,16297144,29622272,2949120,0
13834301,4798278,996680506,1631200075,1046216455,0,0,16549144,30998528,4259840,851968
13697759,4750605,957026601,1597893189,1037288754,0,0,17976820,30670848,3997696,0
14272109,4888451,985565140,1647442990,1067615024,0,0,16959745,30736384,3801088,1310720
14136862,4815618,956366313,1617865252,1052444289,0,0,17857860,30670848,3080192,0
14119764,4890838,950857344,1620735011,1058498432,0,0,16884830,29163520,4521984,0
14300266,4939238,949757354,1621896536,1062210603,0,0,15896278,30605312,4194304,65536
14165849,4875393,935440113,1613411941,1057601409,0,0,16698732,30998528,4521984,0
14162797,5026323,937111946,1632561509,1069290607,0,0,14388804,31653888,3342336,0
14234225,5177394,928281100,1650151825,1096566696,0,0,15914856,31522816,4915200,0
14110444,4883207,921433833,1617088369,1073280525,0,0,16365356,31129600,3473408,458752
14256333,4931075,924781618,1625969190,1073959049,0,0,17001112,31064064,4587520,0
14050948,4903152,904352490,1606369088,1067613363,0,0,15437755,30736384,4915200,851968
14245233,4946316,912304676,1621218955,1075802244,0,0,14878002,27328512,4128768,0
14236259,4908726,910369732,1615253651,1071765039,0,0,15826136,31850496,3342336,196608
14180510,4967420,904774198,1618154586,1077813615,0,0,14594136,31522816,4587520,0
14194049,4891053,902317921,1608615577,1070252758,0,0,30985752,36700160,29491200,8454144
14298914,4981593,907912226,1626832008,1081568297,0,0,15653344,35848192,36306944,0
63420059,36563296,1905895310,6853445672,5559528472,142864,0,21726028,36569088,58654720,131072
150973,94299,4405624,17143807,14058726,468,0,32726456,36634624,59703296,0
102495,68793,2942891,11363377,9305472,262,0,32135722,35586048,33947648,24182784
92757,53022,2765936,11440851,9518973,179,0,32135888,36962304,46465024,8585216
101114,60682,3057917,12285296,10111352,248,0,21025808,36110336,49348608,9568256
100666,60008,3000996,12135164,9977644,192,0,34364542,36831232,82706432,0
73405,41100,2120510,8369172,6817217,131,0,33579992,36438016,33161216,29294592
65195,35417,1814582,7247778,5976069,81,0,31645508,35389440,91947008,0
64390,35187,1774345,7239076,5985955,73,0,32882302,36175872,13500416,0
460437,251127,12797321,51919831,43224240,1425,0,16928992,35389440,23855104,0
66590,35850,1827166,7228370,5835579,162,0,19395532,35323904,28966912,11534336
500376,302085,13525148,53696836,44385488,1028,0,28330832,33816576,60686336,0
211052,129325,5694553,22494725,18634870,427,0,26394532,36700160,65339392,21561344
430034,260172,11706361,46201647,37925067,1198,0,45079214,36962304,56426496,7012352
26184,9302,755522,3071532,2601534,12,0,41757836,32309248,38600704,27852800
154941,89678,4200665,16709127,13830777,409,0,35037136,33292288,65470464,0
157752,93725,4320069,17045462,14088296,460,0,24873144,30932992,57278464,0
165872,96217,4308061,17203749,14200854,556,0,34137496,33488896,53084160,0
47019,26464,1180160,4524375,3588532,66,0,26305398,33030144,32243712,21954560
232974,138481,6051878,24358560,20184447,630,0,31004414,38469632,81985536,0
153475,91749,3964007,15743876,13053681,393,0,29428584,37945344,59768832,23265280
136735,86170,3641237,14375438,11778914,342,0,39906940,37748736,67436544,0
508776,270767,13786950,55316147,45751209,1401,0,22818220,38273024,38993920,0
23863,13833,699413,2752360,2233968,82,0,15877468,37224448,49283072,0
91340,48933,2379248,9793403,8209923,174,0,15711920,37224448,26148864,0
141536,79891,3741623,14748221,12123226,308,0,15836416,37224448,33030144,6815744
138381,77916,3625580,14414884,11891226,361,0,18233966,37027840,53411840,0
101710,57225,2627748,10442260,8577106,179,0,24733204,38076416,26345472,3276800
45723,27847,1203708,4804486,3966335,30,0,16563248,37355520,34275328,4194304
45879,28682,1226747,4843389,3988545,8,0,15267478,37093376,38731776,0
62595,36348,1614415,6655405,5599729,92,0,20205568,37421056,39452672,0
150089,92889,4164234,16712632,13821064,451,0,21138722,38469632,87752704,7602176
154703,95979,4361737,17209762,14183880,465,0,30469060,37748736,54329344,0
150665,91858,4153824,16430371,13492635,452,0,22629128,37945344,33292288,0
33641,19976,920565,3506192,2828097,40,0,16451568,37552128,28049408,0
115398,64107,2995569,12321990,10256648,261,0,14680379,37486592,29360128,2031616
158986,90776,4123213,16448956,13572176,396,0,18332857,37355520,38273024,0
165939,95849,4314070,17221604,14195451,496,0,17582670,37486592,30146560,5177344
99849,56744,2544308,9942418,8131287,195,0,17766992,37552128,30736384,8978432
68245,38000,1749998,6955531,5998292,108,0,17349216,37027840,35061760,0
150828,93453,4031556,16020543,13487486,404,0,18747022,37552128,41353216,0
157062,97788,4295873,16970600,13917934,447,0,17143244,37355520,28508160,7536640
141362,87350,3839994,14959517,12209267,422,0,18561454,37355520,35586048,0
31683,19346,826423,3188067,2551884,11,0,17060159,37748736,48103424,0
135472,82338,3684542,15003729,12420921,333,0,16659692,37158912,29556736,3407872
159018,99236,4391527,17366122,14237614,424,0,16944024,36765696,55705600,0
159290,96397,4377906,17344699,14304639,481,0,24797644,36241408,26673152,25559040
65977,39230,1779014,6806536,5482028,204,0,25572884,37486592,40697856,0
98713,55039,2686609,10916939,9052557,226,0,14881108,37552128,27197440,11272192
147167,85357,4068721,16303322,13463049,385,0,21662188,37093376,45481984,0
156062,92017,4275636,17040316,13995738,429,0,17877814,37355520,31653888,0
115065,66871,3042883,11989635,9782307,326,0,17499872,37683200,31129600,22872064
334838,196943,9317215,37634829,31065658,976,0,23360414,37879808,62062592,0
205562,120361,5626097,22371646,18485361,644,0,24364908,37748736,30474240,16973824
85764,49307,2277088,8947316,7383982,226,0,18068244,37552128,38797312,0
165599,104730,4495440,17675480,14571706,485,0,15813754,36700160,35258368,0
180566,112938,4865929,19207914,15837301,536,0,17761846,37683200,38404096,15925248
151651,91829,4050786,15862367,12963840,410,0,26340888,37814272,63897600,0
53913,31304,1420683,5799251,4895373,70,0,25847970,37879808,39976960,10485760
163623,102366,4435813,17214736,14143826,437,0,17098226,37224448,39714816,0
160081,102788,4415428,17214780,14165157,443,0,17403930,37945344,66977792,0
142842,90798,3888241,15164962,12367290,394,0,27259516,37552128,36044800,1245184
98829,54454,2599037,10698501,8948984,212,0,25457570,36896768,44695552,0
139299,84040,3669982,14559959,12013868,352,0,17598920,36765696,42008576,8847360
140338,87432,3730251,14952441,12316995,325,0,30359810,37421056,34471936,26607616
88417,54898,2344991,9329414,7616929,179,0,27034300,37748736,62455808,0
464667,288414,12447380,49607745,40922117,1067,0,15852684,37355520,32964608,4718592
52409,33320,1406730,5573939,4576406,50,0,17841810,37552128,30212096,4325376
65700,41811,1788882,7173712,5939449,65,0,17835456,37093376,28180480,0
26782,17725,755312,2987865,2452446,16,0,16764636,36962304,29753344,0
116481,69949,3108092,12705563,10618343,311,0,15556556,37027840,33488896,4521984
159614,99894,4354211,17208707,14156791,387,0,19546996,37289984,46661632,5767168
156730,99167,4245119,16975678,13986963,418,0,29371137,37093376,43646976,0
87311,54846,2327768,9170986,7463907,236,0,17596569,36896768,44236800,15925248
144629,30271,3743894,15227390,12629058,335,0,18385108,37355520,24576000,2359296
123242,78735,3310398,12882565,10568285,306,0,25417616,37421056,43188224,8978432
44711,27911,1191063,4800949,3968731,20,0,16640234,36896768,30801920,0
45120,28075,1206082,4779697,3947596,30,0,16837306,37617664,43188224,27983872
45150,28119,1191831,4766623,3927189,30,0,30555300,37879808,62390272,0
130988,77136,3512936,14270266,11844145,291,0,18560348,36896768,58720256,0
161628,97161,4330749,17117685,14115924,497,0,29135902,37748736,34209792,10551296
160383,95652,4282279,17083350,14081306,490,0,18330156,37289984,70254592,0
78074,46160,2019320,8100511,6629741,161,0,25499720,37748736,34603008,0
578780,354032,15851055,62796447,51862251,1899,0,23768192,37289984,34668544,15335424
108509,64127,3177560,12752742,10574226,359,0,19524156,37421056,35520512,4521984
150884,94460,4465218,17645955,14486924,536,0,19146276,36372480,56360960,0
147117,90244,4305568,17147808,14097688,385,0,28368622,36110336,42401792,0
79633,46679,2256416,8975954,7336640,230,0,19417134,36700160,38469632,0
105085161,61816346,2876998318,11418547924,9394211449,285987,0,17078762,37355520,29687808,21626880
119699,71097,3347080,13366242,10875625,346,0,18980848,36241408,37158912,24117248
146337,86682,4086280,16183211,13234417,359,0,27987412,37027840,53346304,0
150845,89228,4085581,16465825,13364871,366,0,17804912,36569088,38600704,17170432
110147,62211,2888183,11306809,9284213,251,0,33132692,36700160,46137344,0
91467,51784,2356273,9491242,7937503,174,0,15670892,36044800,53280768,0
146823,88333,3942196,15737448,12687231,322,0,33563208,36831232,65667072,25690112
151388,89315,3960835,15701569,12922909,350,0,31469252,37355520,56164352,0
126983,71783,3243487,12800848,10594698,249,0,17915594,37421056,95420416,1114112
59665,27147,1589195,6235235,5096255,58,0,41619742,37748736,62390272,21037056
88494,48224,2311787,9757024,8166986,159,0,32735536,37421056,86376448,0
160635,95441,4289448,17155509,14130973,497,0,30782564,38600704,59375616,11796480
160223,96173,4287707,17085823,14143802,444,0,27393972,39780352,55246848,7077888
115114,69669,3058645,12123745,9926468,335,0,24331308,40173568,41025536,0
143799,86679,3967805,15691355,13071966,440,0,31459214,39452672,87228416,46989312
141088,82753,3767669,15042899,12663563,410,0,52003408,38797312,106692608,0
141379,85107,3927948,15636069,12939031,379,0,49181592,38076416,83558400,0
87140,56486,2488835,9613746,7841616,196,0,27232848,37683200,60096512,10813440
48737,24771,1307594,5594879,4743036,89,0,26001028,37748736,85655552,0
142695,82618,3856539,15635297,12850929,408,0,41433022,37617664,56754176,786432
142534,81438,3752910,14860984,12059732,311,0,29319928,37683200,61734912,0
138763,82772,3808626,15206256,12668452,398,0,35306930,38076416,56950784,3604480
88588,54377,2539598,9912995,8129672,198,0,23587224,37683200,31391744,19202048
24015,14296,689336,2829458,2271086,69,0,27837424,38338560,110034944,196608
455430,266814,12593097,51038877,42428772,1274,0,44232366,38404096,80609280,0
82096,47406,2189150,8440093,6825334,165,0,37042330,37486592,55050240,19005440
78975,46075,2253670,9236954,7720600,167,0,36636240,38273024,151257088,0
129244,80838,3868994,15249747,12550034,377,0,41555184,38141952,47054848,17039360
124916,77922,3725237,14671150,12073130,360,0,32212944,37486592,61669376,0
100267,63124,2942981,11511920,9391379,211,0,31482868,37683200,56492032,0
420898,246787,12700176,49648069,40965856,1087,0,69743324,37093376,132841472,0
115435,33409,2686860,11756160,9979709,262,0,24842544,34144256,29556736,6225920
149148,89891,3887225,15874179,13186559,414,0,21184328,32374784,32833536,16777216
158896,103259,4390336,17090939,14063172,419,0,25466876,32112640,59768832,0
95516,60462,2595581,9940182,8088641,217,0,23379976,32964608,33030144,7864320
35387,13617,902836,3526691,2939139,17,0,19353512,35520512,30081024,0
167173,98604,4407053,17705127,14734597,476,0,17238160,37224448,41025536,0
173724,103103,4679328,18459569,15161633,551,0,16504952,37421056,35651584,0
138522,81008,3673776,14315428,11637443,368,0,17454190,36569088,32833536,27394048
63806,32449,1582205,6892513,5686729,85,0,26188380,37421056,53739520,0
154088,93940,4118514,16377258,13498714,423,0,17014162,37093376,39583744,44630016
159066,97051,4299239,17026868,14024732,424,0,35658236,37486592,134807552,0
149054,87265,3954757,15443516,12653680,339,0,47606254,37879808,64225280,0
58815,34292,1516875,5960231,4931105,72,0,20898730,37355520,43122688,0
523132,318347,14096822,56019746,45973932,1499,0,17772120,37093376,37027840,0
152118,92369,4320199,17656939,14692122,340,0,17301288,37421056,56492032,0
144132,87819,4203926,16714147,13839576,435,0,25199546,37617664,30343168,458752
143123,89744,4395339,17382757,14314259,458,0,17556714,37093376,30867456,4194304
62804,33857,1676545,6530568,5260399,102,0,17029362,37355520,32047104,2949120
32419,17085,862450,3440056,2886858,15,0,18630132,37421056,32964608,6488064
65682,37950,1772743,7268059,6098075,168,0,17813272,37355520,56098816,0
139779,83176,3750617,14907806,12291299,367,0,24517700,37421056,27131904,12386304
138716,81798,3697698,14671231,12091762,311,0,20838448,37093376,39845888,4456448
113943,70481,3148119,12314976,10056521,269,0,20312824,37093376,34406400,0
45383,28231,1210184,4852030,4011982,36,0,17054652,36700160,30605312,0
45322,27819,1193095,4775506,3942356,16,0,13981448,37224448,40108032,196608
44515,27772,1176645,4740801,3906891,21,0,25225408,37486592,29753344,12320768
113942,69599,3234653,13272190,11080473,304,0,20010752,34078720,43384832,0
124568,82343,3690487,14652000,12074463,341,0,17685300,34603008,39124992,0
171085,103450,4810959,19029856,15715520,541,0,17753503,35782656,28770304,1310720
81987,37170,1855093,7348999,6104446,92,0,25100245,36831232,57868288,0
112805,38855,2909340,12086067,10030068,249,0,16259282,37552128,38141952,1900544
464420,290462,13069540,52019805,43050683,1306,0,25416362,37027840,46071808,0
54356,31803,1523030,5842997,4853271,95,0,18820724,37027840,37421056,0
46626,26926,1311910,5428693,4562878,50,0,21123503,37224448,29818880,3670016
105359,63945,2931067,11730118,9545638,232,0,17161091,36831232,47251456,0
110658,66386,3076198,12244324,10075050,212,0,21026556,37289984,38731776,1441792
108873,64565,2989455,11896196,9780959,229,0,19473725,37355520,34013184,17039360
64565,36511,1835249,7301090,5981735,75,0,25422229,37945344,85131264,0
63684,36332,1820154,7268780,5996278,60,0,26705548,37552128,39518208,851968
64092,36122,1839283,7226776,5945678,86,0,25117352,37486592,26411008,8585216
112426,69546,3089956,12235851,10083502,284,0,23020008,36962304,31391744,4849664
130642,81116,3687624,14650858,12082249,344,0,20293288,36438016,32768000,2228224
132230,80914,3742124,14807909,12172491,328,0,17809070,36765696,25886720,11796480
78649,46860,2146359,8465986,6884892,272,0,26414926,33292288,54329344,0
42190,25397,1174428,4739158,3893679,19,0,19403690,34340864,35258368,0
57451,31758,1482774,6062493,5095773,61,0,17011194,36110336,27328512,1376256
141913,82902,3691467,14737188,12176958,323,0,16973200,36700160,33226752,7077888
141084,86044,3677947,14621924,12093529,362,0,23600070,37093376,27590656,15073280
142053,87853,3666529,14551972,11939310,378,0,23942546,36831232,42532864,0
43548,27790,1262372,5022743,4107350,74,0,16365541,37289984,20709376,3866624
39088,25033,1180494,4713810,3872918,18,0,15109323,37093376,26214400,1179648
39016,23570,1193067,4756123,3923024,32,0,17584084,37027840,37879808,0
519486,312699,13940743,55843966,46120463,1443,0,17831158,37486592,124780544,0
255394,152658,6702173,26836774,22263798,776,0,25665560,37748736,58458112,0
217382,134966,5719660,22552738,18635073,695,0,17585150,37027840,30867456,5046272
123744,73743,3187304,12502449,10136369,306,0,17707510,37355520,34996224,8323072
92533,52786,2397078,9663066,8096632,180,0,21448058,37224448,36765696,2686976
102091769,61394232,2792829641,11120736322,9174288998,254477,1,21616336,37683200,50003968,0
141053,88345,3675080,14876711,12315326,308,0,26189964,36700160,56033280,0
347332,217311,9138956,36434485,30014527,681,0,25957438,32702464,29032448,22151168
454122,266160,12153337,48908032,40472814,1401,0,27471072,35520512,64356352,0
94771,56678,2500280,9685074,7940162,183,0,33132572,34406400,57081856,0
445479,281555,11983583,47186995,38777891,881,0,74124722,37814272,89456640,0
42978,28307,1190968,4743216,3942863,21,0,21635812,38404096,105512960,0
42264,28696,1215409,4777284,3968354,26,0,47646720,37748736,62980096,28114944
526954,338521,14485500,57460867,47355950,1481,0,30467080,37617664,62717952,0
25908,16024,679507,2637508,2147770,32,0,25212396,38666240,86573056,111673344
73587,41731,1834037,7337649,6147414,113,0,49345030,40042496,84213760,0
142681,85473,3699567,14790944,12377666,348,0,40672934,38141952,113836032,0
158385,98040,4206422,16680142,13764880,501,0,43634696,38797312,117899264,74121216
145556,89602,3821435,15173312,12421823,460,0,68732282,38010880,133234688,0
54778,32688,1403977,5637223,4630304,52,0,34151613,37683200,31850496,32636928
23219,13437,566963,2611063,2132155,3,0,30489145,37814272,76021760,0
136181,80759,3519516,14479869,12036395,329,0,40333022,37421056,68026368,0
388285,239377,10159695,40505494,33355786,1124,0,29728944,38076416,39256064,0
136520,83950,3620863,14737836,12232896,296,0,33964108,39845888,174325760,0
368801,234347,9991167,39882181,32848605,1053,0,56448022,38076416,54198272,25755648
161737,96483,4338293,17717702,14781936,390,0,36702832,39321600,93847552,0
158843,93492,4186731,17003082,14235048,391,0,40757988,37879808,54067200,0
148411,91712,4050483,16093181,13190062,374,0,24963032,37027840,49872896,0
49603,30047,1398027,5387063,4380538,40,0,29138292,37093376,86573056,24969216
436437,241444,11634197,47676568,39478775,1091,0,24454749,37027840,118161408,0
48559,29531,1268241,4930229,4055156,41,0,40324898,37879808,54001664,4325376
45883,29015,1221087,4768263,3936154,16,0,34037290,37552128,27262976,23330816
44922,28060,1188534,4696191,3873044,18,0,24684152,37683200,51118080,0
115872,65840,2984825,12026138,9999033,201,0,16597940,37158912,31981568,0
137657,79414,3610440,14502885,12030993,315,0,17498812,34078720,33816576,21037056
140997,81614,3671371,14681738,12110303,385,0,26071752,37093376,50003968,0
91872,53558,2350653,9384720,7678124,172,0,17233760,37421056,41025536,10158080
46081,22733,1038329,4750800,3916864,38,0,23970092,37683200,27590656,5111808
111021,69517,2875218,11516925,9514456,214,0,17623056,37486592,36765696,0
114816,67931,2951208,11855173,9832466,221,0,18974290,37289984,47316992,0
116726,73295,3039922,12214092,10109432,221,0,23897036,37093376,31850496,3801088
83118,51452,2163027,8541670,6973549,176,0,17375138,37421056,30277632,6946816
69089,43687,1857221,7231928,5950766,59,0,18698872,36962304,48693248,0
68798,43576,1835625,7192176,5898403,103,0,20227368,37814272,35323904,9371648
104661,64212,2784834,11074928,9224069,241,0,22916008,37617664,34013184,0
133615,88391,3704747,14826381,12255865,332,0,16357202,37486592,33161216,720896
133464,88288,3702647,14669799,12101731,342,0,18746074,37814272,68747264,0
99021,61934,2654491,10446542,8515512,186,0,31425240,37289984,25755648,2359296
50774,25068,1137229,5240765,4391359,40,0,17153448,38010880,70057984,8192000
460376,281619,12600228,49702677,40945540,1283,0,32007536,38076416,40108032,0
56367,33349,1469876,5663941,4632833,107,0,16607168,37486592,34144256,0
161259,92495,4341093,17560628,14528041,289,0,18039248,36831232,35782656,7667712
117360,68865,3294377,13294157,10974163,296,0,22887276,37355520,49741824,0
125244,74219,3509997,14021606,11521392,315,0,25289024,37748736,62259200,9764864
81367,47094,2082750,8244716,6730195,142,0,30890916,37027840,34471936,0
47629,29414,1240096,4892401,4064313,30,0,18426888,36831232,47775744,38666240
45669,28666,1206431,4726785,3912033,14,0,38147414,37748736,84082688,0
87811,50170,2255398,9085477,7582300,215,0,19689732,37552128,31784960,0
138262,84991,3649787,14478005,11970341,357,0,16548192,37355520,28180480,5046272
143642,92990,3952060,15670920,12925785,367,0,17654880,37486592,28966912,7536640
95481,62640,2643225,10515062,8612102,222,0,17857246,37289984,64290816,0
37759,183,251977,2175780,3728687,27,0,16638566,34734080,40566784,28180480
113675,71196,3036360,12061388,9980539,230,0,34840042,37224448,53346304,0
113679,71606,3087664,12283446,10122143,232,0,29009162,37814272,54263808,0
113374,70826,3079796,12363633,10209351,175,0,17246362,37355520,42205184,5898240
