l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
322228,864954,33423678,20193517,7355720,10,0,234419676,32571392,1914437632,0
210272,147640,9378831,17828443,12781947,228,0,70374700,35717120,319619072,940441600
781142,275852,29544100,20797107,10426814,0,0,111781593,36306944,1349648384,0
714682,365387,24861923,20377462,8745265,0,0,89222455,33030144,750518272,0
541340,478555,52981575,21074274,1631033,0,0,25076333,32440320,837550080,124583936
477897955,263153507,18770981447,11660313685,4315460896,38756,0,162007505,35717120,1420689408,0
895357,424498,52394808,20761061,3181398,0,0,24427436,37486592,419692544,171245568
1067522,471837,42949849,20918539,1774488,0,0,35281412,38338560,871628800,0
529047,531328,21191745,21796974,12680776,0,0,17617992,34865152,238485504,702545920
528228,521069,20981818,21094033,12086098,0,0,49348440,32047104,783155200,0
811516,519452,42699599,20759182,12220758,1,0,16141620,37748736,319815680,235536384
664728,453635,49013627,21216014,1793345,9,0,16561432,33488896,437977088,119275520
917837,327331,35856651,21420118,10708652,37,0,45183980,27918336,634257408,0
464353,350563,24697782,18078572,7135955,2,0,95710102,32505856,399638528,0
766274,385529,22965189,20739173,1994032,2,0,16510598,37027840,232325120,751501312
802271,339232,33075862,20957208,1587461,0,0,66847454,34275328,636223488,14680064
808704,409845,34680144,21177580,5264852,0,0,97929244,32440320,792526848,0
739495,411493,40078231,19762315,4258702,2,0,18085702,34668544,245628928,210829312
508494,554923,21948497,20988093,10796601,0,0,107344132,36896768,1898708992,0
523228,516628,20698058,20974379,11680071,21,0,25637276,36044800,403898368,78446592
244932,72,9766942,20347959,11616337,5,0,22188088,33423360,429457408,0
198690,225885,11161991,20990234,14988469,1897,0,53500960,32899072,1414987776,0
661949,455787,14830723,21490604,14172098,1496,0,74806098,37027840,417988608,12910592
654123,512133,45726994,20912017,3538824,256,0,19915602,37945344,882442240,699400192
852335,291193,28914625,20952001,12044076,553,0,90605352,36438016,2005598208,0
860321,532078,37636828,21568861,7063310,24,0,55643086,32571392,139853824,0
1052822,448937,43742752,21255474,4303221,152,0,17944770,35913728,866582528,250740736
405719,347439,20599410,20986451,10671393,324,0,116554620,34013184,794689536,0
735522,534775,48885268,21690055,3268954,33,0,86635414,32178176,438435840,82575360
780334,291559,28395615,20842658,9820219,169,0,49688186,30277632,699727872,209059840
976957,540010,36909049,20953320,6789042,173,0,93737472,36306944,1529282560,1036255232
725415,524164,47507765,20777158,3390949,44,0,87772276,36962304,673251328,0
856389,539303,39389481,20919405,8300214,244,0,19498052,30867456,507838464,143458304
1047260,417323,41958677,20765860,3301759,256,0,89924346,33423360,284819456,0
649708,385865,19923908,20641883,10642644,240,0,19734592,38076416,352190464,104464384
682211,485281,46940307,21094838,3703512,116,0,61500624,31653888,819855360,0
849254,318341,31351629,21307730,10010977,576,0,49327312,31850496,117506048,0
855595,516306,37094688,21364605,6292466,416,0,22024038,36831232,293797888,582025216
1044856,451483,44283060,21352780,5414041,24,0,83309788,34406400,799277056,0
675267,368095,21192902,21365346,10830413,0,0,18697546,36896768,420216832,0
736989,526375,49898829,22152362,3389799,0,0,18368596,37683200,1872887808,0
1105691,283631,28057459,20951593,10077356,7,0,110200854,34471936,251789312,0
908634,557695,40497603,21681117,6418913,307,0,17895432,36306944,1230372864,991035392
1009146,410654,40317773,20915654,5165854,210,0,125837168,37027840,1335361536,0
586263,331280,22815883,20704922,9680375,195,0,19455714,37879808,391774208,0
712753,571971,37568299,21055486,6160854,218,0,18800516,33947648,239534080,720044032
936970,79283,7912984,21253060,6375758,289,0,160296712,39911424,4488822784,0
798946,474643,30360600,20927898,8535982,531,0,135400840,33751040,706871296,0
938734,480456,49104835,20964015,2529128,49,0,18977772,35717120,367198208,56885248
661622,304700,21364593,20812105,10982811,579,0,22266858,35258368,680853504,146472960
756715,508669,45008813,21271250,4942066,678,0,90617812,32833536,457310208,0
1187309619,676036383,46901331984,30088442192,11865147470,101249,45,22679640,36831232,317063168,516816896
2453910,1254347,108719531,64615633,21943426,20,0,91173384,32768000,770506752,0
2516926,1319221,98610668,64984375,23892218,25,0,19182476,34406400,674627584,367591424
2335552,1666489,136833441,64767814,19622984,17,0,104609264,29949952,512229376,0
2397593,1298886,120042878,64936757,16772075,9,0,57281916,29753344,887488512,64421888
2319114,1361351,110385267,64962618,28041164,14,0,59824556,36306944,568197120,0
2545491,1356481,110904855,65129100,21023170,23,0,73787534,36700160,2152202240,0
2364137,1368824,121399530,64907397,19920976,9,0,68106422,35192832,337051648,0
2553141,1245429,111716733,64903893,21607965,3,0,22225244,37814272,1254883328,1195507712
2234044,1342957,103698497,64932785,22479201,25,0,140840180,37355520,1652031488,0
2429574,1562583,138705411,64745937,17860070,16,0,27837912,36044800,511901696,0
2496616,1479604,117964353,64988470,17673439,33,0,22261154,37486592,525795328,439091200
2367348,1320262,112526282,65046148,27329705,10,0,99621900,35323904,771948544,0
2419575,1301158,108974828,65065936,20744356,14,0,21131880,36503552,562298880,406847488
2517790,1343013,118207285,65093916,20869165,24,0,100965952,32899072,555483136,0
2162580,1144721,104337494,64767181,21505687,32,0,20984254,36634624,660013056,377683968
1040301,9,22805859,33045516,12796196,0,0,98703024,30408704,531300352,0
2170276,2070137,88595843,76931919,40587412,103,0,22103116,37027840,491913216,16777216
1259406,1314117,55746028,64440346,39000931,946,0,21988342,36569088,2031550464,0
2154056,1359424,94266618,65109328,30994345,631,0,120187900,34537472,258539520,3473408
2349023,1342818,99575824,65295979,26729632,437,0,53427236,36831232,2274164736,389349376
2282425,1424832,95476375,64961377,28219106,311,0,106972914,36438016,752812032,0
2234822,1472805,95991339,65029358,26342861,380,0,21899636,36503552,479199232,0
2373284,1570865,108080079,65026820,22855101,420,0,20850784,36372480,681902080,115802112
2208988,1491641,113254516,64983593,23257676,374,0,100293960,35979264,449576960,0
2533124,1319812,104565168,65145164,23359188,564,3,43027746,32309248,913113088,824180736
2194025,1375989,103417028,65101444,27506099,338,0,168492544,30146560,1070596096,0
2483430,1363282,104215975,65142776,23730266,213,0,121847648,39387136,1313275904,0
2414210,1389459,106724471,65213822,23803818,822,0,36734632,33947648,1964244992,1065877504
2306168,1374283,105166973,65014505,22260071,307,0,198044844,11665408,2105081856,132513792
2267983,1277373,105021278,65081330,24141031,181,0,131450106,34537472,1683554304,0
2480394,1439076,91461354,65034953,25326718,592,0,20013532,13303808,439484416,253362176
2404053,1423737,101164471,65180696,25315902,260,0,94425942,34865152,836894720,0
2384857,1386362,104739640,65109229,21773480,282,0,25592778,33816576,170393600,0
2348428,1366965,103212060,65164748,22906707,447,0,17700366,36831232,203358208,146735104
2462236,1409351,103870036,65103132,23190000,255,0,26418192,27852800,759169024,0
728351,233890,27326703,28620517,14385405,284,0,77320500,32112640,138674176,2097152
436077,170023,17669284,10953958,2843329,119,0,21125672,37748736,212140032,275841024
3421763,1753333,81877134,76891580,41838193,136,0,84767304,32047104,747503616,0
2851928,1578592,67411925,64753053,35560501,37,0,21630468,32833536,607846400,133038080
2866946,1578231,66571268,64997270,35742695,28,0,89045940,36110336,502857728,0
2150440,1443747,64042747,64895859,34795962,278,0,22726450,36438016,490340352,9764864
2717170,1673898,60567380,65175952,40518624,9,0,22728300,38993920,1405091840,762118144
2591324,1628866,59297499,64994326,41287716,19,0,121559016,34013184,1102708736,0
2516896,1387564,52538379,64775928,38659298,263,0,21172916,36765696,386531328,1314979840
2324873,1764640,46112296,64952256,40416822,22,0,138293388,38141952,2496266240,0
2296878,1665947,45877378,64917467,40540452,21,1,22321126,34668544,407109632,38731776
2338327,1623337,44974926,65035482,40536356,20,0,22323040,37814272,452788224,354025472
2734810,1621919,51037295,68134210,44821978,36,3,112698022,29163520,979435520,0
2623078,1433797,50397469,62025460,42608394,11,0,22062320,36175872,262668288,33226752
2687213,1456772,54937057,67284826,45000188,60,2,78877132,30670848,798687232,0
528498,125319,14844469,25490535,13834326,14,0,49471645,34340864,521732096,482869248
3277261,2008788,191489229,91506542,20839897,31,0,98347613,31981568,651100160,0
2113424,1571536,147493637,65046235,12757858,19,0,20917610,35848192,236060672,415825920
2104092,1579550,146245952,65444898,13652928,23,0,133756144,36831232,2415853568,0
2142573,1627247,147734675,65488979,12165943,20,0,26945788,32702464,292487168,255197184
2140376,1597253,146832557,65748034,13205491,28,0,81235886,34275328,1414856704,0
2140136,1583723,147948061,65570719,12959197,5,0,44058252,36896768,463208448,20250624
2157677,1603348,152361055,65628464,12060025,82,0,23713460,38535168,723648512,1175650304
2082813,1588586,156680553,65379797,10236605,27,0,133418156,33226752,2113929216,0
2060762,1694513,159086994,65543956,10231978,20,0,21054436,33161216,148766720,26345472
2055066,1624168,154967889,65715983,10502407,26,0,62765508,27328512,958922752,0
2060158,1607597,155235892,65476339,10288457,16,0,56521688,34471936,157483008,0
2075776,1578194,155759390,65768881,10572847,34,0,42522312,30212096,790495232,106889216
2071995,1603224,157118993,65509563,10267692,14,0,74670356,32833536,319881216,0
1220162,647690,74273685,49146087,17098483,41,3,20044162,35979264,270598144,504758272
288671,108722,11810188,7803930,1937384,3,0,104166386,32768000,714670080,0
3204320,1256355,72111226,61108065,29640522,33,0,69553506,37617664,2735341568,38338560
2035707,828476,45690475,35904514,15811287,19,0,103661182,37683200,425590784,13369344
5243767,1925342,107887843,96718005,47044318,19,0,40280488,34537472,1908080640,57671680
3673796,1343777,75353196,66370831,32056535,27,1,95049196,36372480,566362112,292421632
3699460,1357612,78069988,66636802,32176684,13,0,49824812,37421056,983760896,0
3724968,1360897,78109152,66477702,31842971,16,0,64365300,30932992,1064632320,0
3645298,1366488,78490317,66259431,31704997,37,0,58131236,33619968,170590208,7077888
3515734,1368448,67990361,60044503,27060158,47,1,33490386,30736384,911736832,51445760
936166,420031,23068296,17518349,6807345,48,0,88065266,31522816,224133120,33488896
6174520,2434859,126299509,115523738,63166165,244,0,88675496,31064064,1008730112,0
3575722,1453384,70640807,65391984,35796751,15,0,28638032,32374784,276824064,516227072
3572514,1435462,70047455,65663532,36155746,31,0,94997428,32374784,759693312,0
3551752,1436010,70142865,65531922,35905781,60,0,21910958,37355520,439812096,39911424
3573600,1441810,70238326,65441680,35697734,54,0,30719544,39518208,2480799744,0
2782731,1652896,84861424,65780514,30556979,275,0,123065040,34930688,241827840,14417920
1688935,1720006,88409667,66047275,35418777,40,0,19813809,38010880,674889728,1650393088
1766113,1373353,77837097,65727873,36541375,274,0,138186101,37027840,2240675840,0
2559101,1727292,87219666,66068124,34273018,24,0,21910980,34668544,410779648,27918336
2556875,1704878,86229816,65807080,34181396,6,0,21795856,38469632,468647936,0
2293875,1561106,75335452,65919148,35945611,239,0,93877436,33882112,756285440,0
2850348,1704035,148144723,65643999,13897331,58,0,25105392,35389440,296353792,43384832
3317955,1621228,135067618,65919937,17688874,37,0,18953090,30670848,619773952,51314688
3243096,1632882,153358096,65865504,13214825,27,0,90405440,32702464,274268160,0
3027603,1684422,144852821,66124953,14687551,10,3,66460168,31195136,954662912,14483456
3294229,1640215,141933832,66035622,15198269,11,0,35363042,32571392,129826816,39321600
