l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
757851,7359,22234630963,11877605996,2191439186,320911,0,15243275,589824,0,131072
1899349,149896,45158319955,25783623844,5376134521,726579,1,19281792,458752,65536,0
4117962,241231,109105799432,62868619919,13263579422,1513542,42,33437782,655360,589824,196608
3128262,149860,83979269308,48364474885,10190642433,1163757,132,20581804,1048576,0,131072
3709323,113540,95756631564,55138312535,11619925182,1439163,97,74675679,983040,0,0
5482,208,171762052,99184978,20876087,2278,1,24465164,1245184,65536,0
2915950,105236,90454317737,52154140861,11006386904,1008660,138,93475285,720896,0,0
3083215,98558,90347530033,52112946847,10987058973,1012987,64,18831904,917504,0,0
20323,639,589591264,339366633,71430289,6696,2,20901084,851968,0,0
3007535,145336,91097015612,52531298779,11067301228,949717,143,45412877,851968,0,0
5248,152,169522361,97948606,20770543,1271,0,69953942,655360,0,0
6933,259,215655475,121576813,25665482,2019,0,116799895,720896,0,0
2996016,86945,91326341191,52630536087,11096331842,959922,59,21667230,524288,0,0
4507942,74328,101092401782,58264832642,12285738224,2129317,22,20965400,655360,0,0
2641074,55739,85589778357,49371296593,10412832959,1033771,72,27354370,524288,0,0
2357435,67460,86556601580,49908931433,10545770690,820332,80,73581604,589824,0,0
9201,123,218757724,126394015,26855669,5255,0,21142718,589824,0,0
2508091,46379,78165393078,47753052663,10966640237,845414,22,133367280,589824,0,0
7292,321,155920461,98316756,23515101,2544,0,52668432,589824,0,0
5921,169,165325066,103426716,24105232,2549,0,23510220,458752,0,0
5824,70,156639577,98983239,23679067,1207,0,37037738,524288,0,0
3139952,64147,87426869576,55242085854,13225957364,1146915,15,67605818,458752,0,0
2623005,61862,75981712435,47889931834,11446512959,905398,31,64071496,327680,0,0
2637676,56833,82358089924,51941248829,12406733862,969530,34,29720252,458752,0,0
170819583,114996,40920817415,35338625470,11993624985,153778492,20,22706724,524288,0,0
86246,52,3860779,6178462,5381003,72157,0,75700642,458752,0,0
86501,26,3310359,5314360,3142262,75011,0,51817250,524288,65536,0
80619,37,3415921,5668397,2720283,72712,0,133365846,524288,0,131072
85255,48,3574167,5586093,2633671,76165,0,23174952,655360,131072,0
78802,113,13785665,12618964,2592720,67629,0,23948652,589824,0,0
79801,37,14842110,13221365,2722889,74707,0,22185064,524288,0,0
83039,53,14647816,13200520,2733864,72260,0,104292148,524288,0,0
453492,462,95374252,80087466,27344681,389612,0,21609232,524288,0,0
279758,204,51663744,46878200,16639449,231278,0,71452640,524288,0,0
117428,43,17475260,18005894,6801099,89861,0,33933004,524288,0,0
144352,53,5921261,25207050,9989670,127306,0,21505004,524288,0,0
77841,63,3192833,12676796,5213822,67571,0,76061598,524288,0,65536
75816,102,3348745,5299438,4746674,67833,0,19553452,589824,65536,0
75318,146,3265487,5252968,4815447,71109,0,65659882,589824,0,65536
75750,99,3108982,5029369,4721700,68899,0,56157124,655360,131072,0
74717,165,3106858,4947067,2724252,64981,0,29332036,786432,65536,0
75022,158,3268731,5232088,2533993,68615,0,44296632,786432,0,0
77458,284,3010602,4917330,2383309,64995,0,52206812,720896,65536,0
75832,164,11164647,10798588,2684188,74442,0,20393479,720896,0,0
66584,77,13495642,11918308,2333584,54130,0,93827002,720896,0,65536
80010,75,13559841,11991848,2400826,69640,0,64234381,786432,65536,0
69050,152,13653049,12015993,3357712,56094,0,21257553,786432,0,0
77350,60,15309807,13020767,4430409,59554,0,64120483,786432,0,65536
70531,62,15141599,12897916,4437740,58983,0,33872816,786432,65536,0
70039,58,15094056,12977722,4478563,65249,0,59815042,720896,0,0
80631,199,15483143,14556509,4851462,66941,0,62801102,720896,0,65536
95908,38,15161999,14225360,4799539,70592,0,35037620,786432,65536,0
83362,49,15227821,14400779,4837057,70201,0,56427196,851968,65536,0
77698,10,14993077,13244236,5006038,65354,0,21354656,851968,65536,65536
81465,32,15144583,13160481,5222295,67411,0,28070304,851968,65536,0
73808,49,14827915,12791046,5054270,60797,0,59023417,786432,0,0
78413,41,12884517,12753750,5000060,69281,0,31616283,786432,0,0
76774,36,3234596,12772849,4715506,66853,0,25725116,786432,0,0
77808,32,3194216,12814629,4728121,65535,0,70988056,589824,0,0
85224,55,3760376,12623038,4665882,59804,0,56871446,524288,0,0
74691,32,2997458,4908459,4753126,65537,0,48412956,524288,0,0
71103,28,3114852,4959237,4655438,63407,0,83354220,524288,0,0
71205,48,3122824,5012391,4701904,65309,0,19446156,524288,0,0
73581,69,3046691,4990917,3736336,66139,1,20491920,524288,0,0
80086,43,3377167,5265104,2396233,71273,0,20589808,524288,65536,0
72223,28,3110090,4960800,2318852,62055,0,107055792,589824,0,0
79994,116,9879691,9862627,2383158,70926,0,79591904,524288,65536,0
64534,44,12569016,11410314,1561740,11410,0,36702683,589824,0,0
65169,34,12083198,11064097,1560981,11600,0,32711408,589824,65536,0
70015,68,12367723,11312055,2669719,12782,0,83101617,589824,0,0
61408,37,12845316,12297927,4215241,45170,0,21002856,589824,65536,0
66422,19,12812908,12259119,4231341,56449,0,60738352,589824,65536,0
56736,33,12799392,12153043,4152846,49910,0,100917600,589824,65536,0
46249,72,13045737,11779635,4045396,55843,0,26031454,720896,65536,131072
18633,24,13411447,12071017,4139047,55710,0,80202773,720896,262144,0
16488,41,13328209,12048622,4180399,56339,0,41166261,851968,0,0
18910,33,14194038,12344226,4144020,60029,0,24575672,720896,0,65536
73730,0,1358139,15816357,4953831,68080,0,19723409,720896,65536,0
79887,328,3015450,4988060,5686582,70244,0,77872250,655360,65536,0
73640,425,2448641,4150964,5577566,65923,0,19621213,720896,0,65536
66502,550,2735694,4519279,5456512,60731,0,24963869,720896,65536,0
68667,186,2921083,4734817,4120483,56786,0,63682482,655360,0,0
67068,104,2573677,4274819,1952910,63689,0,19854233,655360,65536,0
66289,139,2902200,4740702,2250730,60875,0,30257093,786432,65536,0
71645,188,9390432,9989444,2341055,60247,0,50185052,786432,0,0
70160,92,12133885,11965105,2371024,59731,0,21555261,786432,0,131072
72712,117,12053379,11860419,2403311,54301,0,23005708,786432,1441792,720896
