category,MG,bfs,canneal,streamcluster
runtime,17.7483549118042,38.99630117416382,58.75597906112671,124.37773728370667
l2miss,3935398042.541123,1877421218.5430465,926064389.6792862,584308944.3573668
l3miss,2960271877.4815655,850137039.7350993,521452437.9069207,467066379.3416928
instructions,262323547020.41974,1059552264437.086,29312416187.605495,34021908655.73668
cycles,125507745867.8389,486401191119.2053,105950030700.5064,55651892853.73041
stall_cycles,26842464609.756096,114682989238.4106,85241142132.38486,36043416393.76176
intra_coh,7607073.737946682,139679052.98013246,3158098.3843742465,39533503.00940439
inter_coh,8.508224617129892,99.33774834437085,2.170243549553894,9.404388714733543
wall_cycles,17166147314.804312,14944010556.29139,12016835873.643597,7625856232.225705
llc_size,34998417207.03346,1373217907.2847683,39539289510.48951,38863158217.42947
local_mem,264621506141.80374,1258638410.5960267,37257745408.246925,28759877818.181816
remote_mem,4527336912.081679,121957721.85430463,1281531431.8784664,1647737339.184953
