l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
250252,51243,5276040531,1728967155,106989559,0,4,17405152,3735552,655360,0
253669,52625,5329882585,1742964896,107557697,0,1,17439452,3145728,589824,131072
139215,24303,4892749584,1741679994,148474732,1,0,15271244,2490368,524288,0
66624,6800,4649460878,1745318903,173698154,0,0,16807108,2621440,524288,0
65973,6746,4611602287,1731743919,172615164,0,0,17558222,2490368,393216,0
67121,6657,4622599346,1735722953,172819488,0,0,16420230,2752512,458752,196608
68384,7104,4588795418,1723252925,171640043,0,0,17966622,2424832,655360,0
67928,7032,4626841987,1736934764,172789107,0,0,16906220,3276800,458752,0
66681,6836,4584098037,1721583571,171416671,0,0,17441795,2359296,786432,65536
67464,6736,4700048340,1765463863,175990484,0,0,15983350,2686976,655360,0
65937,6614,4620738019,1735343127,172892861,1,0,17184181,2752512,196608,0
68219,6922,4641913439,1743262726,173565555,0,0,18472330,3145728,524288,196608
69310,7184,4620635313,1735244336,172769458,0,0,16310048,2949120,655360,0
67054,6905,4635946609,1740785998,173332591,0,0,48487830,1245184,262144,196608
69670,7131,4621852188,1734338741,172693221,0,0,12163824,8847360,65536,196608
73761,7696,4773197159,1792078353,178520968,0,0,13921374,3473408,458752,0
50252,5211,3245173709,1219505107,121474315,0,0,12835424,1769472,196608,196608
52740,5453,3322584304,1246159813,123927096,0,0,13113708,2555904,458752,65536
53009,5188,3291874377,1237095534,123229688,0,0,13099264,2097152,327680,0
53279,5709,3334432717,1250849526,124294059,0,0,12270310,2555904,393216,0
47816,4757,3307183236,1241172415,123547561,0,0,12587368,2818048,393216,0
50424,5045,3469948819,1301809270,129705191,0,0,13726768,3080192,262144,196608
46835,4885,3280134924,1232307488,122566916,0,0,12571648,1966080,131072,0
45640,4555,3250683162,1219991894,121404426,0,0,11962616,3145728,589824,0
44926,4780,3253183941,1220202045,121431480,0,0,12426888,1245184,393216,0
50437,5028,3353522525,1258154987,125204116,0,0,13999460,3407872,393216,0
49019,5038,3261158272,1225698909,122161714,0,0,13413100,3145728,524288,65536
51253,5319,3313012634,1245281647,123908386,0,0,13676178,393216,393216,65536
52125,5452,3306837929,1240871819,123555603,0,0,12135852,327680,524288,0
52044,5670,3407662139,1278752264,127416667,0,0,13211908,196608,262144,0
61449,18219,3252352715,1226671136,125408293,1,0,14733038,262144,458752,0
61698,16892,3334080298,1254625541,127788313,0,0,13152816,262144,262144,131072
65276,19529,3429441922,1291371474,132308532,0,1,13646000,262144,262144,0
64568,20173,3515683296,1323803856,135624765,0,0,12915848,458752,655360,0
65154,18986,3550388991,1338779663,136766340,1,0,13019808,262144,327680,262144
65617,18742,3588467058,1350601132,137678580,0,3,19065290,2883584,2424832,1179648
65501,20517,3549211671,1338966198,137075655,0,0,14204768,1048576,1376256,0
142892608,81931376,4881255725,9385486911,6379965136,11104692,0,15842924,851968,1310720,0
60623,5542,869652,20407286,18336610,47612,0,14014952,655360,1310720,65536
59618,5676,840738,20079616,18023863,47088,0,14913919,1048576,1376256,0
58135,5351,838596,20007001,17936076,46207,0,16033252,983040,1441792,131072
59461,5284,837621,20072308,17959353,46397,0,16877196,1114112,1179648,65536
58409,5541,837758,19856423,17756236,46563,0,12904220,1048576,1507328,0
62056,5738,904748,21564153,19438356,50486,0,15673956,1048576,1769472,0
63417,6051,906063,21466070,19173639,50513,0,15113444,983040,1310720,65536
59792,5424,862988,20520437,18381052,48776,0,15023644,983040,3211264,4653056
61352,5560,887535,20838831,18695245,49633,0,15331120,4128768,5898240,0
59324,5540,869071,20486200,18328208,49061,0,13730696,1048576,1703936,0
