l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
12052732,4063441,1487489586,1740215784,915889671,0,0,17136044,28442624,3735552,65536
12548067,4439328,1387790992,1744558153,971124608,0,0,16919208,31064064,5308416,0
13139527,4652671,1318608856,1758926412,1019103289,0,0,16333232,30932992,3014656,589824
13409522,4723833,1252453545,1740855747,1033768122,0,0,17311393,30081024,3407872,65536
13626878,4760688,1208418990,1725986462,1043146549,0,0,15303500,28966912,3538944,786432
13936312,4888029,1169948324,1723967665,1061295964,1,0,17980836,29622272,4063232,0
13915463,4872868,1115151357,1703672371,1064823035,0,0,16842092,30081024,4456448,0
14406399,5033377,1119207528,1742063666,1097715793,0,0,16421432,30212096,4784128,196608
14378537,5035903,1082656381,1719669258,1093188137,0,0,16145688,30015488,4063232,131072
14819089,5259640,1093074548,1767973750,1128700456,0,0,17344300,29622272,4390912,0
14770523,5171119,1053908910,1726085848,1111277681,0,0,16760056,29425664,4194304,393216
14967301,5238895,1054678428,1744435933,1128525863,0,0,17749580,29622272,4259840,917504
14902771,5320046,1039481136,1743159941,1129467303,0,0,17191604,29163520,2818048,589824
14948410,5255483,1024124776,1733404159,1136539510,0,0,17497244,29818880,4784128,0
15056317,5276556,1016894620,1730969336,1131671294,1,0,12415348,31064064,2818048,458752
15147351,5324782,1002476407,1734098751,1140161968,0,0,11450576,30605312,4063232,0
11820027,4206666,778700946,1341083622,883175496,0,0,12802740,31391744,3604480,589824
10845651,3796463,714231284,1236060446,812649378,0,0,13873248,30801920,3014656,0
10864211,3914081,721196008,1259483047,829292411,0,0,13862456,31064064,2031616,0
11005202,3899926,719239703,1259794387,832755967,0,1,13084116,21823488,2490368,589824
10915875,3782273,705045804,1237502864,817937240,0,0,13224360,31064064,3276800,65536
11186525,4027434,727806945,1290102299,858046866,0,0,12270928,30670848,3801088,0
10726014,3968701,691885354,1232440274,824716808,0,0,13852652,30015488,3604480,0
10732259,3791295,689254806,1223312965,813632313,0,0,12550256,30998528,4194304,0
10529997,3775942,684909501,1217138648,807711514,0,0,13145408,31916032,2555904,65536
11077753,3890899,709436067,1258559939,837737075,0,0,13260716,23855104,4128768,0
10657320,3759498,680472723,1217853413,814940454,0,0,13552236,30081024,3997696,65536
10861145,4023247,690098440,1256252105,846301116,0,0,13527172,30081024,3735552,851968
10952737,3882372,692049044,1243874323,832292040,0,0,10478044,38469632,42598400,0
11221672,3987993,707902902,1278605568,858026090,0,0,13557632,37617664,45940736,3014656
50815,25419,1407691,6389705,5477848,128,0,12083260,38404096,45940736,1835008
123237,83176,4131255,17359325,14449782,588,0,14210500,38600704,48955392,1441792
80699,49482,2366892,10042140,8449446,229,0,12455796,38731776,44040192,2293760
140132,83805,4119207,17282244,14273807,450,0,12075984,37814272,42336256,1507328
143341,87440,4350853,17484519,14495270,502,0,12503784,38600704,40632320,0
141827,85480,4335990,17558554,14749724,505,0,13497718,37814272,9633792,589824
49519,28948,1489012,5802351,4397866,163,0,12765704,37289984,27787264,6553600
84515718,50221158,2384318639,9476444539,7818409020,287845,0,13948238,38141952,45809664,2031616
158147,102224,4424420,18235553,15190059,554,0,12446972,38207488,49217536,0
172631,97049,4831814,19946901,16518285,526,0,14824722,37486592,48365568,1769472
178885,99370,5028955,20001809,16512277,643,0,13159984,38010880,46137344,0
165346,90155,4599645,18411197,15215009,540,0,15225372,38010880,51511296,0
176677,100912,5003510,19896011,16441501,614,0,12103848,38141952,49807360,1703936
175028,103643,5033097,19904899,16445507,644,0,15190622,38404096,51707904,0
152951,89146,4376152,17298877,14274316,568,0,13666388,38141952,46858240,2097152
170715,98812,4844839,19363659,16010457,576,0,13703941,38338560,50069504,1310720
183276,105967,5031830,19780979,16314028,589,0,13191312,38141952,51445760,131072
183360,105675,5015175,19719513,16256305,555,0,13468337,38404096,51118080,0
170941,96487,4620714,18370663,15200847,535,0,13600984,38076416,48824320,1835008
182007,106763,4940974,19527369,16061627,635,0,12966648,37879808,48168960,0
179843,108830,4917999,19726139,16281935,667,0,13479292,37552128,44302336,2162688
168354,99560,4547901,17905622,14722611,537,0,12007782,38207488,51576832,1572864
180291,109003,4942840,19495262,16075554,603,0,14335142,38469632,46727168,0
174770,108431,4864217,19530272,16121969,618,0,12727056,38535168,46858240,458752
168905,103723,4655958,18662087,15433077,569,0,14377596,37879808,51511296,0
179391,109904,4962518,20061337,16572601,653,0,13487802,38076416,52232192,3211264
174573,107548,4900588,19570080,16174279,572,0,14778840,38797312,52297728,0
157881,96385,4451206,17785079,14670396,501,0,13316320,38207488,52363264,0
177991,108639,5022828,20167526,16659034,636,0,12320005,37879808,47054848,1245184
173958,110190,4903886,19748827,16273872,630,0,12206539,38207488,45744128,786432
171903,113319,4866958,19633937,16142134,678,0,14402332,38010880,45678592,0
151099,98333,4258182,17454954,14521821,485,0,13645320,38797312,50331648,917504
175896,109608,4965753,19840303,16442124,585,0,13186104,38535168,51249152,0
178769,99453,5032696,20090923,16594410,707,0,13848388,38273024,47906816,524288
163063,88618,4540897,18272802,15141834,619,0,14135508,38273024,52559872,3604480
176328,96289,4938948,19806726,16389635,560,0,14490942,38666240,50135040,0
170701,99010,4849207,19610457,16288913,615,0,13546788,38535168,45809664,0
155585,90513,4414868,17604773,14566823,566,0,12876370,38273024,49152000,0
177601,104509,5063295,20106425,16625619,608,0,14543890,38338560,51445760,327680
177180,105126,4954711,19567129,16145373,662,0,13589032,37945344,54919168,5767168
170713,98607,4613456,18250852,15067221,539,0,14956678,38404096,53673984,0
182799,105711,4977508,19715117,16289222,643,0,12408424,38535168,50724864,4063232
181360,105556,4912472,19467810,16101668,671,0,13417616,38535168,50069504,0
179482,109305,4937083,19600568,16108405,621,0,13385120,38338560,48103424,0
167532,102427,4575546,18429342,15264651,595,0,13483176,38600704,49741824,131072
180963,111611,4955518,19692124,16221219,607,0,12729104,38535168,48889856,0
176611,109748,4865542,19587158,16210492,568,0,13034084,37879808,50659328,655360
162331,100467,4483015,18049095,14908633,601,0,13009444,37814272,44498944,1769472
178993,112732,4973541,20066305,16578841,648,0,12973628,38076416,48365568,851968
173727,109502,4890699,19603392,16137420,600,0,12972144,38535168,47579136,0
156709,97151,4383109,17727949,14671783,601,0,13727372,38273024,45678592,0
175640,110294,4980235,20032444,16549360,673,0,13405470,38076416,46923776,1966080
175647,109671,4909922,19859676,16384536,665,0,13106140,38273024,55181312,1638400
159315,105657,4510275,18352052,15198699,560,0,16049496,38076416,54329344,5701632
173362,114790,4896875,19783706,16315376,626,0,14433650,31391744,54525952,0
166296,110506,4695088,19526981,16208495,567,0,13502384,37486592,43384832,5636096
174215,101705,4906960,19702566,16280985,641,0,13787182,36634624,50266112,0
155333,86551,4362603,17623986,14651665,551,0,12299428,38010880,50593792,0
170730,95433,4787527,19459931,16146549,611,0,13719636,38273024,48103424,3538944
172928,99011,4880872,19588884,16195589,613,0,14762372,38141952,48758784,0
160716,94510,4592375,18139766,14967285,606,0,11583810,38338560,48300032,0
170219,101712,4873997,19521649,16158738,718,0,13743484,38666240,50921472,2097152
171107,101658,4894532,19644682,16292463,660,0,15502800,38338560,47579136,0
165258,94655,4493078,17894129,14828073,612,0,12812146,38338560,49152000,0
181835,105854,4970929,19730343,16297487,688,0,12735100,38338560,44367872,2818048
180431,104379,4930791,19448453,16053688,617,0,12710818,38207488,52494336,0
167257,97521,4433246,17770905,14603942,493,0,14120696,38600704,51118080,1769472
165527,101359,4623414,18678353,15546652,581,0,14568038,38600704,47775744,0
175869,107595,4807593,18997750,15640123,580,0,13231144,38469632,46923776,3211264
178931,107771,4875309,19448823,16084042,550,0,15322768,37093376,53542912,458752
159255,97929,4390847,17718729,14638558,603,0,12861176,38010880,55508992,0
177944,111811,4967638,19773662,16286051,704,0,14506204,38273024,47775744,2752512
174355,108886,4843393,19589343,16199754,614,0,15176938,37879808,54132736,0
160759,98806,4437009,18015851,14869911,562,0,11996152,33095680,53018624,6094848
172914,108439,4884430,19750584,16332029,665,0,15529664,33423360,57606144,0
175585,109243,4946636,20070428,16603844,651,0,14358234,33095680,50528256,0
151092,95863,4220257,17220695,14273726,552,0,12891968,34996224,44367872,1769472
172357,114602,4838316,19617558,16173843,654,0,12856550,34340864,48365568,1441792
