l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
231009,47083,5072011456,1660199215,104643514,0,0,17807600,851968,917504,0
237380,53771,5228778322,1711971024,109933447,0,1,19344224,8323072,393216,262144
145450,38043,4773276852,1696887230,149508879,0,0,18194056,720896,720896,393216
72418,13564,4521152254,1699929036,171680731,0,0,17877720,458752,524288,65536
75432,15454,4635265440,1741312305,175892561,0,0,18347806,1638400,393216,131072
74267,13629,4685909206,1761116324,177324893,1,0,17159530,458752,393216,0
69591,11428,4400004650,1653949065,166429217,0,0,13128048,1769472,786432,0
72991,12332,4595671838,1727439005,173920428,0,0,17513138,327680,393216,131072
68482,8860,4604517269,1729585709,173119482,0,0,18344504,917504,720896,0
74267,12512,4617883948,1735953895,174660985,0,1,14401990,1441792,1114112,0
72335,9390,4623891518,1737118387,174059409,1,0,17234264,1900544,786432,0
70460,8304,4574101401,1718017452,171758121,0,0,18990661,1507328,917504,0
69362,8525,4607998429,1731287668,173444442,0,0,16589152,983040,589824,0
72716,8619,4592694273,1725223396,172710573,1,0,12399584,1769472,196608,0
74309,10650,4608281740,1731875241,173622054,0,0,12871986,851968,262144,0
67885,8036,4558877467,1711971672,171214605,0,0,12912158,1769472,131072,131072
47738,5618,3283325994,1231631928,122738862,0,0,13965024,1441792,196608,0
50668,5557,3299004684,1237962708,123559622,0,0,13783356,851968,655360,0
48489,4988,3296786367,1236824537,123476300,0,0,11816960,4063232,327680,0
47289,4926,3290883290,1235900320,123484433,0,0,12433940,2228224,589824,0
51086,5610,3318903860,1244812993,124071974,0,0,12863618,1835008,983040,196608
51644,6378,3336791646,1252705590,125370821,0,0,13209598,4915200,458752,131072
51646,6617,3334811231,1252762541,125707023,1,0,13255218,720896,458752,0
54095,7294,3360452980,1263749288,126774204,0,0,13534156,1507328,393216,0
54213,8342,3359138779,1260860916,126512270,0,0,13401808,589824,393216,0
49027,6635,3268203088,1229012894,123033198,1,0,11697896,10289152,3211264,0
49296,6392,3302906994,1241777693,124425157,0,0,11351860,3276800,458752,0
52641,5988,3337426018,1254573174,125452659,0,1,13339104,4587520,262144,0
51247,5933,3360217603,1260479881,125659051,0,0,14444052,3866624,196608,262144
49749,5313,3312670459,1245431237,124438679,0,0,12497292,4063232,131072,0
51460,5378,3313617486,1245663383,124065501,0,0,12171160,4718592,720896,262144
48680,4585,3283626375,1231926907,122728057,0,0,12880648,6488064,458752,131072
49213,4637,3311256394,1241983456,123771300,0,0,13202844,8192000,262144,131072
46198,4118,3271495577,1229259428,122248840,0,0,12683664,3866624,262144,65536
51047,4852,3296390993,1239005179,123279205,0,0,12599764,1835008,327680,131072
47578,5118,3300639211,1237987198,123333621,0,0,12993783,2752512,196608,0
49174,5268,3261409322,1223315779,121895966,0,0,14858300,5898240,4063232,0
49433,4764,3279519049,1229973269,122216267,0,0,14575188,6750208,2293760,524288
274535531,117374139,6992695859,16711504216,11816292487,21270246,4,16483080,6750208,1638400,0
255634,300877,4210134044,1376963074,47553814,0,1,14988932,3080192,1507328,65536
