l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
1886374,756654,3693700805,1566457486,64653244,0,0,16555796,37289984,23724032,0
29989835,19372326,5868027649,4731584807,1941211268,258961,8,16900344,25690112,65536,262144
336828,35482,43146921,19958004,5362092,225,0,17691288,25296896,327680,0
317689,16344,45775431,19706156,5279588,241,0,17627116,24576000,393216,65536
301176,9072,48943264,19495878,4403811,243,0,18880192,24313856,327680,0
293717,18643,44037852,19822631,4381439,265,0,18473664,23724032,327680,131072
289139,21774,41159370,19804593,4139525,275,0,19169124,22806528,393216,0
289640,20181,43394237,19894445,4743962,197,0,17030216,22216704,393216,0
269586,16808,46963398,19563829,4599886,755,0,18063624,22085632,0,65536
285219,14537,44243812,19601326,3881886,309,0,17913772,21889024,262144,0
301645,21108,41767327,20152557,4637374,317,0,17693728,21692416,65536,262144
303171,14502,44783773,19836667,4538280,240,0,17958428,20971520,786432,0
295181,16432,41838650,19453135,4881309,344,0,18851068,20643840,458752,0
297848,13885,44554799,19602596,4641017,283,0,17510532,20381696,131072,327680
309869,13549,42520507,19249951,4810122,603,0,18012300,20119552,524288,0
315761,14861,45808722,19522060,4281008,282,0,18000352,19922944,65536,131072
330758,19039,42646046,20168525,4630847,345,0,17595968,19660800,196608,0
334681,17386,40638472,19906381,4545157,123,0,18589588,19529728,131072,0
374110,12528,41898804,19667676,4895991,374,0,18302452,19529728,0,0
370649,10705,44184476,19464779,4841376,125,0,18189792,19464192,131072,131072
355242,12257,49158739,19661585,4759184,39,0,18404716,19070976,327680,0
335236,8448,44142728,19526062,4814840,122,0,17548504,18612224,589824,0
312242,16714,41952665,19572740,5009390,222,0,20360344,18153472,131072,0
335608,19126,45376790,19854134,5246184,650,0,17872512,18087936,65536,131072
368342,32406,42276262,20420392,6034411,352,0,17153660,17825792,524288,0
361207,32910,46667329,19697508,5574829,317,0,16461260,17760256,327680,262144
310001,19407,46331909,19653974,3941740,52,0,16619012,17367040,327680,0
315559,18512,47961934,19987305,3935195,3,0,17304432,17039360,262144,65536
314633,18552,45597351,19532576,4642563,8,0,18594848,16646144,196608,65536
289197,20795,46221914,19543909,5262517,346,0,17871456,16187392,589824,0
303958,21570,46250655,19850989,4419073,174,0,16965384,15597568,196608,0
280025,25213,40086434,19685803,4856879,168,0,17849952,15335424,196608,65536
287079,15041,43720969,19686639,3823408,83,0,18846564,15007744,262144,0
298569,15719,43831656,19974743,4983520,413,0,17526560,14876672,196608,65536
287057,10473,47074723,19811718,3982730,232,0,15290360,14417920,8716288,10485760
300574,15516,41266371,19687885,4239148,541,0,18647401,30736384,45940736,1703936
304234,12430,43607815,19381139,4387807,139,0,18136532,36306944,32047104,0
292443,15864,41572987,19855251,5121805,83,0,19177116,38076416,53084160,10813440
310147,17126,46741255,19599483,4650940,261,0,18521900,38273024,73662464,0
306247,13934,45581854,19563065,4344129,398,0,18278160,38338560,54394880,0
364984,11960,47746762,19856597,4633462,791,0,18141918,38207488,48431104,2490368
382511,17782,44939959,19639346,5084401,859,0,17315780,38666240,45678592,0
411950,25415,40107662,19951397,5873708,231,0,17641564,38469632,45416448,1966080
309014,32178,32872052,19682893,6115648,125,0,17987652,38666240,45350912,0
314080,25312,38315760,18681586,5655841,152,0,16479014,38141952,34799616,983040
326527,21616,45524485,18988007,4834650,106,0,17036940,37945344,45416448,65536
319429,23891,45617869,19595946,5669980,173,0,18375790,37617664,37552128,851968
338618,31305,47130883,19827192,5856481,558,0,17148188,37879808,48365568,655360
335508,35981,46555626,19969720,4801454,822,0,17611164,37552128,41484288,655360
301112,16604,43620587,19992204,6215202,1581,0,17309046,38207488,48889856,3473408
303204,19064,42274058,20028571,4978706,788,0,17944776,38731776,36962304,0
293454,11964,44324862,19684630,5052414,501,0,17531056,38273024,45481984,0
305528,17655,46449171,19460751,4179682,221,0,16844548,37289984,22740992,0
303315,19033,42100288,19634316,3478388,192,0,17522770,37027840,17956864,2686976
292547,17436,46809753,19662442,3571477,360,0,17432584,37158912,23265280,4521984
286267,14363,49448181,19565425,4224429,366,0,17560372,37683200,34275328,1900544
298618,15103,48275054,19949347,4558408,129,0,17738748,38273024,35061760,0
301349,13250,49667186,19913118,4725675,43,0,17852756,38600704,41877504,0
296741,13770,44818099,19632696,5302176,696,0,19057488,37617664,23265280,0
273354,15101,43112735,19468206,5168919,727,0,17327504,37027840,26542080,2621440
297556,16642,43589891,19762938,4521389,1005,0,18492644,37683200,31653888,3801088
282509,18555,42107872,19896910,5056444,488,0,17777936,37945344,38731776,0
308040,16752,44576834,20198833,5043163,311,0,16967296,37683200,30801920,0
385076,19836,42228156,19834795,5715046,421,0,17519686,37945344,24707072,1572864
404105,14762,45669043,20110065,5200922,261,0,17539762,37814272,26935296,0
330463,14201,41379632,19960943,5007928,122,0,17830868,36438016,17235968,3145728
303349,11631,45571114,19673631,5099489,21,0,17107612,36700160,22413312,0
320870,3520,45800963,19931212,5405757,32,0,16315716,37027840,24313856,3801088
348752,11712,42173831,19586314,4833604,366,0,16992300,37421056,27525120,0
376320,20399,45128561,19778662,5195042,752,0,16647476,37617664,18743296,0
303003,23706,42243641,19712567,4906796,256,0,17088550,37355520,14286848,458752
316030,19029,44525768,19413345,5441886,296,0,16831264,36503552,15007744,589824
312915,22071,43351732,19564848,5653655,69,0,17317702,35586048,15532032,655360
287118,16362,48931127,19460324,4697985,309,0,17852604,35717120,15138816,0
323472,41412,47365518,19913318,4715343,485,0,17148988,35192832,4456448,0
317517,35551,46726940,19908333,5335080,732,0,15930548,34668544,3014656,131072
304485,15719,46399224,19499490,4080575,714,0,17107580,34340864,2555904,0
309288,18628,43223465,20285586,6108034,550,0,16925830,34144256,4390912,3407872
283762,16096,43395179,19543058,5376931,466,0,16687372,34406400,10747904,0
296205,26512,40125065,20070509,6088406,186,0,17128528,34275328,3866624,3014656
292042,16053,45359246,20390765,5236049,877,0,17530768,35651584,11730944,0
298416,14463,44677766,19727941,4286375,176,0,16163834,35848192,13303808,1638400
298218,17435,43162041,19893239,4815660,32,0,16638241,36175872,20250624,5505024
293393,19725,40767309,19702728,4856909,101,0,17693691,37683200,32243712,2228224
309602,16040,41315293,20255990,5547600,528,0,16815932,38010880,42991616,327680
289837,19661,39512078,20106518,6018662,1672,0,16605272,37289984,43974656,1572864
305165,13610,42971455,19453541,4791618,179,0,16487556,38010880,49741824,0
341250,14888,44727258,20270735,5307676,267,0,16934214,37486592,40828928,0
370394,14052,48023503,19744497,4405517,225,0,17355486,37224448,39845888,0
373566,18262,41845059,19773452,5770252,414,0,16023484,37552128,36438016,2686976
372993,12537,41589512,19998067,5452147,690,0,16683034,37945344,47382528,5439488
337013,27289,40026138,19845737,5853156,610,0,16567600,38273024,50069504,0
321175,30032,40369718,20055406,6128199,306,0,16966852,37683200,37879808,0
308231,17995,50396908,19830615,5470643,47,0,16460680,37683200,30343168,0
306980,15626,49811266,19796053,4965944,487,0,17694476,37289984,21037056,851968
344644,26378,46333602,19541762,5266779,435,0,17257576,37093376,14876672,0
313569,30103,43022781,19498987,6087357,660,0,16530992,36831232,11665408,0
324911,27288,43294902,20022849,5165634,595,0,17044756,36044800,13959168,0
295020,15136,49462539,19374093,4660777,292,0,16730964,35717120,13041664,786432
285074,10601,50494733,19362633,3981314,718,0,16801964,35848192,18284544,4784128
285347,10510,48939043,19585367,3351174,542,0,16373756,36700160,19529728,0
283662,15963,48015863,19842567,4087906,877,0,16158680,36110336,11665408,3342336
289528,19828,44866376,19766881,4257551,875,0,15868616,36962304,34013184,1310720
299838,22941,40216012,19603377,6009848,307,0,17123966,37617664,24313856,1048576
286231,19023,42314941,19729327,5398065,27,0,16941776,37683200,27787264,0
278265,16232,44452154,19632630,5908132,360,0,16425296,37814272,29884416,0
271041,12547,47164490,19435673,4783249,262,0,16376802,37617664,26804224,3211264
312408,14098,46113778,20256069,4642937,280,0,17180272,37617664,35520512,5505024
320115,13056,45756334,20076688,4570190,107,0,16649248,38010880,45744128,0
327872,17556,40703763,19958350,5538330,276,0,16819650,37879808,22544384,0
356694,18319,39044037,19729796,5742216,57,0,16826816,37617664,11862016,0
322760,14573,38847334,19689114,5364494,208,0,15465118,36503552,15925248,4980736
374957,13875,38309833,19744763,5218245,381,0,17579817,36700160,21889024,0
358990,20035,43602508,19611938,4754822,210,0,17136393,37027840,26738688,5898240
363118,18386,45863265,20039452,4354733,147,0,16224552,37683200,30670848,0
333174,13218,42030411,19262718,4530882,131,0,17353874,36831232,29687808,1703936
272546,16340,36871910,17637843,4981080,529,0,17655450,37552128,28639232,0
297670,18273,50033791,19514201,5907861,1488,0,17213152,37289984,20578304,1114112
340924,25748,44414061,19955924,6594872,1254,0,16965120,37289984,21037056,0
357409,50799,35844587,19730798,6465048,1223,0,16520646,37027840,24510464,2490368
315714,68119,34930444,19512275,6301225,988,0,17046770,37224448,23855104,0
301478,32122,43901940,19603447,4631577,292,0,17022302,37355520,21823488,0
286685,25353,46432470,19433996,4771926,612,0,17529120,36438016,18677760,4390912
143427048,31442385,23052639957,13899452203,4780275871,316531,1,16767652,36896768,21692416,1179648
171073,48994,40222207,19784612,4179347,12,0,17042204,37748736,28311552,0
164243,59339,37051195,19899778,4524814,31,0,18572104,36306944,23330816,2359296
149039,71921,29073145,19165774,4237845,31,0,19020576,36241408,31129600,0
139359,72056,24193301,19353453,5162586,19,0,20706692,36765696,27131904,655360
166683,71349,26172569,19467097,4494631,51,0,17615522,36765696,21561344,720896
177859,64825,26303480,19624648,6376223,4,0,17272332,37027840,29818880,589824
195071,51921,29630465,19707337,7704825,59,0,17015676,37421056,33816576,2555904
173551,50642,28699957,19648990,7972882,11,0,17788500,37093376,32309248,0
