category,MG,bodytrack,canneal,streamcluster
runtime,18.693098306655884,28.55928325653076,59.36434888839722,125.70225286483765
l2miss,3813072629.711752,526038498.43587077,830683473.1346531,578627586.1223984
l3miss,2867549232.261641,21097765.728189085,465608653.0345878,460780296.65932566
instructions,254139537968.40353,249799733724.36566,26520701018.27279,33641600650.392384
cycles,121436447763.30377,111054109231.14355,94500718796.824,53521044529.793106
stall_cycles,25830427343.126385,11541757878.345499,75755823524.47247,35453620926.85877
intra_coh,6209208.425720621,62358308.30726451,2474338.0465520993,39740652.3465368
inter_coh,120.28824833702882,9.732360097323602,2.1753317380900588,9.305499550234188
wall_cycles,16926996259.423502,15769910357.316648,10781436731.34653,7471300862.40268
llc_size,34548806385.80931,9572584063.95551,40592274182.29279,38946339876.05075
local_mem,262306568514.4124,1238167980.5352798,31445960534.261475,27753940024.442444
remote_mem,5093389623.059867,239136923.1838721,691556629.1059386,1559914953.1933372
