l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
12384,153,28259035,12433586,1036124,7173,0,15261668,13303808,458752,0
94598,17567,9966260,6124005,2000091,3092,0,15796206,12713984,196608,0
99006,18333,425830,2584098,1466928,8998,0,17939088,11337728,589824,0
118034,5110,38885980,17715969,1735800,12505,0,15412748,9240576,458752,65536
105619,507,46065324,20401087,2010396,11982,0,17059515,7143424,393216,0
24695,2308,343831,452005,506055,331,0,16959694,12582912,196608,65536
61681,64431,33070968,13199102,623246,7209,0,15830429,11534336,131072,0
86007,76997,40799708,15670426,525440,11726,0,14254293,11010048,131072,65536
77557,73736,40279981,15387501,538110,12980,0,18539422,10289152,327680,65536
43301,81510,42706627,16281471,541736,14048,0,16271288,9306112,655360,0
36981,223663,8418476,14585142,507272,13944,0,17241368,8650752,327680,0
41291,1873,49441701,15247393,358285,16731,0,16539888,8126464,524288,65536
30754,4503,16283389,12210510,3607329,7092,0,16734274,7274496,524288,0
54127,13158,15386486,17237176,5906945,13017,0,15171752,6750208,524288,65536
111682,1493,45410678,20115020,1891564,13570,0,15636584,5832704,720896,0
74845,236,47624486,20588906,1596226,9341,0,17861304,5111808,589824,2031616
80113,208,48194697,21012089,1779720,11140,0,16864900,7602176,3801088,0
91789,337,46831440,20532953,1797326,12029,0,17089676,11010048,7208960,2031616
86447,453,47602716,20631702,1683877,7423,0,17314750,15335424,4390912,0
78996,259,46957864,20591073,1858954,7512,0,13795278,14614528,131072,0
84522,351,47351634,20494572,1632573,5544,0,20256194,13828096,458752,0
101391,573,45720172,20275129,2049078,11929,0,15882505,12582912,131072,0
97790,256,47284461,20674781,1870903,8629,0,17057866,11993088,393216,65536
105055,330,47996300,20797573,1727068,6921,0,18710347,10682368,589824,131072
101428,502,45019178,19443255,1744727,6450,0,17478260,9502720,393216,0
1409,94,5635099,2487694,125381,606,0,16502720,8716288,655360,65536
27736,1652,13752766,14350216,4703042,8039,0,14649452,6881280,393216,65536
77107,26937,25050493,17886678,4103469,11815,0,15509714,6029312,786432,65536
84889,486,44909528,20000152,1860908,11156,0,14720504,13434880,196608,65536
76920,200,46171316,20318790,1871357,12282,0,17170192,12582912,393216,0
81781,288,46557815,20286420,1763482,11438,0,15117275,11796480,327680,131072
81872,606,46884373,20370463,1729662,11100,0,19015600,10551296,917504,262144
70732,143,47833916,20779016,1873807,15045,0,17159248,8716288,1179648,0
60224,184,35982736,15412949,1320067,9223,0,15669107,7798784,589824,0
35836,6084,7177528,6030671,1378196,2861,0,17314842,6225920,655360,0
44012,4423,18409445,18099026,6121408,11230,0,18444160,5570560,655360,0
93242,5233,36972088,18169468,2629013,13715,0,15429748,4784128,524288,1966080
82465,570,47267873,20896297,2024733,11334,0,16500460,6946816,3866624,0
72319,223,48679425,21167571,1740460,9648,0,15732892,8257536,4653056,2162688
81643,386,47501482,20653187,1710833,9696,0,16862768,14286848,4980736,0
84825,563,46379001,20375796,1883883,10463,0,16761880,14090240,524288,0
92109,233,47567762,20766454,1822077,10552,0,18079412,13238272,196608,0
88689,329,47401848,20738188,1879202,11584,0,16425440,12517376,131072,65536
90313,486,46613557,20329735,1772760,12294,0,15413937,11862016,196608,65536
87921,566,47043460,20337308,1841610,10552,0,14638298,8781824,720896,262144
11347,105,17590454,7432751,602230,2731,0,15603262,7471104,720896,0
87338,21852,9371037,7643666,2372873,4262,0,16209824,6094848,524288,196608
