l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
11588973,4099550,1423676327,1692862533,901145922,0,0,17492925,25493504,4653056,0
11983204,4420405,1314247627,1685014949,950565914,0,0,19436504,26935296,4980736,0
12745801,4745773,1282523605,1735810035,1015498416,0,0,17589402,23199744,4128768,0
12921481,4880589,1218976277,1724057038,1031437500,0,0,14925278,10616832,4521984,0
12993978,4923321,1149337319,1687844972,1035675602,0,0,15762429,28639232,3735552,131072
13225085,5037594,1118300148,1696283232,1065077656,0,0,17014464,24903680,4456448,262144
13720133,5148738,1110285990,1719817942,1083217827,0,0,15618492,22740992,12713984,1376256
14000251,5160394,1079715651,1717110731,1092626828,1,0,16681006,24313856,3932160,196608
14232951,5259400,1072670324,1724456226,1103743710,0,0,19751106,22872064,4849664,0
14276443,5267944,1046873771,1716358405,1107284157,0,0,19424608,20709376,4784128,0
14240527,5358459,1033991869,1719314250,1114061003,0,0,18020740,27656192,3735552,393216
14366196,5278610,1013233515,1703553242,1112506669,0,0,16400450,21430272,3735552,0
14530234,5366192,1007029231,1708536413,1117838337,0,0,16159860,21495808,5111808,131072
14709122,5454198,992111335,1708418181,1123995639,0,0,18046742,28508160,3473408,0
14560917,5420919,991769893,1711389792,1119791628,0,0,13724656,26279936,3670016,0
14999774,5515497,999077180,1739721969,1148467411,0,0,13112100,28573696,5046272,131072
12195507,4612573,806739676,1425316316,944470366,0,0,14089660,30932992,3014656,196608
11629345,4244697,762867299,1339498960,886601745,0,0,14453428,24051712,3145728,851968
12345164,4521229,804869695,1422684079,944145109,0,0,13761972,28180480,2162688,262144
12180653,4438269,792501647,1403831963,932816333,0,0,12973000,25821184,3276800,0
12248884,4474560,794156928,1413868812,941487647,0,1,13791264,25427968,2818048,196608
12227048,4530355,800504272,1426139585,942695992,0,0,15903272,24903680,4849664,0
12282513,4477256,790337700,1414383702,944020404,0,0,15038204,28049408,4259840,0
12159069,4458535,779756470,1408179545,950231464,0,0,14222052,22609920,3014656,65536
12152505,4459452,774131851,1400054352,939232644,0,0,13884204,28246016,3342336,327680
12184220,4446669,777146705,1400054638,938061106,0,0,14112984,27262976,4587520,131072
12027186,4348329,754963862,1371942696,921252353,0,0,15023320,29491200,4194304,0
12247410,4502479,774559825,1409296803,948764589,0,0,14729096,38404096,28246016,1966080
12182222,4384533,768617410,1390642979,933281626,0,0,9693032,40894464,34865152,0
37272045,20377001,1309019640,4180219362,3314454061,99396,3,9775824,40894464,34799616,0
36385,19167,1002371,4522571,3890496,36,0,9680212,40763392,29818880,2424832
158676,100124,4526956,17995543,14828438,443,0,10428616,40894464,35848192,196608
