l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
148990,136001,8820657,21628783,16709429,224,0,17522546,11599872,71368704,0
139783,130747,8683895,21393417,16345333,313,0,16210276,6684672,55836672,0
198883,182378,12142960,21219407,14450031,373,0,16609674,6356992,53805056,3080192
204004,185790,12407998,21426487,14534376,353,0,17858190,7077888,47448064,0
206369,185201,12253857,20883835,14040384,323,0,16578341,3342336,35520512,1179648
122555,73261,6908611,16312181,17075191,222,0,16829996,655360,4390912,2490368
141515,129677,8297810,21623703,17201616,358,0,15334192,3604480,27852800,0
151023,128343,8198273,21084730,16600786,273,0,15749394,3866624,29556736,0
169578,136303,8275322,21322800,16690455,249,0,15945062,3670016,36438016,5767168
145880,129217,8662818,20441194,15771966,296,0,14662164,3538944,38862848,2228224
159932,132004,8848352,21543037,15456487,219,0,17031104,5570560,42795008,0
159663,131566,8842311,21237558,15048603,259,0,15915880,6356992,53149696,8585216
161758,135042,9037880,21341615,15455791,255,0,17246854,5832704,58720256,0
146773,131317,8608514,19760359,15126365,284,0,19342926,2097152,37683200,1310720
155307,134691,8877540,21027913,16228335,328,0,15871330,8716288,49414144,0
149431,129531,8536971,20973897,16413028,213,0,18474405,8192000,50790400,0
169073,133988,8677145,21563572,16800678,278,0,16852354,9764864,48365568,5111808
172177,136141,8846984,22002754,17134774,294,0,16316891,6225920,52953088,0
162153,130968,8680404,21079256,16387309,287,0,16774608,6488064,45416448,1769472
133126,108503,7064461,17109967,13163725,185,0,15798612,5701632,52494336,0
3053,969,5302999,3729974,1898985,507,0,13578126,7012352,44498944,917504
114402,105578,7096422,20452629,16783912,861,0,16574916,6029312,49545216,0
132893,120846,8088767,21535416,16998467,328,0,19053862,6553600,51118080,8192000
117410,110606,7341155,19201502,15142790,205,0,15258564,6750208,56164352,262144
134031,122836,8194892,21398699,16819620,289,0,18440332,3473408,36634624,0
134629,123013,8224833,21455139,16833523,255,0,15251344,5570560,51183616,0
135408,123133,8198851,21193187,16527542,248,0,15832380,5636096,46727168,1310720
134024,122434,8169553,21311729,16754903,229,0,16775956,5242880,35913728,0
135134,121814,8148391,21167544,16509530,228,0,18020947,4653056,35258368,3342336
132914,121189,8044265,20824498,16339091,241,0,16113932,5963776,45481984,3604480
133898,120876,8114842,21444611,17037559,236,0,17369948,13565952,63045632,6619136
121640,110901,7371137,19184795,14838813,211,0,17742270,21626880,99876864,0
132811,120585,8009896,20975254,16444697,245,0,16896124,16318464,40501248,14155776
135230,123516,8223788,21395027,16590768,268,0,16641048,13565952,64618496,589824
84577,73411,6880205,13373231,9838249,144,0,16492336,3866624,47579136,4063232
24998,20305,2260416,3656490,2665837,7,0,18819032,15794176,84869120,0
61333,60038,6708397,11673431,8870249,1272,0,16686764,2293760,34406400,5242880
165962,146757,9020481,21860337,16864719,584,0,16225336,13762560,71172096,0
162918,144567,8996994,21569024,16515878,265,0,15518224,7077888,59310080,5832704
162778,144924,8973171,21117023,16331293,281,0,16581572,15007744,84803584,0
160641,152459,9066601,21880783,16568096,268,0,17994629,2883584,38535168,4915200
157687,151870,8949796,21589840,16435832,248,0,15934892,13238272,70320128,983040
155892,150417,8873258,21256192,16223088,232,0,15989583,6553600,51249152,0
134105,143564,9080929,21136737,16239530,273,0,16094442,5636096,54329344,0
130572,144435,9342592,21508278,16441888,231,0,17371802,5373952,44695552,0
131195,144889,9399175,21579270,16464246,273,0,17901538,7143424,59047936,9764864
152024,128994,9249584,21455011,16356145,270,0,16717836,6422528,62849024,0
152060,116778,8845500,21323851,16339656,241,0,17388016,786432,15925248,8847360
149993,117001,8839932,21113451,16320373,263,0,17460438,5832704,58261504,3080192
102947,85901,6272623,14600007,10466961,237,0,16702880,23855104,64421888,0
155139,136616,8644020,21226152,16642581,309,0,16759402,6225920,65536000,0
158417,139748,8842613,21814579,16479070,224,0,17285912,5767168,59047936,589824
156691,137280,8646490,21054813,15965643,267,0,19902012,8060928,69402624,0
154778,138297,8748486,21161013,16124594,232,0,18170956,4456448,36306944,0
160797,148389,9270927,22292756,17188543,328,0,14870164,5439488,32374784,9437184
160010,144121,8972093,21334811,16350415,208,0,17115464,4784128,40960000,0
153123,139551,8780648,20750424,16047521,285,0,16510744,5111808,39583744,0
169651,146451,9134087,21887074,16808069,285,0,17344220,655360,22216704,1966080
165372,143107,8950055,21498363,16368610,245,0,16476976,5046272,43122688,196608
163338,141288,8765686,20899759,16011305,249,0,17808412,4784128,47054848,6422528
107202,97824,7463525,15333684,11167747,252,0,18054552,13762560,50724864,1441792
59363,55140,3694133,9096837,7050909,59,0,16836112,22413312,71106560,0
68867,63304,4179939,10100436,7763125,96,0,16553801,20774912,63832064,4653056
37189,36829,2796501,5862777,4121837,98,0,15520932,23003136,76349440,0
2439,98,4164731,3599378,1157546,583,0,15621052,2818048,22872064,7340032
88006,90247,5586892,15761762,12758281,1275,0,16904996,5308416,49479680,0
134747,133333,8577571,21248971,16511304,469,0,17407748,5701632,45744128,0
133213,122682,8712197,21383410,16658029,277,0,16996903,1638400,27656192,917504
132944,122011,8716296,21024176,16295941,223,0,15714224,8192000,43581440,786432
132907,121980,8480947,21061051,16267733,235,0,17102812,8978432,43712512,0
133320,117740,7897859,21025651,16403747,231,0,14275444,5570560,42598400,196608
139512,121733,8019606,21157911,16235337,238,0,16489288,2424832,31064064,589824
138547,121089,7996887,20867124,15907692,235,0,17504172,5439488,44236800,0
136602,119422,7911258,21099685,16398963,205,0,14877360,5177344,44433408,0
139519,121777,8039435,21587158,16994571,192,0,17256460,4784128,31195136,0
142185,124720,8241548,21532456,16760850,264,0,16626120,5177344,40108032,1507328
120155,110107,7262411,18754844,14605761,159,0,15237592,5373952,41877504,0
116732,107980,7120212,18568053,14568765,177,0,15411680,4849664,38993920,0
115311,102544,7414979,17845170,13578559,225,0,15974918,5832704,27394048,10813440
39123,54986,7750030,8701301,5658439,1162,0,14651952,5242880,45481984,0
163606,153987,9190771,21803373,16643383,440,0,16340514,5505024,44367872,0
162424,153239,9333399,21506818,16203644,278,0,17598868,3670016,27000832,9306112
163770,154877,9387024,21369794,16052693,267,0,16223464,5832704,56164352,327680
156947,150990,9546617,21727494,16554755,260,0,17051432,7536640,52101120,0
156270,148742,9396022,21478857,16261096,281,0,16552040,589824,18219008,15794176
153860,146533,9319408,20999383,15974774,279,0,18676064,5963776,57344000,0
162933,142037,9173606,21229693,16084018,279,0,16800452,7143424,48889856,0
164628,138287,9070516,21341158,16130229,295,0,14430040,6553600,36896768,12058624
163684,140729,9264085,21144710,15992777,275,0,20057860,5505024,52232192,0
165821,133830,8722537,20880689,15743895,249,0,15190732,4259840,35979264,0
128146,101405,8726209,16928678,12448885,236,0,16350154,1966080,22740992,4980736
36748,33617,2211827,5076835,3833139,16,0,17097856,6291456,54788096,0
34117,31604,2065592,4942156,3772447,56,0,17178656,6225920,51576832,0
47498,46386,5456041,9964386,7687316,1265,0,17134316,5963776,49414144,524288
151440,150816,9126233,21430543,16440905,629,0,17776824,5439488,48758784,1310720
148116,145773,9003601,20646195,15727161,299,0,16186020,4194304,36175872,0
144521,138318,8682933,20330403,15746725,218,0,15644292,6422528,51445760,3211264
153841,139214,8823363,21610618,16358415,262,0,17634080,6225920,53346304,0
149728,135814,8655499,21073254,15835907,254,0,17500452,786432,31522816,1179648
152665,138243,8772768,21192477,16083371,251,0,16313588,7274496,52363264,589824
152223,139705,8878491,21493465,16491466,226,0,18511558,6684672,53215232,0
151247,137382,8809240,21354825,16361747,234,0,18062338,7012352,39911424,12255232
151372,136576,8802999,21110546,16152405,248,0,17496266,6291456,56754176,0
164613,130054,8654125,21413992,16600419,213,0,17153742,1769472,30081024,1835008
166767,131328,8781659,21358145,16412978,260,0,17872352,8454144,56885248,0
167245,132375,8827452,21091988,16190840,232,0,17076672,6356992,45613056,0
136134,119856,8162731,17516493,13070658,241,0,15907358,851968,30998528,1310720
68308,62246,4181744,10013221,7685146,89,0,17542760,7536640,49807360,262144
68711,62975,4147846,9907177,7618773,99,0,19122684,8192000,48300032,0
54850,33167,5008918,8048800,5412640,990,0,14832392,6422528,32768000,4456448
312778,62729,6613261,7884990,5055940,4772,8,18394444,9175040,48824320,0
250377,14377,6174638,6848472,4450267,3660,0,15077192,7798784,49086464,0
179075,154785,10965126,21511303,15359621,1953,0,18734096,8257536,38862848,11403264
196295,173281,12059309,21442085,14618491,425,0,17406556,5701632,45613056,0
195505,174422,11996478,21026590,14283757,425,0,15066150,5963776,38666240,0
192774,167594,11474843,20178559,13704668,340,0,16993124,8060928,49086464,13041664
223081,186880,12794054,21714362,14176633,361,0,17018990,7667712,57671680,0
210957,174617,12042099,20603605,13644541,369,0,16268372,2818048,26411008,0
219510,183092,12605531,21366747,14272753,316,0,17317780,6094848,42598400,5898240
220907,183881,12673854,21659971,14697713,360,0,17976031,6815744,51249152,0
186415,160846,10981785,18447055,12355022,270,0,16324743,2686976,29097984,0
170474,152562,10472790,18168468,12431743,240,0,14466554,6553600,46137344,1507328
94179,82089,7767289,10512070,6629490,144,0,19590670,6619136,48431104,0
119688,109623,11148460,16194970,10929845,1278,0,15108540,2293760,28114944,1310720
212128,190757,13494210,21773891,14665714,317,0,16061978,5963776,45023232,0
207881,188656,12715158,21417876,14386316,299,0,14190768,6094848,47644672,0
205748,186439,12626265,21571308,14620496,303,0,18908726,1966080,32899072,5963776
200509,181959,12288876,21127077,14347938,327,0,14597352,17104896,68943872,0
