category,MG,bodytrack,freqmine,streamcluster
runtime,18.560485124588013,29.477940320968628,86.70849180221558,125.04161834716797
l2miss,5911662379.052369,859348594.4808232,389352939.5702775,733350803.2618568
l3miss,4461669933.915212,35397812.44153415,61669640.92808117,587200782.3717569
instructions,395364469244.38904,334864045128.15717,182809323997.0158,42828980977.64878
cycles,187815439417.70575,150021378558.9336,100726892156.81886,67311947276.74445
stall_cycles,39449151866.58354,15615885097.754911,24829560823.112503,44355505104.213554
intra_coh,2818758.1047381544,82530628.15715621,104285574.45538644,50027812.69991707
inter_coh,201.99501246882792,69.69130028063611,7.012831990450612,20.139793863286343
wall_cycles,38421395432.66833,21707678278.7652,12180734893.16622,9443232976.148167
llc_size,34079292009.97506,8418923764.26567,35320857974.33602,39206664198.71263
local_mem,587675612249.3766,2244776591.2067356,2529780540.734109,35463397361.76598
remote_mem,70845886882.79303,430459330.21515435,338431541.6293644,2446496173.1232476
