l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
291533,381346,6717821,16825246,12605022,80,0,14993248,36765696,271122432,6553600
525815,504696,17453442,21192082,13817468,431,0,16531964,35782656,300220416,0
642858,653882,32134981,21236952,12170526,0,0,16674614,33882112,252903424,0
592887,607255,29606096,21696145,14216251,3,0,15527536,38535168,223477760,0
565957,582646,28514713,21300132,14151866,2,0,17012394,20840448,69206016,0
556882,515359,25518936,19895592,14570858,5,0,16490682,23396352,53542912,0
580341,530892,25897179,19970906,14499319,0,0,16540988,20119552,60948480,1835008
569364,521527,25362877,19900972,14629410,0,0,16548406,26214400,61734912,23724032
537222,501138,24943002,19370967,13097090,0,0,16172016,31326208,151977984,0
544313,518001,25876485,19965348,13287345,3,0,16534084,28442624,102957056,983040
525640,505860,25249956,19656144,13125498,0,0,15879792,28966912,103809024,0
535172,482803,24604639,19427509,12995143,1,0,15336968,27459584,102432768,262144
611682,510038,25043406,20695232,14470438,0,0,14485206,26542080,98041856,786432
581411,516592,25047638,21884721,15363680,1,0,14028572,37093376,242221056,4653056
594851,532576,25849417,21893125,15459008,3,0,15568088,35586048,276889600,0
566907,523829,25409125,21326505,15182036,1,0,16965961,37289984,270794752,5832704
580449,518095,25425685,21683129,15639757,3,0,16495796,37421056,273416192,458752
581297,512756,24988701,21389517,15099790,0,0,16088417,37224448,281083904,4784128
553102,502903,24537652,20858968,14703716,0,0,16859379,40697856,277479424,0
574257,517640,25584451,21960306,15683303,0,0,16033320,16187392,88080384,61997056
602197,541822,26402919,22274571,15639781,8,2,16439293,36634624,171245568,0
592444,530003,25867414,22029294,15712340,0,0,16028876,39059456,199884800,82903040
582449,519599,25277418,21729082,15310005,4,0,16357316,36962304,313262080,2555904
604375,538933,26234602,22028667,15492247,0,0,17628056,34930688,235667456,0
572616,516241,25126408,21550635,15298195,3,0,16957688,34209792,188350464,0
590189,523653,25296424,21269220,15029302,6,0,16003460,33357824,180944896,262144
557777,531399,25557122,21618231,15338478,6,0,14842502,37617664,239140864,46661632
686119,461949,30346021,22391425,14672958,2,0,14405588,37224448,265682944,6094848
597308,531620,25631590,21721498,15265530,7,0,15176064,36306944,249298944,0
582964,526999,25684750,21543703,15252077,15,0,16969320,19988480,76414976,0
576123,510836,24773513,21261926,15516859,1,0,16188578,19267584,61145088,917504
602151,526698,25690528,21861240,15373834,11,1,16171072,19136512,75759616,0
595365,532720,25972025,21614452,15193278,11,0,16106344,25165824,56360960,11599872
562606,505272,24768945,20956471,14971660,3,0,15511824,35979264,236912640,46530560
583231,528964,25878064,21977530,15498316,0,0,16863202,35586048,288423936,131072
601372,543263,26400805,22036731,15484527,12,2,16046560,39321600,276561920,3538944
594478,534365,25883377,21882232,15406850,16,0,15764298,36765696,282132480,0
586961,522541,25653661,21666802,15480680,3,0,16752918,33882112,298319872,0
600548,536914,26148288,21979519,15431724,5,0,15690487,33685504,271319040,11862016
601706,537828,26137360,22059448,15538207,13,0,15601765,32309248,283115520,4194304
575704,518701,25023732,21514323,15391158,0,0,17802192,30801920,302252032,0
614445,541630,26283253,22171053,15560668,2,0,15343464,37486592,276365312,3407872
575821,531238,25700793,21661734,15291743,2,0,17564690,35848192,279314432,0
650809,578939,28066245,21640849,14733202,3,0,16260390,37486592,281542656,6422528
631802,564822,27393647,21763070,15066914,1,0,17086922,35061760,305201152,6684672
601012,554067,26761098,21701872,15022105,1,0,17348022,36503552,308936704,0
616450,643364,27488393,21447854,14767596,2,0,16641084,35717120,272760832,0
570887,531934,25409311,21484660,15336217,0,0,16715424,37027840,303104000,10682368
584241,540251,26068775,21370409,15095756,3,0,18681598,36044800,308674560,0
564065,501835,24363476,21094405,14904504,0,0,17162696,36831232,300417024,1376256
