l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
1944568,769394,3636715446,1545145444,60522791,0,0,41585744,34603008,46071808,0
176798093,42639812,27309834991,16674328193,5820734986,486937,4,53154510,31916032,4063232,0
152844,86115,24106687,19997882,7775769,6,0,17819008,30343168,6684672,1703936
188915,64454,29331326,19599582,7615898,14,0,25408410,27394048,16646144,15990784
176652,57645,29790561,19883163,7815148,155,0,74752808,35586048,61538304,0
198887,68335,29793583,20310668,8144204,3,0,29750134,37289984,48562176,8323072
146800,44907,28527432,19666494,7880805,4,0,52558858,37158912,40960000,0
145368,108905,29841389,19734335,8415044,4,0,39360280,39190528,69730304,0
152502,93738,28932679,19680204,8529848,539,0,28833132,35389440,42926080,1638400
134370,86954,28628803,19576466,8711418,2194,0,20548194,29163520,70123520,589824
99281,7339,40517444,19791425,7685878,141,0,29793597,38666240,113115136,16056320
153796,11736,40152737,19973075,7874296,3,0,57369873,38076416,176422912,0
155214,10736,42314531,20596799,7356999,20,0,82239056,36896768,27131904,0
117776,5384,38508753,19651833,6358953,192,0,47743758,35389440,5701632,0
178536,6384,40248018,19839658,7167119,235,0,22080288,33554432,7602176,2424832
171725,6628,38926965,19571166,7605185,4261,0,26612698,26869760,12124160,0
180529,42710,34596686,19510280,8157228,49,0,48363122,31064064,36438016,3276800
221402,34208,38391195,21814836,7026121,4,0,80685710,35913728,63897600,1572864
189702,47946,31823970,19721812,7039828,4,0,88897549,34406400,30932992,2818048
166068,46620,31687683,19203008,6568773,7,0,23854659,28835840,44433408,29032448
165267,69548,28600258,19669252,6173975,4,0,83540090,36831232,66519040,0
168221,69832,28218521,19508634,5957721,4,0,28047393,37355520,70516736,52559872
579473,274812,97256305,73309498,27673805,139,0,60551113,35782656,126353408,0
322183,173956,89393008,60244255,23498693,162,0,49794812,34078720,49479680,7929856
261315,155618,66371308,42647734,13881944,159,0,26296040,29294592,62193664,13107200
108993,54739,31676151,17582830,4697250,4,0,52451704,36241408,95027200,0
82369,59748,26276016,17360898,5455506,48,0,83509352,38076416,44892160,0
155516,27664,25672894,18031245,6368172,2255,0,41790814,38273024,74317824,3801088
138489,36543,21118611,17782604,7094332,735,0,64620142,31457280,35979264,393216
144451,42209,27656417,18794961,7176868,25,0,37448752,30474240,15728640,0
178135,51960,26222384,19394644,7482942,6,0,62928792,37027840,44040192,26083328
172619,32533,31292858,19982588,6078466,75,0,82174580,36569088,46596096,2424832
157627,4868,38206593,19700073,5432636,93,0,52564072,35127296,47513600,0
174734,22033,33866413,19620600,5735091,170,0,21861644,29229056,25493504,0
184761,42805,33279073,19489276,5112406,423,0,26917988,30801920,10551296,0
722457,110435,165743302,86676805,20432428,623,0,28274436,32899072,15335424,2424832
294663,53088,68055084,36531784,9992492,197,0,105255508,36372480,23527424,29294592
169937,23275,37877616,19973520,6048252,27,0,66178428,34734080,44695552,0
163429,23724,35692808,19224877,5726164,700,0,21313224,28180480,24248320,18546688
175146,35936,38366199,21367174,5772717,1959,0,91747728,35586048,62455808,0
218461,60122,36291899,19832159,4837204,701,0,75677430,37421056,133758976,29818880
232465,106896,32758433,19410951,5413211,85,0,67253405,35258368,58458112,0
205713,99380,33295874,19543005,5579872,5,0,25864867,27459584,37945344,0
159959,151221,33973569,22225600,6269303,431,0,85337449,32309248,7143424,0
129428,89516,31423469,19814102,5791860,888,0,20412355,32440320,1179648,851968
111517,90393,25535006,19539412,6379882,3,0,19924644,32571392,4587520,2818048
123452,65437,24622374,19434365,6651008,152,0,63053018,33619968,6094848,131072
127243,60512,26304046,19714112,6864429,216,0,32561314,33488896,22937600,1310720
137726,60466,21582525,18909436,7230594,82,0,21789806,28246016,44498944,4390912
103625,46297,24992451,19502698,7304076,69,0,59662508,35258368,23265280,0
126385,44807,25087642,19790708,8164213,270,0,77442304,34340864,11010048,0
127851,41397,28590472,19727678,7430249,8,0,35663315,34406400,15138816,9502720
107022,27767,26467938,19498251,7415457,53,0,40586065,33751040,25100288,0
147002,8216,28567060,19604557,7910929,444,0,19129496,32833536,15204352,2555904
137035,56368,30669363,20177874,9428576,41,0,21701392,27066368,26411008,11010048
142850,46691,23889963,19673371,10543023,8,0,43364044,34996224,36110336,0
178034,34270,32806793,19826847,10350636,4,0,22084196,36438016,27918336,1048576
158584,36365,32045498,19612007,10736993,10,0,20699232,37814272,15663104,0
204343,34726,34161861,19944520,10594618,0,0,22821432,36634624,8388608,1376256
176754,42080,33368757,19334723,7638613,33,0,66266364,35127296,4325376,458752
184422,53128,33393943,19310777,5358838,78,0,49806960,32178176,2883584,0
170909,28139,38835849,19611998,4831179,1726,0,18769036,27197440,6553600,851968
167139,31059,35537398,19523920,5372412,652,0,29723570,24707072,5898240,0
158507,6178,39314688,19777430,5556136,215,0,70482866,25231360,2097152,0
164177,4818,38723514,19796504,5447879,337,0,44560194,28049408,5177344,131072
165600,6758,37495724,19690537,5637747,308,0,64508764,36044800,49217536,11468800
164157,4561,43932767,20282939,4907967,276,0,47362486,28573696,39714816,16449536
169014,4176,45043762,21121825,4999668,585,0,48794412,37552128,143589376,40894464
167639,6088,46272361,21605240,5175260,391,1,89770892,36962304,109445120,0
137661,33996,41098409,21204540,4918894,824,0,55949976,36962304,35520512,2424832
168893,44798,37493550,21157093,5886924,15,0,34601588,35651584,29687808,0
143015,47493,36588940,21406033,6536193,3,0,23592268,28704768,51052544,0
144207,48601,31384999,19575360,5686887,15,0,47238840,38141952,44957696,0
155138,91989,28908272,19850820,5676292,410,0,90501942,34078720,7536640,4784128
138335,83183,27901834,19690147,6413213,17,0,71096982,31981568,9699328,0
139834,91618,23766803,19493582,6445806,0,0,19645118,27197440,39583744,7798784
627129,363729,104655753,89730570,33348128,1438,0,25337604,31653888,88145920,35520512
127710,57917,29219643,21084087,7780421,222,0,82580586,36569088,69271552,0
139415,58836,27404181,20748348,7852702,756,0,47942999,35913728,8978432,3801088
208602,104802,31250509,20593685,8648117,347,0,67839772,32374784,9240576,0
248891,111472,29321477,20336470,9050744,293,0,19319889,30015488,7471104,2949120
225661,88660,34262638,20728134,8383475,2,0,31098680,25296896,29360128,0
212964,59719,29999877,20316857,8114325,15,0,64584973,35979264,58916864,19005440
213942,85687,29345535,20483175,8358429,1221,0,62363831,36306944,38076416,0
187352,62565,28939609,20812333,8609145,849,0,36678746,36896768,39649280,1179648
177012,78332,27481381,20622441,7891769,61,0,35298324,35586048,25427968,2031616
166613,99000,26633826,20826198,7900933,0,0,22483214,31326208,59244544,17629184
469243,350738,66138894,63097674,29017176,819,0,47253280,38141952,87752704,0
161068,119014,15301602,20320052,11226413,1,0,28525972,38010880,45154304,0
468841,244176,73827841,63743229,29773784,2109,0,30155288,37355520,21102592,1769472
236051,77692,48594118,29878048,11278893,5,0,18776504,37945344,10354688,0
153431,75352,32770304,21019139,5362050,0,0,19002948,37289984,2883584,8126464
149663,60683,35612409,20264259,5061766,4,0,34461616,37224448,15269888,0
420509,139797,108830831,61959898,18318709,22,0,47159234,31981568,3276800,2424832
474089,199532,105828123,66629421,21611935,2091,0,24958846,27918336,14876672,1572864
756963,410957,94791784,66383429,21247453,2308,0,55343704,29032448,19333120,0
602209,355207,83104032,66246015,22610860,120,0,76109856,29884416,26214400,45613056
166552,72338,29760655,20636026,7049629,47,0,88659946,34471936,56688640,0
206524,39866,37806889,21059531,7549810,579,0,19156232,32964608,16056320,2883584
176909,39176,37166528,21184817,7794922,55,0,59161118,34340864,75104256,39190528
182072,37214,36264043,20882476,7980611,9,0,54580971,37683200,104529920,0
