l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
121994,78192,5256694,21840574,17985636,19684,0,16482044,4849664,42205184,196608
119097,88635,5722734,21865223,18849962,19718,0,15992498,4980736,32571392,8978432
127769,91844,5825812,21593200,18393108,18800,0,15730369,9043968,35782656,13762560
60672,50125,4189331,12902010,10514922,2231,0,15500274,5701632,27787264,10616832
5497,1578,4106872,4715628,2878182,2535,0,18024256,3997696,43778048,0
105378,75399,7269679,21577789,18398226,17724,0,16499244,3932160,28049408,8257536
126936,79606,5313546,21855514,18554318,18274,0,16652452,4063232,45219840,655360
123671,79317,5307029,21861575,18504361,17408,0,14554778,5373952,48693248,0
122273,79670,5297883,21410283,18120577,17110,0,20044048,4587520,25559040,7143424
122529,95003,5541914,21378205,18388872,17613,0,15899340,262144,29097984,1507328
113345,89571,5600898,19952838,17055950,16153,0,17313481,5570560,54394880,4521984
120157,93724,5859619,21205274,18071411,17151,0,16630124,6094848,50855936,0
118117,92826,5871916,21558108,18457449,18054,0,18481152,6488064,39124992,13565952
119957,94558,5982503,22141360,18791773,17823,0,15878159,6553600,61079552,327680
120744,95365,6056522,22122653,18864079,18509,0,15702524,3407872,32309248,0
117879,93190,5876966,21412783,18080525,17493,0,17274586,4980736,41746432,8454144
117174,94338,5962586,21855301,18344930,17808,0,16764452,5439488,51511296,917504
125552,101938,6494696,21288880,17383755,20079,0,16871836,3276800,29491200,0
175372,136037,8549502,20889012,16215906,26028,0,16165960,5636096,47906816,2424832
114979,89646,5976226,21835229,18265761,19235,0,16847909,6422528,49872896,917504
114441,89886,5983276,21974304,18292859,19019,0,16697367,1114112,25755648,0
105456,80917,5909281,19312421,15676835,15065,0,16491900,5242880,48889856,851968
83492,64820,4303249,16135589,13641479,11462,0,16606452,6225920,50135040,262144
80137,62510,4153442,15677093,13268252,11497,0,16088184,589824,26542080,0
81578,63743,4236048,15904243,13377063,11878,0,16256876,5308416,45613056,786432
67852,50033,5017929,12993330,10407467,8111,0,15399376,7012352,49676288,851968
58032,37042,9027852,15003780,11497777,15129,0,15399128,6356992,57606144,0
129179,79314,5417281,21447851,18111016,23014,0,16823270,7340032,50987008,0
128890,83849,5441507,21303864,18067209,22970,0,15952308,5177344,45613056,0
127278,82787,5558171,21372350,18120442,23246,0,19715052,19267584,59834368,3735552
126643,83591,5626258,20965106,17767856,22733,0,17153508,5636096,54853632,0
124271,91855,5921997,21330868,18221638,23380,0,17215832,393216,14811136,4063232
124118,95441,6089708,21431304,18169648,23095,0,13621178,4653056,45154304,327680
121938,92804,5935848,21165414,18045446,22919,0,17285508,9437184,50135040,2162688
122280,92617,5948945,21257532,18037290,22960,0,18574112,3407872,28114944,0
117932,86273,5612578,20816881,17458023,21094,0,15138482,8519680,41156608,3801088
115534,86173,5601341,20651506,17441857,22180,0,16330178,9109504,47316992,1900544
120647,89821,5863059,21480917,18188884,23912,0,16293472,5242880,32636928,0
121359,90052,5866596,22016371,18528580,24054,0,17775284,5373952,42401792,4128768
119656,88137,5749442,21443842,17996142,23281,0,15834654,5963776,49807360,2097152
116543,85069,5621985,20792910,17677279,23078,0,16227376,1703936,30146560,0
121094,85308,5938188,22157333,18633770,24156,0,17975990,4915200,43384832,3145728
119404,83862,5839506,21692249,18250221,23502,0,16014422,5767168,47251456,1245184
114939,81820,5577939,20804289,17500835,21340,0,15533656,2359296,35979264,0
104120,74622,4966151,18724983,15807882,19219,0,15267548,4521984,44433408,1376256
103267,72875,4887691,18471973,15692330,19318,0,17200872,5046272,47710208,851968
102358,73435,4894069,18686611,15895143,19025,0,16338736,851968,35586048,1048576
110262,82239,5530672,21247141,18117843,15488,0,14924966,196608,20643840,8060928
108547,82117,5482290,21309151,18047596,14782,0,16239298,5177344,45613056,0
110295,83900,5624525,21821322,18457883,15343,0,17272816,6094848,45744128,1638400
143710,109124,7374189,21401731,16925563,20317,0,17707670,8192000,44498944,4259840
156942,118555,7967839,21241001,16635523,22188,0,16666382,14483456,72417280,1441792
197720,149183,10086469,21080107,15223601,27652,0,17204208,10813440,51445760,196608
197585,150151,10128566,19768676,13935543,25886,0,16577378,20643840,75628544,0
210861,158711,10758957,20964343,14641102,29082,0,18404690,27394048,74776576,11599872
212920,159298,10762005,21032282,14795024,28674,0,17338364,6881280,67567616,0
212699,159027,10737089,20830826,14614771,29267,0,15013480,458752,13303808,13238272
210807,159209,10840441,21096755,14950409,29548,0,18346831,5373952,53346304,0
217332,163857,11030475,21341572,14980050,29476,0,18108657,4915200,54198272,0
212886,160856,10861617,21041277,14816531,29131,0,16411004,5046272,36306944,9502720
90667,63764,8420007,10318674,6048495,4941,0,18307008,5242880,54394880,0
188300,137338,12852920,21169595,14569902,33672,0,16412872,3342336,36372480,0
222931,162106,10947626,21152835,14981097,35258,0,16016920,10289152,56754176,12648448
221446,160830,10829660,20924819,14729128,34908,0,16475876,7012352,65798144,0
226109,165233,11140857,21575906,15231728,36018,0,15100328,7929856,44040192,9109504
221107,161004,10848705,21053779,15020862,34939,0,17570854,6881280,55574528,6619136
221847,161864,10869209,20952187,14650846,35098,0,18039076,2097152,31260672,0
220496,162646,10984737,21219353,14974771,35179,0,17436896,5832704,59179008,1310720
218074,160304,10820582,20958560,14763648,34803,0,16956034,6488064,60358656,0
215581,160962,10877388,20968553,14726413,34765,0,17045656,7077888,47841280,14221312
222720,161945,11017237,21269463,15014249,35451,0,17086824,3932160,44498944,0
216708,156278,10706621,20721712,14537341,34056,0,15463772,4259840,30277632,0
178415,130989,11043350,18196076,12170161,24398,0,17002260,4128768,26214400,8585216
74871,54480,9599750,11365227,7175952,13440,0,16907340,3735552,39190528,786432
218202,159165,10791197,21120314,14953974,33733,0,17880752,4128768,40173568,327680
217546,157458,10815125,20905385,14741218,33305,0,15829500,131072,17498112,0
217622,158929,10686673,21182455,15010362,33700,0,17549106,3670016,34865152,5046272
220199,159250,10748956,21327639,15064335,33669,0,16725362,13697024,58327040,3407872
219846,160832,10866756,21043476,14783362,33765,0,17018264,1376256,28704768,0
220782,161860,11017245,21040920,14931290,34600,0,16697020,5767168,53018624,2621440
226593,165486,11187563,21471887,15070944,34130,0,16599668,6750208,59113472,0
241458,176714,11971693,21139680,14346491,37188,0,17650372,655360,17235968,2359296
257500,185402,12703417,20946661,13841136,39140,0,16378965,7208960,44302336,0
259925,185265,12779312,21250164,14098555,39396,0,16216228,8060928,46661632,4194304
210584,151818,13950941,19638010,12283753,28822,0,17140392,4718592,30343168,0
214451,155766,12682149,20923616,14231618,36967,0,15232841,5898240,47513600,393216
146035,105169,6980705,21690546,17762852,22317,0,15706202,5701632,50069504,458752
109252,80339,5370381,21658769,18513679,17924,0,16384268,5242880,43581440,262144
109576,80417,5293599,21250047,18239569,17956,0,18399144,5505024,53346304,0
106784,79129,5268719,21314144,18241809,17764,0,16322612,5505024,48889856,0
110006,80659,5326437,21501064,18331304,17931,0,15200432,5505024,43319296,4259840
98247,73487,4918396,19730104,16995032,15947,0,18294012,5177344,49086464,720896
112460,82282,5482789,22050443,18824857,18366,0,16243582,4915200,49741824,458752
109008,79333,5313980,21608649,18461290,17879,0,18855760,6094848,52887552,0
110815,81671,5440701,21684571,18424462,18057,0,17896592,5439488,52559872,0
107970,79810,5303209,21444225,18324848,17728,0,15788910,5570560,46333952,4587520
107110,78896,5319388,21243800,18111524,17839,0,17469004,5570560,49479680,0
109056,79545,5320487,21496553,18535429,17824,0,15469816,5636096,45154304,0
108360,78592,5241352,21345102,18219073,17893,0,15897746,4784128,49086464,1310720
106023,77885,5220513,21066993,17973912,17344,0,17682568,5570560,50200576,3014656
107071,77829,5235840,21288997,18477529,18305,0,17892593,12386304,66781184,1507328
108994,80661,5366510,21627625,18512513,17960,0,16846937,16056320,71892992,0
108401,79376,5338308,21667253,18473505,18166,0,16637378,17367040,66912256,4390912
102408,75629,4991576,19917889,16962762,15505,0,17766152,26148864,59768832,4063232
105825,78503,5249013,21227485,18218220,17579,0,16998432,10747904,82444288,0
110172,80832,5403223,21814507,18576502,18214,0,18021970,589824,41091072,0
106499,77949,5231401,20915452,18087279,17813,0,19069969,6356992,38666240,12189696
71028,51759,5493414,14322147,11253074,8514,0,16066392,5832704,54001664,1769472
61868,47000,8945203,16734815,13153817,13096,0,16806232,6029312,50987008,393216
106449,84840,5294723,19892442,16867538,15829,0,15996215,5898240,53280768,0
118395,90097,5727527,21713702,18331928,17214,0,15609764,4521984,34340864,262144
118460,90242,5731981,21540930,18204779,17050,0,17631592,5111808,53346304,0
120317,89864,5635153,21376809,17985720,17084,0,19657620,4325376,50003968,0
125437,89790,5616957,21611035,18168740,17287,0,43804008,6356992,214564864,15597568
125830,90780,5628394,21669730,18206411,17408,0,80994104,6029312,216465408,0
122128,83852,5745647,21202766,17872332,17107,0,41165816,5963776,57802752,31850496
112335,72321,5332543,20238163,17243502,15162,0,33228568,16187392,102170624,0
125081,82424,5938082,21882598,18510515,17757,0,17565092,458752,35586048,12976128
118384,89756,5716396,21049518,17891098,16595,0,22287703,5570560,87162880,0
123215,94475,5915012,21877986,18497884,17077,0,48314553,6488064,91553792,26476544
119830,93509,5824585,21273656,18027383,16814,0,44855798,1441792,56098816,32571392
187296,147566,9253043,21588259,16549067,25511,0,45037506,4587520,208404480,14286848
200023,153773,9529066,21799612,16238793,27529,0,72508116,6684672,134742016,0
150683,114767,7008317,21156777,17142744,19975,0,18464824,3211264,47644672,1441792
150103,117417,7341207,21099762,16737120,21830,0,19393596,3997696,54394880,0
169312,129183,9230530,20000217,14761187,22581,0,17351468,5701632,47972352,0
106674,82876,5555603,12826692,9632063,15496,0,20277128,6356992,40960000,7798784
99348,77735,5218133,12521040,9569951,14262,0,21348268,5701632,61341696,8585216
68988,54049,4738795,9170849,6633673,8028,0,25847874,8126464,163446784,133890048
32075,22287,7287423,7986852,5133520,9417,0,73737834,21430272,340787200,0
168322,120188,7965014,21464459,16928532,30088,0,46359028,39387136,75235328,11796480
173656,123738,8307088,21530096,16783059,30941,0,17457872,3211264,74055680,69926912
170721,122062,8230755,21571814,16702995,30905,0,59234588,4521984,380764160,0
174196,123777,8264443,21000966,16371408,30560,0,115621136,6619136,237240320,5111808
175306,124599,8371946,21752694,16947055,31273,0,47789848,6619136,62062592,19005440
172266,123371,8320252,21755355,16935513,30846,0,23382862,5505024,79560704,0
170194,123778,8342487,21295917,16347426,30435,0,54437996,4128768,113377280,49545216
171862,122455,8213998,21394363,16699332,30363,0,45445334,10551296,222691328,12582912
170481,120981,8178692,21245022,16501816,30288,0,82094644,5636096,182976512,0
112730,53391,4251056,13413047,10866695,14409,0,43516308,8257536,56688640,0
59904,43376,2859923,10832338,8256215,10540,0,19170784,9764864,134938624,38469632
64269,52994,3386457,11822662,8967523,11369,0,90559608,524288,244121600,0
73960,58277,3809853,12653565,9676215,12280,0,79467964,6094848,181731328,41746432
85452,68778,4481350,14007674,10662003,13964,0,47225486,851968,80805888,0
96975,76206,5056716,15178468,11711258,16264,0,16776990,4456448,43909120,18677760
114020,88428,5839954,16730762,12952532,19185,0,24082224,8847360,190709760,120979456
130088,98009,6519976,17961062,14046675,22621,0,76718885,35454976,360185856,0
144533,106189,7114502,19427871,15116859,25513,0,78451287,4521984,201719808,19005440
150171,107869,8708975,19855376,14971719,24658,0,46170700,3407872,82968576,0
78896,57745,8972842,12813571,8876009,13373,0,18959096,6750208,71565312,11272192
182118,142746,8847156,20825750,15624789,27805,0,37109676,6684672,76480512,43778048
180166,140709,8810633,20755117,15512397,27940,0,49229044,6881280,187629568,23265280
184307,140335,8912462,21150400,15880452,29705,0,59980872,5373952,182386688,0
185187,137115,8785115,21419842,16086562,29756,0,58081408,5439488,158728192,0
186291,137493,8811121,21004543,15653559,29683,0,32780190,5373952,49217536,0
184768,136382,8795162,21232338,16063481,29433,0,25755962,6225920,89980928,35127296
183300,129327,8830477,21224353,16131734,29234,0,48391772,5701632,193003520,0
183914,129827,8861315,20976861,15854564,29291,0,78442160,9568256,226754560,0
186124,130062,8823503,21260884,16259846,29863,0,49316036,5242880,121765888,1835008
221244,133991,8801410,21464033,16343948,29225,0,47733972,5832704,62717952,0
218137,132523,8780337,21174002,16034058,29123,0,21285236,5767168,62324736,84410368
213512,134225,8680959,21207108,16095483,28834,0,54293624,5046272,219348992,0
153577,122717,7803783,17323319,12644315,19453,0,47064582,786432,62980096,30015488
55410,20194,10138620,10914661,7030734,9708,0,50193170,14680064,188022784,0
162497,117856,7839397,21194691,16587111,27131,0,17485920,4587520,41549824,20512768
161845,116993,7915018,20772308,16208600,27136,0,43305682,3276800,155123712,71368704
169285,121312,8205531,21332093,16563157,28057,0,61350172,5701632,257163264,0
171596,123613,8395591,21968495,17088770,28770,0,56835432,7340032,59834368,5963776
167891,120037,8064971,20964358,16299958,27705,0,17477616,3080192,111411200,36175872
164821,119237,8105111,21083907,16421233,27921,0,56225252,8126464,155844608,0
169163,121795,8235805,21366115,16596498,28306,0,20749168,1114112,28639232,3342336
