l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
582069,600827,29338185,20814005,11562945,0,0,15908870,35586048,264372224,5242880
586332,603909,29418330,21117872,11445059,2,0,16673180,37486592,274857984,8192000
573082,599717,29196585,20936568,11427990,1,0,17292776,27590656,176291840,0
576609,587106,28958796,21388863,13055345,2,0,16271848,20119552,56033280,0
580361,591044,28859194,21175361,13917986,2,0,15129000,23527424,52690944,2752512
577062,590253,28851993,20946357,13633436,4,0,16091184,19922944,57933824,1245184
553604,520528,25792325,19734225,14065344,0,0,16255668,23592960,61276160,19791872
610268,548958,26720011,19897910,14268174,0,0,17857188,29097984,140640256,786432
565716,517762,25326208,19988687,14649396,8,0,16435208,28442624,106823680,131072
541762,515508,25591677,19560099,13159845,3,0,15680724,27852800,108003328,655360
517886,525348,26316577,20076220,13236062,0,0,15787664,29884416,106692608,0
523087,516143,25607487,19985605,13429150,0,0,15669324,28573696,104202240,983040
544948,499158,24769149,20217202,13970804,1,0,15845360,38993920,108855296,131072
570562,516476,25231298,21068532,14829743,2,0,15894008,31260672,105644032,0
579958,508192,24852416,20863391,14340708,3,0,16499922,35323904,265945088,2949120
593613,524700,25479821,21273925,14953680,0,0,15797492,41222144,271384576,2490368
571713,518399,25290630,20648198,14392743,2,0,16366008,36306944,280297472,3866624
578213,504207,24699824,20899339,15141370,3,0,16396236,35520512,247988224,0
601057,547313,26722437,21699766,14886704,4,0,16449756,15990784,81199104,0
611547,547710,26616277,21181438,14476769,0,0,16002676,31719424,108003328,88211456
577404,513147,25507190,21267508,14694375,2,0,17890198,37617664,350748672,0
609353,546589,26752650,22150744,15474653,0,0,15300700,35061760,248905728,0
614919,548382,26517882,22069194,15459261,0,0,15703731,34996224,186843136,0
606223,541788,26560230,21497937,14593765,10,0,15433599,35586048,186449920,0
617304,445955,25218158,21753556,11873435,57,0,15700048,34537472,188874752,6094848
556563,318503,19692431,19087040,9862979,0,0,16812844,35323904,187105280,0
349734,286291,13255323,6090038,2432963,9,0,14751804,34013184,202571776,32178176
662413,600213,30919347,21931357,14089432,0,0,15922355,36044800,311754752,10420224
633011,531840,25789895,21091757,14706763,1,0,17687204,37027840,313786368,10289152
595730,481847,25386338,21188280,14808184,1,0,15601508,33423360,235143168,0
599773,511801,24984669,21268732,14727294,1,0,15921178,37879808,304087040,0
590395,513371,24974085,20792833,14413374,2,0,17427922,36634624,318963712,0
572754,511581,25089041,20623408,14450537,3,0,20785496,30867456,356319232,10158080
599649,533895,26258056,21760241,15412002,0,0,18869430,30605312,318308352,25493504
630190,562024,27588798,22062469,15141540,4,0,19198724,38404096,342818816,0
592125,527706,25716875,21732780,15385868,4,0,17215662,34930688,304414720,0
