l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
85140138,10477,6824370960,12483949499,8138886253,60510945,0,14949642,5439488,327680,524288
87002594,10563,6918669683,12652591520,8249693873,61829790,0,16339260,5963776,1376256,0
87245710,11645,7004946016,12823082343,8359905399,61838567,0,15111505,5111808,917504,131072
85864742,10804,6843510000,12534795664,8179290650,60656941,0,18191092,4653056,1114112,65536
85746963,11124,6914092061,12672483486,8266841469,60736766,0,17061488,5111808,1245184,0
87948356,11653,6981252705,12799293370,8345964089,61671105,0,16678231,5111808,1048576,0
86410575,11708,6893091779,12641692046,8239236738,60968971,0,18048612,4587520,1310720,0
86824873,11314,6899752247,12655586620,8258371782,61526568,0,15996684,4063232,458752,131072
86213763,11087,6841835694,12577053710,8212667188,61353060,1,17348382,5177344,851968,0
85813515,11257,6774212376,12436675785,8124990685,60682609,0,17941884,4718592,1572864,0
86265717,11060,6831558649,12545813019,8197551948,61365131,1,16100835,4259840,983040,0
86953324,11259,6844891195,12567347843,8210585587,61613177,0,16841534,4259840,917504,0
87119332,11746,6923287693,12702205863,8294433933,61728014,4,16611128,4259840,1179648,0
87201004,11279,6899293013,12669820531,8276650632,61986759,0,14814342,4915200,1048576,0
87018716,11388,6865739715,12604024482,8232229480,61628217,0,13395512,5963776,786432,0
86788547,11695,6874817082,12619041149,8242459486,61319947,0,14431488,6946816,1114112,0
79343828,10979,6232875612,11445510524,7477457412,55846939,0,13494772,6160384,786432,131072
70056003,8957,5561419600,10215910678,6670609720,49555916,0,13121712,6684672,851968,0
70485270,8860,5549328195,10196001974,6661966484,49827012,0,13747024,6356992,917504,0
69658493,8766,5506616709,10109735657,6601528498,48920063,0,14737144,6488064,851968,131072
70872899,9175,5596304583,10280128292,6714869200,50161752,0,14447740,6029312,786432,131072
69965388,9302,5558332804,10206209621,6666144776,49275490,1,13693600,5898240,917504,0
70745234,9137,5598478492,10272921245,6709727026,49929324,0,13883472,5898240,983040,0
70010589,9267,5548191510,10191511295,6656278151,49426631,3,13460876,4915200,917504,0
72153898,9223,5678989588,10433491773,6817351720,51170616,1,13952320,6422528,983040,0
70744995,9190,5579968518,10246061871,6693140270,49972835,0,14592960,6291456,917504,0
71180637,9115,5614664624,10311605870,6737414696,50457375,0,15485088,5177344,1245184,0
72860994,9405,5767746669,10595151747,6920665550,51498321,0,13612864,1310720,786432,131072
70869150,8995,5607745430,10294449127,6726034480,50380652,0,13558668,1310720,1310720,0
