l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
137109,116595,7881153,20425007,16995509,8909,0,14232328,4718592,33292288,720896
141757,121587,8138813,21233436,15522197,9751,0,14418404,6488064,59047936,720896
143210,121130,8149463,20853099,16097201,7519,0,15211952,7798784,55771136,0
144045,123250,8258986,21313015,16471083,9212,0,16179498,4784128,36634624,0
130058,124530,8367168,21937820,17107178,8802,0,15013032,655360,31784960,4784128
139613,134067,8914200,21000418,16874826,267,0,14284190,9437184,37355520,0
197050,180915,12091813,21394981,14668922,359,0,15198535,7602176,38797312,0
186173,150348,14489542,19667703,12373659,13495,0,15034336,4915200,39780352,0
213048,178764,12153961,20969014,14141440,10958,0,17089476,2949120,41287680,0
201454,184143,12480213,21047723,14763505,334,0,14512492,5701632,44236800,1441792
100139,91685,6059973,21125943,17657101,162,0,15891850,7274496,47251456,3670016
91564,84095,5545872,20922173,17849077,254,0,15538328,10682368,55771136,1966080
70507,67233,6535477,16978131,13503351,367,0,15850716,6029312,51576832,0
62845,41622,8061237,14985415,11649030,12293,0,16324228,5111808,44826624,2949120
113519,84200,5618680,21879686,18584979,18335,0,16201612,7536640,55902208,4325376
117546,85792,5697324,20971963,17688301,18511,0,16510230,7667712,64225280,0
110532,74267,5463069,21212844,18119471,17307,0,16199262,6291456,38141952,5570560
104625,78556,5286271,21182810,18319497,17202,0,15772304,3538944,48562176,0
107580,78914,5278473,21387612,18286487,17338,0,15994838,4980736,45088768,0
105176,77222,5163717,20998356,17990423,16842,0,16122540,1179648,27656192,1900544
105255,77898,5225014,21148787,18201052,17423,0,16346506,8060928,43188224,65536
107138,79064,5276593,21530898,18408085,17503,0,15777440,7471104,44040192,0
106414,78506,5245810,20971236,17798566,17092,0,16534674,5242880,29097984,0
107556,78997,5291754,21246464,18317012,17619,0,16132388,7929856,38273024,3604480
108018,80282,5360307,21712880,18496659,17400,0,15180912,8912896,40042496,3342336
106571,78548,5259774,21132688,18025387,16908,0,16102822,3801088,41484288,0
106642,78257,5203256,20993325,17971115,17080,0,15994936,5701632,35454976,9633792
