l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
967395,18845,21676725600,12553519608,2666306168,379179,0,16267352,262144,0,0
1051066,21923,20917643841,13009063466,3053221242,387285,0,16868446,393216,65536,0
1124201,21352,20830713946,13270982570,3196708149,408936,0,15791530,327680,0,0
1046844,19502,20569817687,12986402865,3115532773,403978,0,15982778,327680,0,0
940629,21501,20024403783,12624668774,3019401496,310300,0,15779092,655360,0,0
951846,20867,20507620639,12927199452,3091770865,317174,1,15816076,655360,0,0
929209,21931,20971946524,13225456532,3164784379,293256,0,16065296,655360,0,0
897771,18512,21326583625,13444465992,3220111606,298898,0,15724264,589824,0,0
881899,17676,20950936701,13211531899,3163256499,301143,0,17171918,524288,0,0
850298,18431,20694359552,13049574273,3123021577,284917,0,16194647,589824,0,0
806434,17597,20638224069,13071493288,3135029660,255538,0,16654216,589824,0,0
814194,17017,20441818192,12880224601,3082689894,261271,0,17122002,655360,0,0
800081,17362,20744279451,13069074783,3126961024,254946,0,16136538,786432,0,0
735771,16176,20781134302,13086712299,3129122891,211842,0,16254376,655360,0,65536
764663,16622,20433440166,12869460226,3077921215,239569,0,13813053,851968,65536,0
767519,17546,20696860267,13034174980,3116753923,264643,0,13870360,327680,0,0
750669,18600,20996617443,13221608459,3160652007,245981,3,14344064,458752,0,0
631914,14987,17041571902,10730819651,2565211673,198878,0,14694356,327680,0,0
616990,15662,17587712575,11086543721,2652977173,159141,0,14792684,327680,0,0
672024,15222,17573849764,11077707024,2649766288,221078,0,14295912,786432,0,0
690438,15093,17637922558,11112671944,2656398816,222031,0,14539020,720896,65536,0
672627,17209,17548619819,11066908472,2647281818,184197,0,14748452,917504,0,0
667233,15649,17560476606,11072260746,2648382082,183137,0,16100556,720896,0,65536
682414,14759,17761078958,11211006643,2681680010,190594,0,14031272,720896,0,0
603433,11755,17233241593,10896082618,2608204874,191270,0,13557092,851968,0,0
632577,13590,17748779459,11221375810,2686338819,193245,1,16174876,589824,0,0
641895,12906,17528394267,11076209375,2651629945,187028,1,14130020,589824,0,0
661848,12359,17665057230,11143501037,2667269414,202701,0,12919092,524288,65536,0
599526,11998,17607756332,11097246293,2654556202,204634,0,11773120,524288,65536,131072
625452,41453,17211175147,10847511719,2594740277,171149,1,13353208,524288,0,196608
627124,72290,15686937584,9888717202,2365586116,178720,7,14178200,589824,131072,65536
610629,75740,15765104510,9938031458,2378163500,184987,1,12980184,524288,196608,196608
658242,66798,16103137961,10149946640,2428457220,186872,1,13039644,524288,65536,131072
649440,69969,16308672358,10275723864,2457674357,182160,8,12189772,589824,196608,0
605961,75179,15901495466,10018175344,2396430933,162285,7,13808256,589824,131072,131072
638098,76554,16348333620,10300846019,2464127008,193139,4,12617213,524288,0,65536
644038,78694,16300592922,10271815145,2456889280,208268,6,13139020,655360,131072,0
638412,72767,16341252836,10298119745,2462212881,201814,4,15744624,393216,65536,65536
621880,74915,16443525048,10364072384,2477563095,163095,6,13149092,524288,65536,65536
619920,77148,16359711695,10308365934,2464162057,199482,8,13891660,655360,0,131072
631532,73664,16161449406,10180953832,2431990971,173859,8,10538492,655360,65536,196608
671168,69199,16591052168,10451508459,2495415048,181572,6,13116932,589824,65536,131072
659283,67860,16351928462,10303484892,2461231037,211684,7,14881856,524288,65536,65536
682485,70613,16233540078,10236756680,2449483744,214155,0,13811595,524288,0,131072
692806,71564,16309848598,10284421431,2461035805,235851,4,13310448,524288,65536,0
686406,70725,16508351196,10410132794,2491128468,217814,1,14953300,262144,65536,0
638180,69609,16415145460,10336114140,2466487030,180989,4,13949010,327680,65536,0
670220,70857,16349962513,10300600040,2459643502,198194,6,10832515,196608,262144,0
687115,68329,16338479558,10297415294,2459264830,192187,0,16150964,393216,0,65536
673638,71715,16440663523,10372005459,2480925311,154873,4,14084480,327680,196608,65536
696528,71645,16240532396,10245502516,2451442947,170191,7,13759544,327680,131072,0
692480,68153,16359828244,10323372880,2470890163,174707,7,12927696,327680,65536,131072
680690,69346,16644997329,10499711705,2511151746,168889,0,13633848,655360,196608,65536
674138,65293,16605823975,10464181102,2499298347,186512,0,13258224,655360,196608,0
594614,68061,16569432191,10432062764,2491303707,153771,6,12665663,524288,262144,0
609794,63582,16523110735,10405845754,2485353620,184444,8,13191092,589824,0,196608
595765,64097,16310674967,10276503053,2455363631,194972,3,13488772,524288,262144,65536
564355,65401,16458201073,10372649309,2478525896,160162,14,14596318,655360,196608,0
591868,61847,16081241225,10134062761,2421128521,183137,12,15848880,589824,0,0
594713,69686,16332072375,10285054045,2455742732,162065,13,14248088,458752,0,0
602546,45086,16744589394,10547319535,2517959233,170236,10,13011676,458752,0,65536
590845,18073,16735748019,10539567891,2514679829,200773,4,14610788,458752,0,0
608679,17006,16162854561,10191604799,2437605783,243868,3,13089180,524288,0,0
588217,16853,15580210783,9822629351,2349427654,208954,3,10938544,655360,0,0
578845,14894,15877227536,10001657701,2389610838,202355,7,13251972,655360,0,0
23749744,29788,13330608726,9191864803,2531699967,21879516,11,12711232,786432,0,0
47173540,37294,10389047233,8224556112,2665525923,44100522,1,14721256,786432,0,0
39045257,38941,13054842534,8809328308,2435224428,36005864,1,9115052,786432,0,0
48549937,34544,12063097973,8050075976,2266540628,44942106,1,8673144,786432,0,0
35827573,15813,8919895038,5944400895,1670087313,33107039,1,9280196,786432,0,0
30046665,11324,7489622374,4992585450,1401771652,27855548,0,8946560,786432,0,0
29939918,10647,5943600759,4345904498,1342850644,27120858,0,9260172,786432,0,0
84615,167,21271855,15495060,2434323,71149,0,8959388,1048576,0,0
23387444,15063,3608348808,2947294993,1018105088,19971436,0,9100400,1048576,0,0
64981,62,21012507,15373735,4701607,67022,0,9375072,983040,0,65536
70920,80,21347313,15348506,4691221,67519,0,8588080,1048576,65536,0
72430,40,13991586,11084329,4677682,73435,0,9216076,1048576,65536,0
70019,41,12511934,10193998,4777937,80671,0,9940184,1048576,0,0
67583,29,12390554,10177129,4730274,73971,0,9887352,983040,0,0
60864,43,8773669,9726970,3577824,80173,0,9840388,983040,0,0
64715,21,2630353,9826038,3325965,76282,0,10006604,983040,65536,0
63942,46,2577396,9746003,3453934,76067,0,10031708,983040,0,0
76994,49,2773300,8671719,3399230,73792,0,10493864,983040,0,0
94962,33,2640460,4292395,3489149,69500,0,10043480,983040,0,0
82442,45,2521075,4246992,3341864,62872,0,9768016,983040,0,0
83587,50,2829786,4460091,3351693,64468,0,10188904,983040,65536,0
88026,0,3177231,4822427,2260843,68287,0,9080216,983040,0,0
98909,63,21992921,10299121,2231873,56578,0,9931364,983040,0,0
90589,57,21521323,10028522,2228653,57456,0,10001532,983040,0,0
90407,79,21484483,10146920,2294631,58233,0,9802688,983040,0,0
76016,76,20903640,14390826,3352660,52978,0,9575784,983040,65536,0
83192,43,21406308,15651750,3496711,50760,0,9753124,983040,0,65536
81856,94,21584209,15502502,3578312,61779,0,9952096,1048576,65536,0
69155,102,20361409,14855606,4093951,61600,0,10018784,1048576,0,0
62545,55,21635376,15568405,4723555,63933,0,10242124,1048576,0,0
72119,57,20942339,15140608,4646780,68087,0,9951416,983040,65536,0
73814,58,14525659,11433223,4743020,73685,0,9877624,983040,0,65536
78789,27,12792093,10419379,4850898,81215,0,9806920,917504,65536,0
73812,51,12262116,10207763,4814321,83440,0,9822992,917504,0,0
66587,53,9461432,9914725,3809823,71592,0,9769832,917504,0,0
70474,59,2679290,10017092,3440099,77940,0,9980240,917504,0,0
69170,54,2716826,9950748,3403214,74295,0,10160072,983040,65536,65536
73809,33,2729059,8808568,3367435,66303,0,9620504,983040,65536,0
87637,43,2849534,4582682,3544766,68824,0,11211328,983040,0,0
89719,37,2611063,4311097,3469992,66708,0,10048832,917504,0,0
86337,32,2533665,4311455,3407864,64938,0,10069244,917504,0,0
86524,463,3851687,5323106,2309259,67648,0,7846200,917504,0,0
87687,85,21750401,10277604,2319889,57546,0,9577664,917504,0,0
82970,24,21549827,10051606,2165603,53220,0,10031300,917504,0,0
92750,67,20929700,9944258,2262897,58442,0,9753795,917504,0,0
82686,73,21787042,15273095,3500952,60452,0,11083285,917504,0,0
76622,44,21345008,15423735,3400420,47986,0,9608468,917504,0,0
79370,60,21404105,15465831,3504079,55557,0,9540028,917504,0,0
78202,61,21118391,15248616,4344307,66896,0,9977348,917504,0,0
71384,43,20375783,14755360,4492792,63246,0,9593140,917504,0,0
72420,45,21352007,15530505,4749513,68297,0,9355948,917504,0,0
