l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
1855537,668582,3606524641,1524681709,55667887,1,0,88920748,41091072,72089600,0
204398072,46531482,30714573820,17639746700,5577448568,394342,4,50245123,40894464,32571392,4128768
633348,102169,93467964,65858870,22320066,2133,0,102567833,40894464,26279936,0
414988,88238,56343824,36713676,13395422,588,0,55880016,40894464,14024704,0
1029903,337434,150793753,95748146,38592937,2144,0,52886758,40894464,7733248,2752512
203750,62736,29068953,20114769,7822305,0,0,37426066,40828928,19529728,0
138254,82328,28153692,20941989,7136784,1,0,32987911,40828928,3670016,22675456
170457,66715,30913439,20465289,7439331,0,0,57026483,34209792,61079552,0
181558,55905,31267925,20366758,8115127,324,0,48720590,35323904,14155776,0
115913,74644,30021905,20180476,8078360,8,0,17866292,36896768,17301504,9306112
122516,79053,32163273,20661065,6976078,1,0,31477976,40435712,50003968,0
141596,68099,32818516,20565201,7084995,1,0,19539788,40632320,18874368,0
159360,23391,34519483,20025147,5836462,4,0,18743416,40960000,46465024,40632320
166207,15095,37279203,20102655,4581091,11,0,106210130,40960000,69271552,0
115682,4043,36399646,19600408,4822876,3,0,21525400,40960000,6553600,4718592
139475,17880,34827349,20264442,5271995,8,0,23241006,41025536,24444928,0
143959,37871,34032390,20324271,5370706,29,0,52008292,40828928,3407872,3538944
136676,38395,30126401,19843243,4499286,93,0,52683332,40828928,14680064,0
186358,37535,29985321,19555969,5522408,1420,0,56297518,40894464,14024704,5439488
232468,59954,32830130,20257228,6365172,3704,0,71043988,40632320,6750208,0
238417,60898,30877263,20394486,6532919,2956,0,22027314,40632320,720896,0
230532,56749,29982180,19723514,6473467,2077,0,33219616,40828928,21889024,5439488
199823,69111,28143129,20309855,8286938,2012,0,89334910,40828928,7405568,0
201047,73752,31449173,20490406,7695671,2485,0,25541194,40828928,8912896,131072
171275,65694,28912610,20150500,7097988,130,0,59236322,40828928,1769472,2424832
198360,52392,34084502,20380112,6508210,110,0,22116064,40828928,5636096,65536
199406,41224,33365571,20739926,7011451,1144,0,29714018,40763392,19202048,9043968
199083,45703,30642148,20180675,6803401,142,0,124284660,40828928,13565952,0
149226,47505,29431636,19760185,6897381,265,0,23378481,40632320,2621440,1310720
485958,145724,103658930,64827012,21909266,983,0,17932552,40632320,2949120,0
125137,26914,33590380,20933302,6751561,408,0,18191000,40632320,5898240,1048576
149910,30004,32005313,20247214,6077167,33,0,42719504,40763392,8257536,0
140229,38727,29117464,19885132,6108316,24,0,29764359,40763392,458752,393216
722292,50539,198499440,111346929,32105162,1985,0,21082480,40763392,13303808,8585216
483834,62024,108206906,65523469,21302606,386,0,21163988,40763392,16580608,393216
497685,47925,121744462,66735079,22000961,495,0,21333538,40894464,26345472,458752
636521,152993,122126592,65947446,17131077,889,0,26399780,40763392,36372480,0
207704,68306,34834659,20151072,5762785,1138,0,20306236,40894464,21823488,0
812604,444356,163560191,112176248,32555268,3907,0,28527216,40960000,16384000,851968
330394,178971,95911168,66058808,20360693,1148,0,21767982,40960000,32243712,6488064
645071,172823,81524996,66067114,27528984,519,0,21611720,41025536,46071808,0
222457,63855,24425152,20289184,8798082,5790,0,41652932,41025536,17104896,0
195098,83201,27304972,20761857,10224928,10168,0,20376340,41025536,25755648,1376256
201245,110327,22970636,20951014,11105810,244,0,51486506,40960000,11862016,0
580949,299123,85963222,70023214,35744058,9,0,19223838,40960000,655360,327680
538522,287167,83222328,66172043,28983928,200,0,32102196,40960000,1507328,2686976
550322,161439,107710706,66224625,25454994,3237,0,33508308,40960000,11862016,0
408266,109856,87470163,51849699,18490789,155,0,21823932,40894464,5439488,4980736
150051,41740,35075121,20450351,5626183,5,0,45080816,40894464,10813440,0
155777,64363,33118634,20587989,5864472,4,0,21776232,40894464,4915200,720896
139430,78904,32112009,21082689,6104469,4,0,20392556,40894464,2949120,0
630977,341826,121222227,84678699,26600901,224,0,23833724,40894464,1638400,0
491583,297262,56948265,64830896,26456708,108,0,21480972,40894464,1966080,0
518638,294020,65081862,65042463,38365479,66,0,34122450,40894464,262144,0
176751,61358,25952764,21118467,12860852,69,0,20988676,40894464,5570560,3145728
161916,25861,32304287,21292018,11267504,189,0,29598906,40697856,3407872,0
152255,25510,34575139,21732576,10615774,27,0,15867632,40697856,6684672,0
136687,23424,40704751,20431782,7926472,487,0,20961236,40697856,327680,655360
148646,14420,39282376,20869118,6425648,157,0,20808538,40697856,2621440,0
569057,331863,146190704,92216509,30567930,113,0,20630732,40697856,6356992,2883584
535207,194886,107427826,65795875,22187717,3074,0,31909738,40501248,5832704,0
632626,49280,133992250,65915340,19629937,1196,0,27728272,40501248,458752,1179648
296167,22223,52220222,25618523,6349477,527,0,23805076,40501248,7602176,2097152
272151,30577,45641297,21405055,4948316,408,0,22681452,40566784,4521984,0
286335,30499,43147538,20400596,4530398,1,0,19270552,40763392,4587520,2686976
1378611,338168,237072252,135872956,35615292,534,0,65186092,40894464,4784128,0
624628,231223,87570974,65670399,20697831,226,0,33927338,40828928,0,1245184
382821,179275,66354459,45294594,15682874,27,0,19911132,40828928,3670016,0
170077,85479,33688977,20215351,7080619,5,0,22881660,40828928,2162688,0
168301,73472,29396977,19820776,7218819,9,0,21112428,40828928,0,8126464
979065,137196,217859916,108872697,27114146,394,0,63853010,40828928,25493504,0
591751,162024,121715437,66418482,15062830,563,0,29234810,40828928,655360,0
635263,225862,101722354,66525943,18699124,367,0,24936188,40828928,4521984,851968
371870,119645,64475483,41690773,11658239,50,0,52616842,40894464,4718592,3670016
192904,42418,32586425,21126673,6142254,5,0,22329072,40894464,8126464,0
173750,46873,30888998,20129516,5868834,3,0,38015062,40894464,983040,196608
174968,37936,33987824,20372315,6100782,391,0,80793114,40894464,983040,6750208
263415,51609,45728708,29370309,9217901,15,0,63302108,40960000,9699328,0
465990,75968,104815441,66639368,22895631,1108,0,70162282,41025536,3801088,0
520056,138607,103800004,66482068,27714953,1295,0,22358692,41025536,917504,0
694372,153224,93932623,66436658,26222339,160,1,18595220,41025536,0,0
705142,34686,125458244,66639518,19029082,3371,0,19565028,41025536,0,0
734275,137249,116444154,66530133,21805758,543,0,40345384,41025536,1507328,65536
205757,52894,38407036,20923712,6851128,217,0,38928818,40763392,196608,2883584
184415,87719,31431067,20942200,6353845,586,0,89401148,40763392,19726336,19660800
196669,63325,36530108,20637436,5444434,11,0,34816600,41025536,42008576,0
575605,246873,107775998,70224650,20102265,1004,0,47903564,41025536,34340864,0
433573,150201,110387932,66504833,21367064,827,0,18962716,41025536,25296896,0
369716,105763,97412876,66352836,27490738,1130,0,24547508,41025536,25296896,0
543436,137811,89441731,66195677,28819483,714,0,26627726,41025536,9764864,0
593999,195949,94557592,66371374,22873665,1522,0,21628942,41091072,2293760,0
162391,47565,32105651,20592184,5780313,1863,0,34678496,41025536,2490368,9109504
176020,34964,35729534,20678653,7453875,754,0,67869416,41025536,18087936,0
168332,32609,31541675,20483797,7177077,1152,0,31735496,40960000,65536,131072
164714,31621,35108961,20135098,6997951,534,0,34388964,40828928,29425664,11730944
783640,175910,194107661,117138703,36533453,4740,0,24823104,40894464,19005440,0
534848,248033,106132156,65726166,22688365,1782,0,20018444,40894464,18939904,131072
507266,209075,90686594,66172505,21571977,257,0,35298124,41025536,13041664,1441792
538616,240873,77582075,65324432,23646014,1179,1,29077415,40960000,15597568,1048576
214710,88768,20256242,20234015,8401261,1,0,20701829,41025536,13238272,262144
201223,24863,32396307,20539121,8773586,5,0,21107868,40894464,12779520,2686976
448994,43783,77879620,47634902,20178016,779,0,20702716,41025536,24969216,1572864
988978,415815,153869652,110272798,46919226,3407,0,20671066,41025536,12124160,0
542070,260226,88618933,65476976,27904934,780,0,17118112,41025536,1114112,0
445642,268515,86606806,65286463,27618431,15,0,21304024,41025536,1179648,262144
