l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
2850655,65075,1537146015,710642189,79709734,333361,0,845660392,8388608,47251456,524288
2604469,180050,1274035923,520633669,45719648,284125,0,105088848,11534336,12910592,0
3348377,46121,1589634342,722046731,77194043,351141,0,105581984,9371648,1048576,0
2934501,74291,1159851674,536472497,55000640,228267,0,105181276,9895936,10223616,1179648
3673287,137150,1573152608,682671539,71292038,376109,0,105613996,10354688,4325376,0
3920081,48146,1520620300,694214812,70039093,347109,3,105181916,7274496,5767168,65536
2700008,123273,1341789862,559202787,54200703,287129,0,106012464,12910592,12255232,131072
2884056,65442,1544671421,711094215,78637639,370051,0,104783232,7733248,3538944,589824
3003097,151635,1260143849,528462113,51201588,281200,0,104902919,11993088,13893632,0
4235243,51079,1606187074,737345190,76411911,371482,0,105150669,10420224,393216,0
2781942,223430,1335946339,535159637,53724313,280842,0,105285852,14745600,8978432,0
2398271,36705,1514820530,692690341,75414964,331188,0,105303960,14614528,65536,0
1886558,157280,1341368260,530714479,45187937,320893,0,105168885,19660800,8912896,0
3364631,48160,1601347884,744753930,79478078,397814,0,105280473,19529728,262144,0
2919441,150714,1238557513,552922150,56665473,338887,0,105201699,20185088,3932160,720896
2289234,124237,1521506953,669686857,71857621,397347,0,105278589,24969216,8388608,0
2277571,24345,1551637089,704118609,69896395,367709,0,105112569,25231360,1507328,917504
2370107,186387,1312858738,564623473,51502077,316812,0,105261396,28573696,8323072,0
2511550,54347,1485494393,697868625,74513305,385906,0,105269235,27983872,262144,0
2644643,173336,1237868948,525106412,49570858,318769,0,105270651,30015488,9699328,0
2951651,54663,1636764988,745947844,76828691,363534,0,105302847,29491200,65536,0
2461463,152859,1242723563,536029875,50162063,284721,0,105280425,30998528,9306112,65536
2536612,65089,1523742559,708932587,80310355,357699,0,105272331,30605312,131072,0
2223632,162964,1277508215,528362326,44611105,286812,0,105288681,31719424,6684672,131072
3720770,63281,1588349688,736870692,80531245,417448,0,105246831,31588352,327680,0
2707212,50911,1214210677,558397642,57156767,249856,0,105038805,31326208,1179648,1179648
4332536,102531,1508020241,668624453,71834013,374445,0,105343305,31653888,10158080,0
5092113,63685,1538490981,705289808,71862281,388555,0,105376332,30932992,851968,0
1710393,101168,1357998402,575158182,55245820,309523,0,105080526,31850496,9699328,65536
2056391,45693,1553737151,716110959,77068933,382091,0,105409017,31522816,131072,0
2451446,137779,1253757424,534058891,50513784,296193,0,105704283,32178176,13500416,65536
3506157,43579,1518225425,719796964,76317314,405154,0,105135255,31850496,196608,0
2896274,214194,1244627461,535907169,52653387,332046,1,105726558,32440320,12058624,0
2938307,40536,1560409465,713464960,77636304,378959,0,104142765,32178176,131072,0
3133526,209028,1309895674,560794607,55148987,336197,0,105378207,32702464,8454144,0
3695144,66325,1552899046,720850381,79981682,381903,0,105324852,32309248,196608,0
3184938,113793,1253111457,531128632,49649100,309645,0,105331515,33357824,8978432,0
4117352,66580,1523876837,714844282,77278893,360917,0,105209790,33161216,131072,0
3184966,53127,1254001018,535535360,50272688,312829,0,105129033,32833536,7995392,65536
3299452,59543,1487846653,701418956,81551667,443431,0,105167220,32243712,327680,65536
2725651,60493,1321342014,547513714,48066795,316814,0,105417309,32178176,9175040,0
2791042,47853,1518674053,699577234,75405426,412571,0,105465240,31326208,655360,0
2209836,145074,1266406640,571982063,59499473,276200,0,105094950,31457280,3145728,458752
2970939,90380,1498772735,660075293,68474157,382240,0,105008121,31522816,5636096,0
3193645,63973,1507953220,688776115,70606572,358296,0,105308511,31129600,1376256,65536
2309041,190678,1395126158,580041680,52242830,319385,0,104980350,31129600,8126464,0
2682032,58376,1512811419,703889491,76856695,426043,0,105643863,22216704,4521984,131072
2358808,205540,1260090529,525188153,50018065,281204,0,105031752,23003136,9830400,0
3052071,37027,1499138032,702102486,76298766,322143,0,105294582,22937600,65536,0
2704633,182049,1365199128,555358399,47652139,351829,0,105329334,25034752,9240576,0
3022857,50972,1541732616,719823055,81194398,391987,0,105065856,20709376,1966080,262144
2437267,171595,1250529820,524308886,50926244,304673,0,105285408,21299200,11927552,0
3175285,55569,1515793915,702598289,78334219,382513,0,105393480,3014656,11599872,65536
2497704,164713,1285162542,527361578,46087254,303385,0,105380181,12517376,14548992,0
2609876,51173,1588298545,734397998,76458761,402296,0,105515073,5898240,4456448,0
2201519,115155,1178649286,532009300,53694553,295058,1,105263670,9633792,11403264,851968
2778581,74255,1621279600,714843076,75233771,402904,0,105376080,8847360,6291456,0
2709630,104923,1372606542,617406122,65112821,379243,0,105080676,4194304,7077888,393216
2557053,183270,1409889420,605460464,59926498,355627,0,105383703,6684672,16056320,0
2910860,57469,1594940715,738438470,77596999,415545,0,105139875,2621440,3538944,0
3126381,218584,1274797706,533931808,53265929,284660,0,105470751,8126464,13959168,196608
3999809,84295,1499353629,706731289,82563338,431347,0,105335088,2752512,4128768,0
2978828,214384,1235077325,525132557,49771976,271528,0,105443232,8847360,18350080,327680
5445788,36416,1551014060,717742866,74235184,399758,0,105287610,2359296,4915200,0
2839652,193163,1274329950,548074650,56126403,333479,0,105385974,11730944,13828096,0
2297847,37921,1507405672,699731715,77982905,364371,0,105326577,4980736,4718592,131072
2062967,106185,1193401656,509091697,48483882,317467,0,105394887,12320768,15400960,0
3025887,58986,1517155298,716808947,76990947,354152,0,105431727,3735552,6946816,196608
2665846,233949,1305027112,538428160,49089790,297406,0,105417306,12845056,16646144,196608
3111657,133245,1584047319,714130077,78252013,369334,0,105389697,7143424,7929856,393216
2344180,73552,1238749317,564264669,58192710,270378,0,105327339,4915200,8847360,1703936
3026486,205802,1478324471,662987847,70079684,365077,0,105352173,9043968,15204352,0
3395903,66638,1479296865,669203939,68685203,389730,0,105314988,4063232,6422528,0
3519136,184421,1372031960,595986441,57593643,315752,0,105416868,4259840,15138816,196608
4446946,49429,1527253362,713929067,79628948,356590,0,105376497,2162688,2031616,0
2789185,287231,1232973244,521085535,52167309,271282,0,105401142,10289152,15532032,0
3168485,37697,1500865041,698901587,76271410,353694,0,105372558,4259840,3866624,65536
2868380,299142,1305778510,537163158,48041013,293345,0,105164274,10813440,15007744,458752
2332191,40835,1576427505,729202382,81236687,362913,0,105470811,2621440,5767168,0
2571188,273064,1248771311,533451746,56677961,283988,0,105417564,11534336,15532032,0
4464266,71601,1468353018,697471322,79475689,378354,0,105396309,2949120,5636096,0
3183344,85847,1195151239,537414069,57846899,299151,0,105464649,12976128,13959168,65536
2624715,55533,1570059451,714457059,73822005,391412,0,105391327,6946816,3604480,65536
2270040,59352,1247353663,553764461,57943843,303709,0,105370328,10551296,12386304,458752
5056790,79208,1590907442,726620900,81524350,424747,0,105304521,4784128,6160384,0
4561388,156689,1319626863,607515395,61561201,323974,0,105151083,4784128,5177344,393216
2230440,208910,1412881018,609512711,62823788,360971,0,105416844,6422528,20709376,0
2431082,55919,1619168838,741650257,82797331,401357,0,105325674,2424832,2818048,0
2142818,197419,1219633356,518788639,47722807,272458,0,105404145,10485760,15007744,131072
2617606,76613,1506393832,705752807,75246161,363253,0,105352092,3014656,5570560,0
2163468,160999,1256451726,519749040,46153139,265210,1,105381141,6946816,19333120,196608
2972195,59503,1597880758,748678403,81523813,431296,0,105351372,3014656,3735552,0
2304072,81812,1185860721,528589733,49835914,324522,0,105350445,13697024,15269888,131072
2810375,60171,1521925730,704169544,75982339,383717,0,105388482,5373952,5308416,0
2014309,92679,1222677339,528588405,47036025,293244,0,105401538,13959168,15335424,196608
2715889,45861,1629624650,746499461,75727561,421304,0,105386682,4063232,7274496,0
1970089,180090,1146619019,527503219,54107775,290227,0,105274641,7143424,9043968,1310720
2765906,190064,1572449055,687711252,70036230,401665,0,105388731,12845056,7995392,0
2716658,53131,1459757040,663645505,68569187,368449,0,105264555,14024704,3801088,393216
3733554,237984,1369582660,579986579,55607001,319376,0,105368142,15532032,8912896,0
4811494,34999,1521726645,706334747,77532794,363386,0,105433395,14745600,589824,0
2341852,225435,1278257024,527093923,51156530,299160,0,105353103,16318464,15400960,65536
2427400,35759,1532112017,705104476,75536773,434435,0,105460281,16187392,65536,0
2935707,190904,1370300673,558580617,49854307,314950,0,105388368,16973824,11141120,0
3337336,37800,1560587893,723105390,78332704,403821,0,105414381,16973824,0,0
2774929,166332,1211283588,511504083,49157638,270068,0,105327978,17825792,16384000,65536
3020141,66654,1499314907,706403151,77706129,359786,0,105393813,13959168,2621440,0
2581443,121072,1228558918,533754513,51273902,296930,0,105345516,15138816,15400960,0
3704054,62540,1576752875,720472247,74456249,380498,0,105322185,15073280,196608,0
3041647,116312,1185190867,535703173,55524303,278980,0,105320400,16056320,9240576,327680
5625077,142030,1603104231,725618684,80949426,494068,0,105388308,15859712,655360,0
4849649,48643,1247370541,578190001,63685284,345750,0,105363024,16056320,2686976,1048576
