l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
670347,178265,97260781,100818933,47270092,0,0,823005236,26804224,112263168,0
674907,182848,95985607,101302363,48591701,0,0,104613108,23592960,24313856,524288
667530,205851,92562939,101286242,49926436,0,0,105507180,24838144,17039360,131072
683764,195953,93093400,101216772,49737091,0,0,106079892,26279936,21626880,327680
677151,216328,90325411,101524795,51395014,0,0,104365796,23724032,20185088,0
688875,208298,90505924,101344869,50945772,0,0,105780700,29818880,18939904,0
685799,216824,89273790,101568455,52049255,0,0,104960192,22544384,22740992,131072
692474,219673,89096734,101648895,52078337,0,0,105049080,27852800,16121856,65536
989272,430765,95722303,125913390,73390833,0,0,104830485,20250624,29884416,0
1065713,383829,100334378,129997096,74235854,0,0,105084009,20250624,33161216,262144
1079990,348083,103045705,125669248,69074799,0,0,105043632,30801920,26279936,0
1103776,330955,107909526,131025019,71247191,0,0,105116571,24313856,33226752,262144
1078124,344521,102381295,125603081,68764512,0,0,105101847,29818880,27131904,0
1091716,347969,101288406,126015698,69659590,0,0,105088176,20905984,31719424,655360
1051637,389568,97469602,125730958,71851087,0,0,105084909,25427968,34996224,0
1087494,357471,100771512,125659379,69934000,0,0,105050913,29032448,28704768,131072
981655,383251,98656786,122768351,66281495,0,0,105069441,30474240,42663936,0
1087559,361132,99995744,125714210,70398547,0,0,105037809,32768000,28049408,65536
1104645,390379,99306753,129315741,72773257,0,0,105084798,21102592,37879808,131072
1076942,387946,97412203,126009594,72419853,0,0,105088194,26148864,32571392,0
1107468,382897,97345021,126324082,74197027,0,0,105069639,24576000,35651584,0
1103817,377029,98692709,126338291,72030683,0,0,105128574,31981568,30408704,0
1109143,379982,98040951,125811279,72501247,0,0,105147642,19726336,34734080,0
1087904,401067,95693184,126161706,73414768,0,0,105045663,19791872,32309248,131072
1063996,421621,93429734,126268478,74788073,0,0,105198030,15990784,35454976,262144
1085977,416630,94311958,127046141,74975870,0,0,105122427,29491200,29687808,0
959375,394630,96075316,127962498,73037488,0,0,105125025,26542080,42860544,393216
1087809,404365,93590753,126026577,74086662,0,0,105069396,28246016,27328512,131072
1123662,385433,95649302,126300733,73489502,0,0,105140595,25821184,33751040,0
1085350,431619,90968573,126232279,76048952,0,0,105145044,24969216,40435712,327680
1115631,405361,93684348,126350890,74591807,0,0,105116985,30670848,30932992,0
1125672,410470,94067593,129278384,77540420,0,0,105416292,27394048,35913728,0
1132885,391283,93880191,126170535,74286980,0,0,104747349,33226752,29687808,0
1151430,416392,94480893,130637191,76800764,0,0,105871812,23134208,40042496,524288
1044028,416360,88137739,123657734,75529966,0,0,104829507,22675456,31457280,0
918363,372416,75365007,97563772,55912652,0,0,104864450,17367040,29949952,0
786103,334060,68798951,90470684,55588185,0,0,105098317,30605312,36044800,0
940694,365015,76214488,97498262,55370455,0,0,105178471,23986176,26804224,65536
946415,349979,77072514,97396617,54921295,0,0,105355820,30081024,28180480,524288
955433,339240,77720074,97303896,54291062,0,0,105738977,24576000,32178176,0
939678,370156,75334026,97522050,55892488,0,0,104273890,23199744,28835840,0
1067612,422168,85786159,122853497,77312582,0,0,105224877,21037056,37617664,851968
1111894,447724,87469003,126533179,78095803,0,0,104986896,27197440,32833536,0
1149406,411117,90954302,126630524,76441302,0,0,105075681,31326208,30212096,0
1139467,428589,89835557,128363354,78393330,0,0,105377202,27656192,32899072,327680
1155121,413066,90226838,126596219,76469984,0,0,104611641,34406400,31129600,0
986888,371948,76807984,113853167,72658009,0,0,105394158,25559040,49676288,589824
1127669,444179,87298890,126733526,78701927,0,0,104838453,29491200,29097984,0
1171858,436144,89108315,130417019,80141550,0,0,105519858,25034752,40108032,0
1165336,427016,88193639,126844384,77700169,0,0,104843874,33095680,31522816,458752
1177462,420251,89020711,128765223,79342471,0,0,105048720,22806528,36765696,65536
1145778,450079,85676930,126923804,79147914,0,0,105930570,21692416,31391744,327680
1158477,466734,86239722,130581961,81149112,0,0,104433630,21037056,34865152,0
1135313,454763,85141173,126991915,79659499,0,0,105037875,22675456,34275328,393216
1144885,453943,85115854,126855368,79351089,0,0,105254091,22544384,39256064,0
1142251,455726,84579525,127096750,79809473,0,0,104919570,20709376,38010880,196608
1101280,391931,72100550,112436484,71069208,0,0,105073419,16121856,49086464,0
1102343,494062,79814781,127035815,82484673,0,0,105089229,13828096,39124992,0
1137479,478966,82114483,127058205,81328204,0,0,105237048,19398656,35192832,196608
1169295,470699,83015943,127730157,82471512,0,0,104889732,19333120,39518208,196608
1146775,472172,82636443,127022915,80907044,0,0,105336132,19857408,36503552,393216
1137879,480399,82089241,129277985,82955181,0,0,105093291,16908288,44302336,458752
1119498,506697,79182674,127150723,82775418,0,0,104996538,18939904,38797312,0
1150161,475607,81544006,129570735,83506505,0,0,105332040,19791872,35520512,327680
1152890,473954,81902981,127311298,81484875,0,0,104827866,20905984,36634624,0
1164559,481953,83079113,131855865,85756527,0,0,105456585,20709376,34471936,131072
1148463,458222,75944719,120517303,77583219,0,0,104981715,20316160,48234496,917504
1153662,493749,73668226,120510865,77944058,0,0,104982063,20774912,36372480,0
1154984,476362,81231754,127200398,81725909,0,0,105224100,20709376,35389440,0
1161903,475581,81131685,127138641,81774493,0,0,105277707,21168128,38404096,0
1152971,487356,79733353,127401035,82361995,0,0,104931720,16711680,38797312,393216
1157836,482338,80162697,127267885,82359517,0,0,105169548,20971520,34930688,0
1175783,480127,80546434,127387341,83224599,0,0,105136422,20709376,34275328,0
1166348,479458,80349743,127104709,82027313,0,0,105167211,20905984,42336256,131072
1175532,481192,81020090,129411937,85215548,0,0,105086079,17235968,37224448,0
