l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
27586214,20459246,1722654468,813563051,138264463,1319,0,1144585300,35979264,16415391744,2949120
16672636,12439026,847911587,532132879,259074136,1012,1,104720232,37421056,1300627456,18087936
21176293,18511499,917425839,766729102,526573776,288,0,106002240,38535168,2169765888,0
23013823,20440768,1138358153,837749143,489281623,688,0,105436516,38404096,2261909504,0
22817549,19702744,1653341456,837729784,240578828,662,0,105598156,31391744,1846870016,0
23728465,20633990,1634319673,830935878,381729124,6459,0,105121064,36765696,2002386944,46792704
24090333,18604467,1213453638,753149537,280720389,2990,61,105175752,37879808,1751121920,0
27614381,20414685,1726175046,811763542,135282309,2007,0,105697532,36962304,1767243776,0
27606221,20709300,1730782891,811866825,137069908,1506,0,105361174,35127296,1796734976,13565952
20171636,14796933,1251909997,593633347,101617035,1258,0,4716430938,18808832,1225785344,0
11838268,9272050,1011783985,552784566,126175734,789,4,105428634,32374784,820707328,0
13248351,13202924,1682151593,1037701232,218918609,162,0,105408006,25886720,846331904,393216
32437987,19695207,1529678883,1036625160,378799308,208277,0,105432411,34471936,1827209216,14876672
28307277,15503687,1890651053,960536144,356846035,52075,1,105154365,16646144,1449394176,0
23587325,19104359,1806962298,963757816,335452910,3551,1,105508437,37289984,1812201472,11337728
10932188,10275205,877373784,460630370,168736268,68,0,105262911,20250624,1099366400,0
26478739,19919749,1675851085,766273338,121999249,2225,0,105430929,36569088,1752039424,17825792
27676072,20912302,1737534382,796827544,126400938,2022,0,105394446,36700160,1796014080,10682368
27544781,20765186,1735934555,797098405,124701140,1361,0,105552942,35127296,1808728064,0
24774222,20136237,1710312295,789016507,151209588,30697,0,105499779,34209792,1631387648,1245184
22314391,18564427,1837357795,763973070,90891646,194203,0,105504810,35651584,1531117568,5963776
22103918,18395235,1827585041,757282585,88809026,195284,0,105415851,35586048,1533476864,0
22091807,18644776,1834565626,757149786,88820847,196729,0,105370170,34603008,1525219328,0
23258588,19101345,1575633169,730483318,122283536,34749,0,105458433,32505856,1605042176,5439488
26382924,20700313,1688472428,756586535,108659711,2016,0,105515514,34603008,1722023936,5373952
25588686,20821500,1659721544,725516792,95655429,1142,0,105423555,40894464,1727397888,0
25273194,20587870,1643593397,717274047,92736003,1089,0,105491037,34275328,1691680768,3670016
27863230,19401996,1279370912,717466061,190959496,168632,0,105493554,38797312,1624440832,3407872
25822961,17898859,1441164991,717755772,186091309,147267,0,105447840,33947648,1513750528,0
21071104,15497916,1870972135,718053320,88503258,4915,0,105501447,37027840,1297678336,16580608
19901379,20872684,1628534074,692068596,205866372,298,0,105440838,35520512,1968766976,0
23063915,19562790,1558716185,677845896,84706462,2836,0,105429447,31916032,1632829440,12713984
24149005,20287638,1594158356,677829192,76610917,1684,0,105493185,34930688,1639055360,1769472
24170420,20384792,1596862114,677905751,76345959,852,0,105471465,34996224,1664286720,8912896
23628308,20437963,1589722202,674884301,76930653,973,0,105477387,34078720,1591476224,0
19180506,16774481,1512680801,673201526,99468552,131607,0,105415794,33292288,1356595200,9961472
19122272,17212677,1636804201,660335655,66368605,171478,0,105493920,33161216,1363214336,2686976
18674697,17000845,1605649969,638198825,57321558,158776,0,105449363,33226752,1351876608,2424832
18686749,17043876,1609669326,637725421,56101488,150909,0,105361822,37421056,1337065472,262144
21841421,19124528,1468108562,629802699,89930226,22132,0,105492609,29687808,1534590976,3866624
22158425,19753341,1504799889,628159627,65974263,1557,0,105510716,35258368,1534722048,8257536
22225969,19610115,1497529135,628443175,68534084,1398,0,105417655,34406400,1558708224,0
22000250,19489057,1484950219,618411220,62377207,997,0,105482751,32309248,1520041984,0
7473092,6369496,551719147,247094506,35746611,343,0,105227136,12517376,501809152,0
25216369,17522526,1069394682,581293625,137558885,165565,1,105472827,35323904,1460338688,14548992
20685808,14614846,1086284323,523067955,121981947,143845,0,105476163,35979264,1216872448,5570560
17845385,11777714,1633108280,598143181,53060841,4530,6,105490701,32374784,976420864,0
18214987,19388071,1539436806,589681710,132384442,1447,0,105510453,35651584,1822883840,11468800
17946162,18120809,1389659822,559890309,86269425,1615,0,105441726,29949952,1544552448,0
19957554,18806506,1388971074,557994430,46500361,1252,0,105459354,33226752,1408172032,0
19956722,18721261,1386203169,557980166,47038888,1265,0,105502530,33292288,1455423488,7536640
19960154,18786893,1388483063,558263760,46859523,909,0,105473328,34930688,1441464320,1900544
19716093,18641566,1376267280,553090954,45534028,906,0,105546549,28377088,1382612992,0
15086656,14970626,1287295131,522105846,49829247,124897,1,105425421,32243712,1147469824,2686976
15181198,14891402,1350806815,518234160,35558018,148013,0,105429603,29884416,1117913088,1114112
14853605,14574351,1327488249,511826125,36322140,159098,0,105443340,31064064,1132986368,3080192
15094966,14892776,1349893357,518373894,36103076,107510,0,105502215,30801920,1142226944,1638400
13887518,13648695,1209622362,508466042,64251500,117598,0,105557262,33095680,1060765696,5636096
16328295,16395746,1170093946,466398003,36942244,1429,0,105383961,27328512,1209139200,1245184
16193408,16376283,1164558843,461779867,35626592,1020,0,105457692,31784960,1193476096,1310720
16121931,16335704,1164427985,462258527,35852140,977,0,105459891,32178176,1219493888,6684672
16087873,16367832,1160539391,460295578,36526120,786,0,105503481,32964608,1191575552,0
15978498,16132977,1145535204,457656442,36600795,960,1,105537942,30670848,1191903232,4063232
6320416,6182580,457959057,201788232,31781340,611,0,105318237,16121856,409075712,0
13792671,10434912,624132182,322064860,70815890,118206,3,105418104,36503552,861667328,13828096
22078496,16137876,979999166,478171591,78993711,157621,0,105511011,38731776,1250492416,262144
15972782,12964284,1227413325,463298827,70280370,87610,0,105453837,28835840,1014759424,0
5875151,4891092,737630197,358848579,88978908,1193,0,105443445,28835840,337444864,1114112
6329778,3651899,571930407,334487781,97833180,1347,0,105406410,2686976,304873472,65536
13834442,16954106,1226682853,417694607,66761315,264,0,105493674,33423360,1512177664,15466496
8356554,9503231,728591209,266672007,47548377,127,0,105292008,19398656,888274944,0
9908252,9809115,722410438,302062170,35378623,1187,0,105403560,32178176,752680960,10420224
12858387,13149949,930577983,358477307,22601237,960,0,105424740,25624576,959119360,1966080
12798303,13089613,927343126,358399302,22640415,1042,0,105377769,37683200,950665216,3473408
12802262,13095776,930536610,358367761,22535796,464,0,105399195,29884416,951975936,3276800
11444728,11725511,833235272,319260445,18356213,255,0,105372648,27787264,858128384,0
9988621,10457556,736307455,286933261,23997871,481,0,105365559,24444928,739508224,3276800
8600057,8459321,620485787,242076092,16232654,52,0,105355869,26279936,625672192,0
8101165,8350399,594967552,231428518,15325249,30,0,105346305,19988480,579731456,0
1904009,2346116,177412684,141200444,59746804,138,0,105350085,8781824,156893184,0
6519267,6695082,623779853,238680596,15500796,34379,0,105323289,23592960,495583232,6291456
6941105,6961265,644576996,238772162,11278059,26150,0,105346575,23199744,517996544,1048576
6954774,6862714,647911329,238966729,10999261,16577,0,105355236,22937600,502923264,1310720
6435224,6370737,598128412,221382678,10447207,13089,0,105328872,23199744,467795968,1048576
5196514,5021484,485969504,179081493,8119722,6220,0,105323400,20316160,382468096,131072
5213279,5030848,486464749,179035433,7972168,5986,0,105312774,23592960,392560640,655360
5201826,5051038,486650750,179100793,7926500,4661,0,105313848,21692416,376700928,1310720
5193711,5006781,486240782,178971705,8116282,6901,0,105317430,21561344,366608384,589824
3810260,3646392,357778807,131441405,5857969,717,0,105240750,17432576,269549568,0
3464386,3047953,325012229,119346404,6655669,1326,0,105274824,15663104,234029056,1245184
3464282,3061449,314394132,119234815,11415727,2199,0,105294006,17039360,228327424,262144
3471287,3075522,323753744,119343487,7767046,2687,0,105369837,17301504,224526336,458752
3286547,2756616,311810467,119437126,5150443,3474,0,105212835,16515072,226951168,65536
3043340,2749642,310289781,119326760,5358686,5083,1,105292164,17825792,213057536,0
1558223,1555969,135003968,118867635,47119736,860,1,105289008,6815744,137101312,0
2526068,2702323,207944880,115873837,25500491,451,0,105336687,17629184,198967296,2359296
4109586,4029270,298200566,115496068,6480752,503,0,105264744,12910592,300351488,2097152
4122378,4184639,298164933,114647329,7305477,270,0,105292248,9306112,302514176,1507328
3977005,4212336,289619832,106578896,6739528,256,0,105275001,11468800,290193408,524288
3805946,3887464,278384708,110289323,8161166,83,0,105283971,13565952,286916608,1507328
3254111,3281704,232482919,91537238,6365082,199,0,105271365,8388608,229572608,0
1896659,2030267,143936363,56116681,3866622,0,0,105229326,9109504,145096704,0
1978515,2086640,143340344,55583812,3683179,0,0,105240678,10682368,148373504,1245184
1862833,1961366,138959045,55199071,4055178,0,0,105249861,11993088,139264000,720896
2010648,2083120,142702017,55894187,3641139,0,0,105253446,8912896,142409728,131072
3684747,3470204,270754275,102434329,6409709,448,0,105253719,19267584,260702208,2359296
4002055,3959609,305177450,115713862,6482449,539,0,105286614,19922944,282525696,1376256
4039233,3883151,295572933,114259224,6679229,498,0,105305889,14221312,292945920,262144
3945912,3635248,270822847,111733132,10233590,158,0,105247353,14811136,280625152,327680
1987572,1959203,141849863,57366381,4721672,3,0,105230283,9502720,158203904,0
1945495,2048466,140379340,55140019,3505810,0,0,105258252,9175040,142802944,0
1903369,1998013,141111840,55548219,3921524,0,0,105221985,12517376,140836864,1572864
1942161,1956449,135425663,54220631,4093971,0,0,105247692,10878976,143392768,131072
1869714,1960803,140641816,55385610,4045146,0,0,105248142,10551296,148111360,65536
1912413,2010349,138264233,54460821,3978535,0,0,105231990,11730944,147521536,1245184
1918523,2006580,141705916,55697850,3824913,0,0,105242382,10944512,152567808,0
1974513,2032046,139210242,54985620,3813024,0,0,105279552,10420224,148111360,655360
1853641,1959928,136159728,54458246,4348807,0,0,105207600,10944512,135069696,458752
1907387,1963407,136615662,54282790,3800109,0,0,105242211,9109504,146931712,393216
1935075,2017882,141874648,55775111,4017333,0,0,105227898,8060928,144637952,393216
1987380,2031958,139991295,55392701,3584791,0,0,105263802,8650752,148766720,1179648
1999714,2031379,142997690,56407249,3650793,0,0,105248346,9699328,152698880,262144
1954933,2065517,143245603,55650249,3956346,0,0,105235266,10485760,146407424,851968
