l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
5172969,657,446424799,814486036,531582435,3875765,0,1096494236,5767168,68878336,196608
5028212,599,446741788,812623119,529801179,3762304,0,105524796,4325376,3801088,196608
5166994,611,446552710,812840881,530732848,3858318,0,105350700,4784128,3342336,327680
5220773,643,445046799,813134694,531041548,3764168,0,105092884,7864320,8781824,0
5268860,974,444524842,813197489,531377389,3930155,0,105236080,8388608,6291456,0
5140137,760,443683872,812482000,530939048,3856141,0,105288932,2949120,786432,131072
5276675,743,444112759,812813807,531294279,3819555,0,105314292,5439488,5505024,0
5339015,505,443055201,812859394,531220002,3875590,0,105558432,5832704,4259840,196608
5082582,760,446057147,812613966,530204887,3802846,0,105060034,4980736,2949120,0
5145959,583,445904730,813263367,531903863,3833052,0,105238898,7143424,4390912,0
5276326,549,444531494,812065184,531362166,3873841,0,105219204,10944512,6946816,131072
5304283,575,444515750,811639079,531112838,3890014,0,105168945,14548992,7471104,131072
5341496,988,443835287,812287819,531685526,3894131,0,105331059,16711680,4063232,0
5287408,550,444976296,812912590,532008786,3875957,0,105288222,19070976,5636096,393216
5441124,794,442823798,812224258,531841120,3985641,0,105178542,21430272,5177344,0
5194591,848,445771034,812300289,530811895,3825457,0,105284685,23658496,5570560,65536
5296161,567,445144100,812325852,531563753,4024479,0,105190932,25493504,4587520,0
5101677,490,445773183,812707740,530464950,3817537,0,105359040,27394048,5308416,131072
5241900,734,446078951,813535189,532046798,3888413,0,105305679,30015488,7995392,0
5196777,672,445214026,813072626,531507358,3837979,0,105287769,31916032,9043968,0
5297269,630,446535270,812687786,531105671,3806671,0,105267726,32440320,6160384,0
5304914,586,444934538,812735559,531060834,3932321,0,105257913,32505856,3473408,65536
5361856,755,445347579,813074700,531927721,3981459,0,105248475,32768000,6619136,0
5286039,446,445851082,812857106,531323075,3899092,0,105268581,33095680,4915200,65536
5372746,567,445294024,812722774,531951213,3981549,0,105359802,33161216,3801088,393216
5254070,540,446890160,812564844,530805059,3753981,0,105192765,34013184,8781824,0
5277455,532,445963151,812578965,531380034,3945177,0,105267051,34144256,9240576,131072
5285829,561,446264117,813011220,531588316,3880111,0,105311727,34603008,6881280,131072
5391619,457,444167740,813102247,532304879,4013451,0,105335820,34471936,3604480,0
5271683,808,445527432,812574154,530199561,3904915,0,105243504,34144256,4849664,131072
5303052,517,445860145,812567860,531330851,3856473,0,105199083,33554432,5111808,0
5381109,576,444984868,812790948,531832815,3946378,0,105359775,33030144,7143424,393216
5327716,454,445112303,813322278,532142586,3908901,0,105288096,33161216,3735552,0
5356920,702,444348750,812965731,532226877,3941959,0,105217686,32964608,720896,0
5389248,511,444754729,812143832,531091587,3924629,0,105291570,21561344,4456448,131072
5219003,477,443298839,813159039,530150986,3888874,0,105306567,21823488,7274496,0
5245312,527,443694023,813228903,531124195,3896427,0,105286431,22740992,7340032,0
5370079,535,445601624,813007426,531989296,3956458,0,105298542,24379392,10485760,0
5241049,561,444719858,813402724,531674577,3874782,0,105289392,26148864,7077888,65536
5272490,559,444903527,812460649,531165893,3906775,0,105226983,28246016,8519680,262144
5489979,559,444679734,812525576,531516109,3998938,0,105265755,27525120,6619136,0
5286203,967,445468459,812878482,531644143,3947161,0,105291069,26214400,8978432,262144
5197367,504,446414158,813001213,531046748,3812988,0,105294351,27197440,8781824,0
5290359,515,445395347,813284531,531897130,3891471,0,105239118,28377088,10420224,0
5368990,517,444943482,812576349,531445931,3895222,0,105290580,29294592,9240576,0
5210816,718,444062071,812725593,531550566,3859315,0,105262701,30539776,7995392,131072
5243445,519,445560562,812913988,531418862,3917462,0,105289488,31195136,6815744,0
5252755,714,445930631,813319273,531709831,3870645,0,105331503,32505856,8192000,131072
5349191,531,445947447,813145552,531684793,3982347,0,105221334,33357824,7667712,0
5420157,537,443946569,812758463,531359767,3991421,0,105309711,33816576,5177344,0
5178076,502,446461040,812413989,530528960,3802127,0,105207093,33095680,4587520,65536
5240029,728,446069859,812032502,530892069,3925080,0,105289902,20054016,8650752,524288
5167555,667,446553322,812672884,530731162,3783600,0,105201225,6488064,10092544,0
5160703,693,446709018,812917787,531688561,3910984,0,105363150,3538944,6225920,65536
5189342,745,446221126,812669893,531006757,3841875,0,105324339,3604480,5701632,458752
5203735,923,444484726,813020790,531929194,3870362,0,105262191,4653056,7274496,0
5244489,743,444904112,812976116,531466249,3888902,0,105356013,5177344,6684672,196608
5348908,751,444914538,813633338,532235041,3992468,0,105292413,3670016,7340032,65536
5265867,1043,445222908,812926348,531751405,3899213,0,105371481,6553600,7798784,196608
5300727,793,446068858,812549077,531023682,3815279,0,105194010,8585216,4456448,0
5221267,676,443953354,812911659,531681389,3883483,0,105312723,10420224,6619136,262144
5263899,714,445126953,813737273,532177208,3925870,0,105322905,12124160,8060928,131072
