l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
23260099,20750422,1011208951,839922552,524533589,561,0,1075624152,38207488,16392781824,23134208
22921870,20138634,1643005954,837250851,225853014,874,0,104782984,32571392,1962737664,0
23576881,20729273,1741097170,836763586,369043525,5979,1,105783420,38731776,1925644288,37486592
26006813,20436189,1329374101,836402302,359285348,58511,45,105141952,31522816,1962475520,0
28074999,20460919,1688471542,788591578,128197471,97502,0,105293208,34406400,1754136576,3276800
28002624,20679358,1739544046,810617269,128455569,115374,0,105796984,37814272,1843200000,0
27263995,20740932,1735261454,807156090,133521066,111166,0,105958672,27131904,1659830272,0
8778240,7496573,873705353,489808870,102312656,5156,0,104588720,27721728,573308928,13369344
10197055,10201262,1299132754,778845455,148792065,58,0,4726116550,11862016,632356864,0
36191366,19092488,1584121834,1034843283,338421761,27709,1,105271857,34668544,1811415040,17563648
28670183,18379031,2118233164,1036176673,311717596,94421,0,105337803,34013184,1620180992,0
23079221,16945269,1678756287,884085861,326101747,460,0,105431994,35389440,1722941440,14221312
14378343,11907749,1073132110,597997090,214207338,5804,0,105449520,38141952,1308426240,0
34606538,21500689,1999965929,1036333396,230736848,62020,0,105618005,37617664,2065367040,11010048
33312012,21406799,1950216340,995218345,212498485,67772,0,105407011,34537472,2002124800,0
28638478,21440295,1789816130,817885573,123428706,74878,0,105345561,36372480,1816002560,2424832
23384820,18066676,1688622025,785491528,133284264,148968,1,105553305,32833536,1590951936,0
23379254,18955542,1899563081,797148056,97989387,193982,0,105405056,36044800,1567424512,6291456
23343552,18813483,1869715586,787696503,98245597,181141,0,105422131,34668544,1594753024,917504
21867756,17567638,1680735482,747434280,128291044,141554,0,105388473,35454976,1461714944,1900544
27532223,21066004,1730343559,783084092,114019875,105955,0,105432558,30867456,1768161280,983040
26554653,20499415,1670529252,750197946,105266883,97101,0,105438339,36700160,1723334656,14876672
25646650,20492900,1656448234,740930164,100990308,81744,0,105397626,34406400,1713831936,0
15961843,12094713,1000793659,476998775,80409916,54540,0,105173037,12124160,984088576,0
20405148,13254013,840035350,495510909,144609756,24266,0,105454929,36044800,1156513792,23789568
25559121,17051083,1217078431,686762912,190523877,112539,3,105466848,34144256,1434189824,8519680
21308281,15004719,1860901901,722787246,95976117,2388,0,105399420,35061760,1219559424,1048576
20775793,21677543,1703569049,717108599,206341907,233,0,105476595,33423360,2075590656,1966080
23133876,19616075,1570363208,697852998,107075496,72912,0,105285945,32440320,1703936000,851968
23178532,19590684,1534067147,677405489,87691126,89768,0,105382194,33357824,1563230208,4849664
23247560,19456874,1522797460,673183158,88822129,94548,0,105413493,33816576,1587347456,3407872
23278967,19499114,1514205933,663492119,82874080,87115,0,105427359,32440320,1541079040,0
8917763,8006698,627439355,307338178,57465052,11318,0,105437817,34078720,660209664,5832704
19502509,17264443,1656244214,668285886,64259425,124004,0,105597699,31326208,1414463488,2818048
19825030,17677380,1685916258,677575828,64611966,115614,0,105463926,38600704,1396703232,2293760
19817182,17656755,1686434247,677560253,65020489,115031,7,105430368,33161216,1426522112,3276800
17522130,15742824,1435819930,616694015,88238472,93444,11,105430539,35389440,1243938816,1572864
21040509,18600119,1404751868,600262072,69313432,146920,0,105381777,29229056,1456996352,3145728
21343487,19041763,1436668943,608678944,66908835,126414,0,105511755,34603008,1466564608,9240576
21976554,19482406,1472899389,618089240,66033089,125597,0,105454485,34209792,1537081344,0
