l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
98407,36204,231329112,97376557,3254573,0,0,967924647,26148864,100925440,262144
117789,38972,232074406,97709236,3225847,0,0,104788617,25690112,10551296,0
129649,41310,231572790,97599947,3353813,0,0,105088104,27459584,11206656,65536
102024,38430,232417262,97483916,3040913,0,0,105131768,29294592,11730944,0
95408,36136,231671929,97524545,3322493,0,0,105055174,30801920,11141120,262144
108090,42579,231455144,97470731,3279208,0,0,105151683,32243712,10485760,131072
86234,31584,172362880,72693428,2528495,0,0,4754361552,9371648,19398656,0
193329,62708,281294029,120145813,5970876,0,0,104934822,15269888,15663104,0
128067,47889,283686009,119976204,4576595,0,0,105153081,22478848,12845056,0
138364,47349,283784237,119997291,4440600,0,0,105083616,27918336,10551296,0
147053,55330,284032848,120061079,4796818,0,0,105087555,31588352,12320768,131072
243176,59440,270790639,116741222,4456616,0,0,105111480,24248320,31326208,131072
132128,50204,289173134,121256176,3695705,0,0,105112728,19660800,9043968,0
134349,53832,283948637,120218426,4512144,0,0,105042762,18087936,12189696,0
131627,51745,284197673,120035305,4435204,0,0,105057723,19726336,11599872,131072
128101,49269,284127489,120039213,4708242,0,0,105086766,23396352,11665408,0
152334,65249,284206681,120037191,4317217,0,0,105058356,25624576,16449536,458752
132726,51368,285300853,120027484,4276465,0,0,105120093,25493504,14548992,0
136553,57150,284814015,120203649,4438542,0,0,105094824,18546688,21364736,0
152317,55699,284602476,119919713,4364013,0,0,105097056,20709376,14024704,458752
152345,54987,284684296,120016582,4521304,0,0,105035844,22675456,11993088,0
133719,51247,284583960,119963017,4379239,0,0,105097803,24313856,11730944,0
130903,48203,271189242,114120554,4435759,0,0,105088209,25034752,16056320,327680
139635,53403,283089475,120332182,4954789,0,0,105043137,17301504,15138816,0
156649,64243,282646467,120255381,5126790,0,0,105128106,17694720,11075584,131072
156981,61221,281117390,120181263,5052824,0,0,105186327,21102592,13500416,0
133236,47019,283405254,120080209,4652216,0,0,105210750,23461888,15269888,327680
156592,57139,282426586,120053385,4905122,0,0,104713689,23330816,14090240,327680
154461,58583,282897247,120405579,5070371,0,0,105237186,18415616,17039360,0
173070,145572,221397887,103630441,8822869,0,0,105091317,23003136,34406400,262144
1173609,358497,251864706,148700953,44363226,5358,0,106069215,24641536,31653888,8519680
5150857,2468194,982608388,988732141,361315932,12310,0,105634890,25690112,196870144,0
5716715,2834898,581264083,663926394,281156391,8980,3,105176180,26279936,629604352,30867456
5469546,6002606,372587597,735180371,523833696,25225,3,105266095,26017792,847511552,0
6012777,6258354,371201536,813808341,651896805,2349,0,105211737,25165824,458817536,0
3050499,1675546,355476298,345503960,200723722,391681,0,105325392,25427968,136118272,3407872
9981332,3747761,1416788562,999740481,510947411,1330323,0,105404505,25624576,290521088,0
9938330,3565156,1492018297,1000371524,518366551,1542468,0,105401940,25559040,296550400,2621440
10458426,3717489,1553211288,1028713996,542399484,1637367,0,105545871,26083328,284426240,0
10025051,3849713,1462299227,1034799998,541863330,1988661,0,105826326,25952256,284753920,0
9542558,3700183,1414796906,998050777,530930687,1215644,0,104952750,25624576,290062336,4784128
9636012,3699230,1417010843,1025117886,538472616,1698909,0,105570480,25952256,274661376,0
9439233,3675194,1402346868,1026394526,525237104,926013,0,105326304,26017792,272564224,0
9157118,3781409,1354382967,1023860897,538524276,548303,1,105386328,26083328,308150272,917504
8246886,3853023,1308786724,1027993843,536282249,1067184,0,105319685,25952256,287768576,0
7758261,4033480,1240718730,1030389606,548082875,284773,0,105307543,25755648,321388544,458752
7545162,4137314,1154443450,1019907094,547603590,293674,0,105458112,25755648,310312960,0
7048044,3803619,1244455024,1021712502,526932526,324382,0,105245114,25821184,280035328,1376256
7076490,3722096,1217886779,1021332538,514403985,282034,0,105426754,25690112,275709952,0
7139025,4182392,1159560713,1028206590,518220110,230304,0,105385938,25624576,291700736,262144
6792325,4346990,1170789710,1026045062,535383605,123310,0,105355886,25690112,317390848,2883584
6773706,4336541,1185106283,1028083827,513174490,64825,0,105274660,25559040,325976064,34799616
6846507,3826354,1155261593,982160151,493990553,92217,0,105339156,25690112,282263552,0
6494290,3496867,1269237829,1024698139,476122807,133411,0,105391412,25559040,258342912,0
7229131,3304634,1408845286,1029882306,457605152,110617,0,105306867,25559040,264765440,0
6353338,2878580,1354047327,1024925152,488004099,34591,0,105413953,25755648,263061504,0
7045076,3392861,1310073666,1022570966,470964150,40666,0,105387590,25755648,284295168,5570560
6443864,4521887,1175668868,1010271007,466320035,60560,0,105272537,25690112,281149440,0
7372445,2707883,1492642834,1016338875,390106771,52549,0,105162686,25296896,205193216,1310720
6483589,3341933,1262123971,1033152747,496617757,83736,0,105546245,25755648,274595840,983040
7773419,4136116,1285301935,1029704491,482636452,26013,0,105454615,25690112,337838080,1376256
7723872,4189748,1290624817,1023505785,490572049,30273,0,105540806,25690112,317849600,0
7466885,3085588,1555884136,1026696638,405654331,10175,0,105320443,25755648,238616576,0
7006822,3130717,1441754507,1025468752,444009298,7257,0,105500774,25755648,264830976,3342336
6767695,3662795,1356334720,1021589689,427873124,19818,0,105288024,25755648,257163264,0
7186247,1274896,2043170545,1034750339,276322796,25123,0,105594248,25755648,113573888,0
6375228,3881828,1470844749,1036551906,398228849,33403,0,105251904,25559040,287637504,1835008
6299963,2134936,1725881351,1031339781,333156390,29596,0,105661214,25755648,167575552,2949120
6442991,2400664,1663770764,1032100768,347225901,22566,3,105293538,25690112,213123072,0
5492033,2365208,1565787101,1016260042,356806720,24267,0,105518637,25755648,215547904,2490368
4112220,1537844,1309547675,783931309,230290093,22374,0,105486689,25690112,109576192,0
3670450,521550,1415102833,769425823,178019853,49997,1,105078008,19136512,24903680,0
1802192,233087,1037344198,564724012,125590651,35212,0,105386533,21889024,6619136,196608
838324,118472,747960327,414092319,92762521,4,0,105233093,22151168,1179648,0
563310,111478,350636284,183412812,39659968,11,0,105368235,22544384,1703936,0
410049,72621,242541923,129799569,26709070,0,0,105386288,17170432,3080192,65536
435178,56067,228805873,129875853,29328350,0,0,105299201,16384000,851968,0
227300,41024,224803601,129859476,30224926,0,0,105388878,16252928,589824,0
243409,34187,227807058,129912732,29413474,0,0,105286489,16646144,262144,0
2590780,2406633,526899015,443078678,192778361,286122,0,105373709,23265280,235470848,15007744
7273680,4410113,1184117099,1010617329,496692765,8356,0,105424760,23265280,301465600,0
7194124,3789868,1215115712,1015875971,495869263,3873,0,105503839,23199744,287047680,0
8366781,3543794,1597116707,1031628219,409123064,16403,0,105463785,23199744,281870336,2424832
8254315,3037571,1698865639,1033738746,387701992,2356,0,105156075,23199744,217317376,0
7512145,2925875,1849145084,1029750121,303340222,2015,0,105471363,23199744,212729856,0
7370522,1549733,1918198608,1034427295,263940022,29244,0,105418558,23199744,120324096,0
5719969,3707611,1344540391,1038035275,414369421,37868,0,105578263,23134208,332791808,5570560
6657654,3564684,1351895207,1019898484,462555309,3898,1,105287399,23199744,264962048,0
8058147,2576485,1877703159,1018890835,292662845,2453,0,105421526,23199744,196804608,0
7061280,3870743,1513982271,1032303060,391782537,9493,0,105527989,23199744,335216640,5636096
7823168,3501247,1682474083,1030866510,338060439,7510,0,105506905,23199744,279314432,0
7496768,3012312,1737060877,1033069014,351628382,11167,0,105341327,23199744,257490944,0
6796995,3160912,1732881196,1010093721,289565968,5734,0,105448952,23199744,301203456,6619136
6565326,3145138,1820182036,1032389794,309631276,15777,1,105333144,23199744,215482368,0
6392410,2820492,1852003554,1037066869,301625629,18559,0,105174402,23199744,180486144,0
5658003,1882315,1897663434,1038649254,261618778,53668,0,106198375,23199744,147324928,10747904
4603885,3765595,1364792606,1010685744,404135314,68459,0,105316533,23199744,310181888,0
6507948,3088093,1712962825,1027925675,370628753,48363,0,105266147,23068672,214302720,0
7083173,2212099,2035358103,1036305148,248554879,62714,0,105424186,23199744,160104448,0
6449199,2202078,1885658080,1035559834,290883448,14381,0,105871682,23199744,190447616,2818048
5475778,3962848,1502225033,1028346571,347643283,11801,1,105379491,23199744,256311296,4390912
5443848,2636074,1784097268,1037768564,326070005,12602,0,105440426,23199744,210173952,4128768
5589296,2635464,1611930981,1000675875,347701688,16789,0,105154609,23199744,234618880,0
6317715,2657753,1697684926,1033638632,357468884,76750,0,105178290,23199744,240779264,2818048
6813557,3296716,1683891046,1033728552,352227268,45396,0,105620221,23199744,225771520,0
6706282,2651128,1960311096,1037437815,274311705,43695,0,105296968,23199744,186646528,4718592
5866864,3736865,1406945255,1029698807,427223093,18358,0,105327943,23199744,276234240,3473408
6723693,2250207,1881919780,1036498166,292100070,25796,0,105636412,23199744,134938624,0
5894801,3264633,1627712246,1038238035,361344985,49183,0,105446733,23199744,253034496,6881280
6205217,3799893,1464996194,1024012777,401082697,16966,1,105055769,23199744,302448640,0
6104105,3583232,1749306099,1032020425,356535286,16162,0,105701043,23199744,256442368,0
7499161,2437973,2195009474,1034990827,214488484,18244,0,105254079,23199744,174260224,0
5813654,2314296,2014514160,1037689441,227220140,40746,0,104966722,23199744,134742016,0
5029336,2797352,1797546417,1037312702,254619278,94909,0,105865550,23199744,141295616,10616832
4557328,2492328,1742381559,1032176865,289779764,148273,0,105417557,23199744,163577856,5242880
5764721,3068259,1755594525,1037800503,311309593,60693,0,105290514,23199744,220659712,0
6577512,3092883,1750366877,1027780219,308980265,30641,0,105729001,23199744,277676032,0
6274409,2288142,1926224838,1033979896,287201139,78303,0,105174300,23199744,171507712,0
5958701,1337050,1967678622,1023613803,227426598,157797,0,105036239,23199744,114556928,0
5506963,2587235,1767529789,1027341960,288260596,195505,0,105956382,23199744,236716032,14155776
5128313,2972161,1733776675,1033669625,314318552,115984,0,104948991,23199744,241041408,0
6019939,1486912,2103115054,1037202049,214749146,154657,0,105674555,23199744,126222336,0
5491324,2225839,1842072377,1038758779,260674757,147475,0,105242508,23199744,176816128,5832704
4697120,2601886,1691788169,1036454180,313511303,100324,0,105301105,23199744,180879360,7143424
5892198,2647134,1906036716,1030567449,256454403,87734,0,105700987,23199744,187498496,0
5462026,1720616,1914795491,1037998706,247912494,154037,0,105171157,23199744,152174592,3604480
4445454,2649723,1632576662,1025790790,303409304,121321,0,105209041,23199744,241172480,2949120
5193487,2395445,1717946338,1029523573,314126441,146016,0,105587650,23199744,240451584,0
