l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
64615,1600,1586377277,841333201,154060995,22870,0,991224716,524288,655360,196608
53662,563,1581880583,839503448,153858086,14851,0,105613836,458752,0,65536
51856,548,1581883053,839442499,154014606,16558,0,105166976,393216,65536,65536
53519,530,1581662193,839241620,153936097,17661,0,105299012,393216,0,0
52952,652,1583504692,840213148,154005153,19365,0,105300532,262144,0,0
58018,625,1579945039,838783833,153748290,22677,0,105362316,262144,65536,0
58145,515,1582003208,839498551,153842040,20135,0,104784761,131072,0,0
57360,511,1582840406,839828312,153886940,21655,0,105244179,262144,0,131072
54576,603,1581770516,839724352,153859320,20361,0,105346194,262144,0,0
51771,506,1582947911,839887452,153774080,19879,0,105299424,262144,0,0
54698,459,1581428598,839212964,153709662,21455,0,105210153,262144,0,0
49857,519,1569629310,838768616,154452942,19031,0,105206421,327680,65536,0
58647,486,1570014686,839826998,154749201,21161,0,105320850,327680,0,0
54058,548,1570618722,840072961,154786279,20845,0,105288000,327680,0,0
61045,449,1570057433,839592038,154711084,24106,0,105211974,327680,0,0
54429,393,1569690560,839245531,154478108,20086,0,105307278,327680,0,0
51730,385,1569148836,839222607,154578062,19796,0,105263292,327680,0,0
50680,419,1570394750,839506639,154591147,20214,0,105209331,327680,0,0
51871,471,1570792421,840107819,154801707,23211,0,105326904,327680,0,0
50031,550,1582806005,839632829,153791166,18173,0,105341601,327680,0,0
55122,486,1582136616,839282197,153636962,20648,0,105191073,327680,0,0
55348,494,1581817404,839327397,153701704,19657,0,105262140,327680,0,0
55005,482,1583091516,839903816,153866786,22559,0,105297198,327680,0,0
55218,484,1581686586,839745054,153861483,20306,0,105283818,327680,0,0
50469,449,1582089068,839369035,153794941,17218,0,105292746,327680,0,0
50217,423,1582779376,839369371,153654513,22413,0,105259719,327680,0,0
55089,360,1582338388,839336983,153723334,21949,0,105260646,327680,0,0
52545,376,1583391044,839941999,153841412,19912,0,105364998,327680,0,0
52787,421,1582359534,839757292,153844567,20473,0,105285477,327680,0,0
58623,783,1505991272,839241586,168680587,17465,0,105165114,458752,131072,0
59494,1141,1454981512,839271963,177346170,15340,0,105333300,458752,0,0
59210,1049,1455980178,839276385,177375287,17730,0,105264153,458752,0,0
58710,1042,1456741226,839982972,177513895,20154,0,105285177,458752,0,0
59260,1002,1455510284,839678471,177428821,19003,0,105287406,458752,0,0
57317,738,1455944962,839385374,177344798,18533,0,105183423,458752,0,0
60050,1009,1455310158,839486352,177385907,16747,0,105327696,458752,0,0
57544,992,1455252398,839605354,177492744,17287,0,105286128,458752,0,0
54123,871,1456308439,839786716,177452778,15288,0,105286884,458752,0,0
62393,1068,1456090340,839895525,177603357,18034,0,105287283,458752,0,0
63544,2049,1446544099,835493387,177335369,16253,0,105233283,720896,131072,131072
57102,942,1455467247,839393011,177419774,13965,0,105193095,720896,0,0
57667,1101,1455371680,839544596,177482439,14944,0,105286080,720896,0,0
53466,1188,1455148342,839707920,177558835,14439,0,105285723,720896,0,0
58755,1473,1454984840,839601356,177555613,15192,0,105310728,720896,0,0
59518,1038,1456215356,839216237,177258940,16095,0,105286728,720896,0,0
59137,1061,1453726910,838905706,177445081,19836,0,105259845,786432,65536,0
57670,1072,1455632593,839474780,177445666,15802,0,105285657,851968,65536,0
62871,1131,1455586680,839663170,177525000,17443,0,105211740,851968,0,0
59797,1004,1455696953,839943547,177580584,15366,0,105358656,851968,0,0
58334,864,1455616393,839276455,177406858,16873,0,105196269,851968,0,0
55318,944,1454983084,839179357,177374279,15673,0,105310707,851968,0,0
66614,1042,1454089250,838606967,177345314,24576,0,105188640,655360,0,0
63591,1078,1455882174,839843342,177609526,16816,0,105281409,524288,0,0
60643,1071,1454799413,839362186,177506672,16728,0,105223095,524288,65536,0
57988,1077,1455673989,839254606,177362346,12403,0,105257508,458752,65536,0
53674,1046,1454273686,838864233,177353757,14358,0,105213765,262144,0,0
58426,1359,1455825027,839475043,177530426,14501,0,105295317,196608,65536,0
58299,1375,1455807462,840039327,177637464,17719,1,105264801,262144,65536,0
60958,1632,1446590250,839384604,178208707,15575,0,105287718,262144,0,0
66470,1247,1442755965,838951204,178177108,25353,0,105234726,262144,0,0
62864,1069,1449935397,839308558,177712514,14846,0,105307971,262144,0,0
54224,996,1456546870,839786178,177512943,15780,0,105264369,262144,0,0
57230,985,1455611812,839586487,177529884,28658,0,105283461,262144,0,0
60925,1012,1456070029,839461663,177357263,15484,0,105246282,262144,0,0
66021,869,1455435402,839366316,177484319,23149,0,105253077,262144,0,0
58079,1011,1456025120,839238454,177413577,16789,0,105262911,327680,65536,0
63609,990,1456715966,840049274,177557162,20698,0,105319044,327680,0,0
59679,1098,1455345613,839634266,177558229,18658,0,105263370,327680,0,0
55350,936,1455041788,839007551,177303777,16374,0,105190437,327680,0,0
53969,854,1455499659,839418672,177459400,21465,0,105264318,327680,0,0
56650,1187,1455161054,839536912,177620735,18882,0,105284715,327680,0,0
56560,1118,1456399956,839802458,177526656,19289,0,105282612,327680,0,0
55520,1090,1455595342,839618282,177378633,16119,0,105277614,262144,0,0
58160,942,1444954779,839531756,178188176,18480,0,105207036,262144,0,0
54331,1110,1443690741,839556445,178312803,14841,0,105288894,262144,0,0
59147,1565,1451117526,839451080,177778244,13033,1,105728982,393216,65536,65536
60218,1558,1455667100,839947211,177701019,15319,1,105339938,524288,65536,65536
68458,1293,1456512082,839830395,177606567,17731,0,104940469,524288,0,0
61469,1043,1454896133,839010233,177301164,15780,0,105502133,524288,0,0
63968,1046,1456241998,839145413,176752435,15355,0,105022858,524288,0,0
51851,714,1450902189,839669727,177382090,14975,0,105323838,589824,65536,0
53201,1096,1457502216,839640925,176660464,16350,0,105219627,589824,0,0
51160,1326,1457878177,839765448,176756806,12750,0,105615257,589824,0,0
54687,973,1455811597,838393482,176429822,14572,0,105178420,589824,0,0
51578,577,1456802428,839058880,176572181,16642,0,105076011,589824,0,0
56850,808,1457116303,839319961,176670093,16520,0,105510564,589824,0,0
49690,608,1458142093,839929654,176699923,16648,0,105207938,589824,0,0
55423,642,1456820230,839353726,176626189,17399,0,105277511,589824,0,0
52749,627,1456529450,838688122,176487411,17372,0,105294420,589824,0,0
49321,601,1457119136,839174632,176569870,16942,0,105212832,589824,0,0
57464,657,1456705338,839368561,176704856,25927,0,105201359,655360,65536,0
62554,1601,1448574428,836061943,176147001,17338,0,105320787,983040,196608,131072
55979,741,1457110955,839538578,176798194,16544,0,105264794,983040,0,0
50148,606,1457032803,839064555,176574412,13325,0,105221378,983040,0,0
49758,611,1456736316,839098516,176611835,16061,0,105229006,1048576,65536,0
48625,580,1457369745,839647754,176711418,14821,1,105208804,1048576,0,0
56057,578,1457089076,839413246,176749475,21326,0,105289069,1048576,0,0
56493,791,1456290533,839046478,176596984,18554,0,105268443,1048576,0,0
53671,614,1457162772,839033504,176526352,16758,0,105257131,1048576,0,0
64713,822,1445108663,839045708,177483638,18249,0,105251976,1048576,0,0
58003,702,1445916795,839888171,177700658,21173,0,105256311,1048576,0,0
56244,666,1445084937,839463830,177564006,20030,0,105252517,1048576,0,0
60684,685,1444404767,838931715,177489677,22130,0,105073794,1048576,0,0
56425,672,1457019718,839061962,176639320,19400,0,105434980,1048576,0,0
53634,766,1455854392,839093604,176733092,17704,0,105162007,1114112,65536,0
56801,876,1456527055,839236914,176707239,15384,0,105443465,1114112,0,0
51990,672,1456665555,839398691,176657876,19771,0,105097931,1114112,0,0
54754,700,1457078625,838948197,176514154,17037,0,105423672,1114112,0,0
52915,667,1456541100,839080660,176598304,19408,0,105000912,1114112,0,0
56340,642,1455959448,839197544,176709528,18478,0,105338664,1114112,0,0
54941,660,1457371777,839442377,176755219,17132,0,105027200,1114112,0,0
54106,639,1457020481,839442359,176730028,18235,0,105449292,1114112,0,0
52040,600,1456659864,838917705,176582091,19237,0,105212479,1114112,0,0
52263,709,1455926090,838871310,176601977,17533,0,105473613,1114112,0,0
54880,622,1458010684,839907504,176696988,17260,0,105079589,1114112,0,0
53567,625,1457007268,839257441,176594901,17692,0,105642377,1114112,0,0
49459,542,1457633444,839624989,176700298,16281,0,105315917,1114112,0,0
52306,617,1456795960,839042776,176578300,15228,0,105107856,1114112,0,0
56518,849,1448361183,838263037,177055716,16341,0,105315105,1114112,0,0
54606,779,1444071748,839169383,177480463,16848,0,104950881,851968,0,0
58343,780,1445497679,839620124,177655426,20858,0,105336007,917504,65536,0
59169,680,1444644957,839346536,177532814,18596,0,105263928,917504,0,0
51371,639,1444144037,839082915,177495103,18228,0,105240142,917504,0,0
65566,673,1443193026,838490451,177355968,26377,0,105315112,917504,0,0
64221,734,1448249915,838777004,177184203,24617,0,105282660,917504,0,0
56589,663,1457370671,839344692,176662333,16901,0,104735008,917504,0,0
56895,714,1456302390,838680438,176581172,17463,0,105433594,917504,0,0
58911,1034,1455833028,838416074,176521590,16999,0,105039984,917504,0,0
