l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
219193,46640,4964614173,1623973986,101570480,0,0,18465364,458752,327680,327680
222301,51094,5054399093,1652562556,104536398,0,0,16106173,1769472,589824,65536
135316,42011,4598794342,1638135848,145547208,0,0,14980822,327680,262144,0
65237,16946,4379623972,1646752655,166012681,0,1,17729352,524288,393216,262144
61406,10191,4462108575,1675540791,167012253,0,1,18149988,1703936,917504,0
65027,10861,4503546444,1690515716,168338069,0,0,17241544,1114112,524288,196608
66005,10926,4511960894,1693962741,168797182,0,0,18422160,1245184,524288,65536
66947,12659,4634551203,1740550409,173704502,0,0,17324536,458752,393216,0
66344,10377,4652022744,1746255926,173771880,0,1,17438120,1114112,327680,196608
68381,11517,4641901584,1743121590,173934691,0,0,16259742,3407872,655360,262144
68734,11302,4668613697,1753198732,174776043,0,3,17247600,917504,458752,0
65151,9633,4569056274,1714781806,170445538,0,0,19746220,1114112,524288,0
65557,9515,4580431234,1719472852,171039947,0,0,17619697,524288,786432,0
66838,8733,4612518802,1730969048,171912305,0,0,17246302,2490368,458752,0
67602,11084,4627690674,1737081997,173176437,0,0,15664562,2031616,589824,0
65855,9712,4620057974,1733948757,172322214,0,4,17369486,2162688,327680,0
63928,8133,4607667883,1728848820,171344961,0,0,17351554,1376256,393216,0
67484,8879,4602703732,1727461772,171872741,0,1,15918592,3866624,458752,196608
62030,7454,4583859692,1719387444,170421793,0,0,19894112,2162688,589824,327680
63816,7724,4555759527,1709410841,169558633,1,3,17422642,851968,131072,196608
65884,9171,4589362359,1722088811,171164716,0,0,19825439,1900544,393216,131072
64434,9980,4605206148,1728721545,172310483,0,3,13649448,1179648,393216,0
69524,13410,4642051200,1743204471,174247806,3,0,16771871,2162688,393216,131072
67500,11756,4681473390,1757672793,175135151,0,6,18596382,1835008,458752,0
66118,10872,4624398570,1736114686,172961444,0,1,15139808,2883584,327680,131072
65634,8959,4656699085,1747511218,173277057,0,0,16564952,3670016,917504,0
64673,7747,4572773214,1715646156,169806207,3,0,17839750,4325376,655360,0
64303,7051,4561303543,1711116566,169393602,1,1,16405464,5439488,458752,0
60188,6429,4540294627,1703363734,168421517,0,1,17949692,2555904,458752,65536
65992,6681,4528786720,1698919376,167950789,0,0,18072768,2555904,917504,0
67603,7976,4606658854,1728117901,171140340,0,3,16736408,5177344,589824,0
62923,6737,4498003164,1690033933,167476447,0,0,17194166,4653056,1245184,0
64576,6848,4535845720,1704688325,170006646,0,1,14537344,3735552,2031616,65536
9618,1322,9128264,16596618,9333956,0,0,16528780,3211264,1769472,0
9407,1,6170262,12585182,7088400,0,0,17579868,3997696,983040,131072
82909,41132,37927923,13990383,2101187,79,0,20103804,4325376,2228224,458752
128572,60979,55982085,16555170,466354,14,0,18437114,3145728,2621440,0
728729,274492,290748870,108910323,12411673,3626,0,18836442,3014656,1769472,262144
384946,130819,139442779,47512907,3543755,3710,0,18925616,3014656,1835008,131072
192277,67317,62121512,21322562,507439,14135,0,17065340,2686976,2097152,0
1015555,701404,102870718,66744268,34017574,4390,0,16982956,1507328,1835008,196608
526925,311056,50410840,66399352,45041886,122074,0,19624156,4784128,4587520,0
221093,134452,19024281,25096685,17151144,64792,0,17675192,5505024,1179648,0
280568367,115539696,7035472974,18215874180,12926173621,24514105,18,19824930,6029312,983040,262144
