l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
502442093,279939853,19933231754,12468928300,4733384145,45418,0,16947494,39780352,365363200,18808832
568842,380107,22278513,20583028,12972279,2,0,18733024,35782656,117309440,0
806292,493242,48197042,21195893,3275062,0,0,15776693,33423360,108396544,5832704
683650,506519,50196275,21140612,2308835,0,0,17610354,35389440,236257280,0
1046924,387401,37184260,21136098,6935759,4,0,15121984,32178176,108396544,11534336
751698,528163,34204356,20624972,12989008,0,0,15906616,34930688,101449728,4587520
765625,498303,49038978,21364565,2047719,0,0,16383632,38404096,369623040,0
958764,461672,47462664,20997749,4384114,25,0,15850460,38404096,369950720,6684672
979098,299740,29504671,20729286,9842440,4,0,18915372,38207488,227147776,1114112
603650,507108,41915302,20993912,13341120,253,0,16105964,41353216,355860480,5177344
645193,528816,46242484,21635331,3601145,270,0,16229411,36372480,115343360,17367040
1003327,393425,41737725,21072271,5966966,247,0,14998716,33292288,113311744,0
1112161,283558,24540664,21486332,11461368,136,0,15502794,38076416,335282176,0
875857,261590,36237341,16216134,2944281,39,0,15705840,36831232,102105088,0
690022,416796,20453877,21657477,11377511,0,0,16716762,33619968,120324096,851968
839300,534457,35391328,21119590,7672850,365,0,15326720,38797312,372244480,0
812755,521065,43608499,20929482,4444043,76,0,15637384,38207488,326500352,8126464
502529,11145,1053789,3758434,11629553,513,0,15263440,39190528,333447168,6291456
861887,383641,36585750,20265785,6626122,100,0,16758303,39518208,332791808,0
762691,459098,34641707,20281356,6841503,335,0,15806052,38731776,360120320,0
7,9249,7142940,7322717,3282438,0,0,16376376,33292288,113115136,0
41556,48389,6541454,4542199,2121431,74,0,17252812,35848192,126746624,9240576
1033943,548803,22060808,22038103,12296674,0,0,16939724,34209792,119668736,0
1010954,533110,21054353,20303388,11402304,0,0,17479184,35586048,115343360,14090240
801726,576972,22370045,20889918,11507710,0,0,15203700,32833536,108265472,0
615214,390238,17769284,20130300,11618208,35,0,16780652,34406400,103219200,33619968
238302,303367,15618855,18538823,11803208,1,0,17181296,38338560,334102528,4194304
195141,236762,9376267,8770344,5617673,1,0,17003345,35192832,161153024,0
197119,151506,5256942,4059511,1756766,0,0,18505855,36110336,134479872,0
