l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
67468,12996,48167568,14547547,442352,10808,0,17514596,9764864,917504,0
38073,6042,49410261,15830460,553867,16790,0,21637212,9109504,524288,0
30634,2340,46691602,13385066,357053,13300,0,18257282,8192000,327680,131072
35596,4615,13494360,15360785,5142232,7242,0,17310796,7798784,524288,0
100434,12495,20969668,16735419,4174181,14142,0,18758754,7405568,720896,1900544
137307,312,47826173,20893211,1811144,10499,0,17434428,12255232,7340032,1441792
111464,691,47017284,20904843,1860584,10494,0,16288760,10747904,589824,0
97411,297,45969047,20310166,1884868,10744,0,17850656,9830400,786432,0
103874,402,41304983,17967580,1712712,10077,0,17099072,8912896,524288,0
37221,2086,13716519,14504357,4875719,6278,0,17155024,8454144,3342336,0
105870,8597,29870112,19471621,3271985,10535,0,19710172,10223616,5439488,2031616
105772,422,46463687,20560752,1989116,6312,0,17180810,15597568,4456448,0
100602,341,46711632,20513278,1843979,5816,0,18344272,15597568,65536,196608
114711,485,46350697,20418722,1875343,6752,0,16988824,14352384,393216,0
124555,578,45529903,20283993,2040947,12138,0,17002812,13500416,393216,131072
104163,335,47293907,20828853,1955774,8709,0,18922822,12713984,589824,0
116653,444,46731253,20566066,1890672,9543,0,16143716,11862016,589824,131072
111537,387,46430766,20262748,1698984,8938,0,19616592,10682368,655360,65536
102492,216,47052048,20592999,1843966,8202,0,18162476,9764864,720896,262144
95811,248,46708902,20377912,1747473,10065,0,19824386,8519680,851968,0
95196,424,46949694,20455041,1838850,10635,0,17457474,7405568,589824,0
9671,14752,8881082,6371857,1927689,2153,0,18669188,9043968,4325376,2883584
107968,13003,33783130,17271690,2230274,8539,0,17497902,14614528,131072,0
107463,861,45149482,20317282,1802724,8266,0,15880446,11534336,655360,65536
102625,327,47782398,21007613,1810678,7420,0,16082689,10813440,196608,0
103768,408,46704392,20489514,1762747,5560,0,16585165,10027008,720896,65536
104754,608,47069169,20567656,1733168,5775,0,16623008,8978432,786432,262144
90994,299,46181151,20249771,1873460,7040,0,17061624,7733248,655360,0
87915,275,47125539,20509423,1783165,6480,0,16329206,7340032,196608,393216
56101,264,21964792,9380445,789885,1645,0,16431890,8126464,2097152,0
15299,387,6704667,5608933,1590986,1087,0,16949706,14548992,5636096,0
52098,4488,20315609,20483738,6255186,12119,0,18586394,14483456,917504,0
155300,5338,39068241,17757587,1735826,9269,0,14125726,14090240,65536,0
110360,373,47040091,20556893,1834519,9392,0,16351988,13631488,196608,131072
120065,450,47342814,20966492,1968503,10875,0,15750690,12779520,262144,0
110402,442,46765416,20556293,1953231,10217,0,15795324,11862016,327680,0
101892,324,46901045,20695392,1979428,10235,0,17841692,11010048,458752,393216
100306,400,47540477,20774056,1838113,9623,0,15831680,9764864,786432,0
94476,418,46601452,20352566,1859219,9963,0,15687524,9371648,262144,65536
141731,356,47294767,20461932,1698511,10051,0,13757576,7602176,458752,0
115997,1344,45475750,20352008,1827604,7991,0,15053792,11206656,589824,0
116830,327,48443374,21236260,1962267,10644,0,15721068,10354688,393216,0
112548,285,48509596,21299003,1690140,7180,0,15189456,9895936,262144,65536
111312,614,46155745,20347387,1793772,7849,0,15253700,9437184,393216,131072
106612,374,47666170,20770248,1750344,10024,0,16505054,8912896,458752,0
106543,374,46835737,20567315,1871024,9200,0,15023972,8454144,327680,0
111429,443,47134039,20621400,1800035,9048,0,15129988,7864320,458752,1507328
29434,100,7993607,3880444,369597,320,0,16026714,9633792,3342336,0
27293,7316,28959286,10641062,685799,5570,0,16172872,8716288,393216,0
35032,7412,58147453,16672972,557747,9904,0,15970300,8388608,393216,1114112
29247,7947,50055953,14753735,548755,12174,0,15923084,9437184,3473408,0
41810,14655,50621438,15493367,548835,12164,0,17079660,10813440,5177344,1572864
251152,1574,54253305,15885724,552983,15837,0,15643308,15138816,4194304,0
111164,6299,46729918,14459554,481389,14629,0,14411832,15138816,327680,0
32925,2742,27546962,10897304,1266287,8494,0,15032280,14614528,131072,0
40852,3692,15353734,17730330,5673435,9825,0,15793924,14024704,262144,65536
113653,21456,32882488,17900317,2667982,15398,0,16081240,13500416,262144,65536
114701,914,45607507,20245001,1992359,11417,0,15905156,9895936,524288,0
