l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
74486,70448,4862647,19391650,16709291,433,0,18236077,4456448,39976960,6946816
87379,66157,4295761,13570737,11404110,396,0,16945568,9764864,77135872,6029312
91773,79784,5544317,20259558,13987056,1651,0,17182516,4390912,62062592,4390912
101523,93941,6065478,21788687,17287950,597,0,16381752,8519680,68288512,0
98366,88957,5769122,21130150,17997259,597,0,18387258,6619136,58785792,0
86191,80031,5277103,18414024,14828358,221,0,17198495,7536640,58458112,0
11387,44,4664984,3230103,1632975,282,0,17264027,8912896,62455808,1310720
66833,63329,3763603,16715156,14887265,835,0,17994090,4849664,59834368,2228224
110722,101653,6116163,21918400,18207465,656,0,17645682,9502720,77070336,1114112
120208,110142,6672688,21881523,17954612,326,0,19165486,2162688,52166656,0
115345,105160,6451760,21486370,18020276,334,0,18650876,3211264,46923776,0
115470,106258,6417317,21785262,18096086,254,0,15623270,3211264,34537472,2752512
117235,107467,6561051,21665692,17925127,251,0,16914464,2424832,31916032,0
116242,106181,6508932,21425749,17951219,292,0,17434446,3014656,28246016,3997696
117754,106072,6484938,21742640,18044246,274,0,18589473,5373952,44630016,6881280
118120,107696,6602507,21268065,17618047,236,0,16817937,3473408,48300032,0
128780,125841,7721529,17284275,12836383,246,0,16363684,1245184,23920640,0
149070,146821,8704762,18929191,13966883,224,0,17083284,983040,18284544,8388608
178238,175483,10483377,18295501,12451291,305,0,16785682,4128768,34013184,0
188423,169623,10436401,18051599,12267349,315,0,16288422,3866624,33554432,8323072
212266,167017,10936707,18217654,12271616,348,0,17370304,6356992,43646976,65536
150398,135980,9945028,14741216,9454673,306,0,16592402,7012352,57671680,4456448
66411,78655,4733780,7595567,5097394,77,0,15423482,7340032,65470464,0
2210,95,3465191,2974117,1722411,223,0,14869216,6946816,55902208,0
116628,90931,8388869,14369208,9944205,1222,0,14995012,5636096,33947648,0
145420,133717,8706728,17017369,11999657,442,0,16278640,10027008,42991616,17301504
184902,149842,9995761,19887435,13976953,407,0,15601132,9568256,65994752,0
193130,159726,10587344,21172481,14845328,341,0,14353442,6881280,48758784,327680
194574,159135,10524675,21162223,14943525,405,0,16803388,7340032,71827456,0
195785,160340,10648447,20971489,14726749,393,0,15632644,6291456,49283072,0
188023,169403,10901546,20883917,14999108,343,0,16557768,6815744,63504384,0
182366,170723,11646124,20229144,14428781,378,0,16042780,3735552,42795008,0
164398,140955,9306801,17948639,12799986,274,0,15957224,7143424,44171264,8716288
165016,147935,9704692,18077564,13043734,308,0,14691870,7471104,65077248,196608
70962,57988,7639527,8960476,4988386,780,0,15467922,6094848,48365568,2621440
77142,58027,8149936,6272363,2310285,128,0,15384588,8585216,66977792,1114112
143410,39990,5001300,5040058,2281287,4969,0,15643444,6946816,55181312,0
131069,126209,8280581,18123530,14354704,2207,0,15051792,983040,19988480,0
175647,162564,10604231,21046655,15194861,547,0,14902176,2686976,24772608,2162688
177406,164658,10738818,20956307,15081837,393,0,15560252,5898240,48496640,6356992
187125,174028,11421000,21538502,15343706,424,0,15876346,5177344,47251456,0
