l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
17888,1630,11280985,11592735,3713819,7216,0,17141756,11993088,1179648,0
42915,9077,19184048,16315359,4461302,11821,0,18371184,11534336,196608,0
103902,330,37526379,15613049,1521231,9536,0,17252620,9568256,1179648,3145728
3074,1340,4790251,1703651,146383,0,0,15920274,12910592,327680,0
18934,11947,1644973,1432618,270828,271,0,15520860,10682368,2555904,0
42550,65226,42830801,14520524,926124,7945,0,19380150,11993088,7274496,786432
41617,40623,42800485,14373342,916502,12131,0,20098705,15138816,1638400,0
42018,35330,46980801,14820035,653541,13754,0,17669380,14548992,65536,65536
37794,36515,45179570,14837699,1231630,11344,0,16402269,14352384,131072,0
38250,8171,52980076,16329680,738694,15369,0,16923608,13959168,65536,0
40095,7142,53563394,15601715,281709,18165,0,17431050,13434880,262144,0
32234,2252,13082514,11767795,3716022,5633,0,17953436,13107200,65536,65536
67257,11121,19469496,17546459,5024572,11763,0,18140656,12845056,327680,65536
108838,889,45937733,20382688,1870469,6309,0,18334918,11993088,196608,0
108223,369,47477901,20708295,1727130,6528,0,15978112,11468800,196608,65536
108317,503,45696653,20237684,1831509,7852,0,16662352,10616832,327680,0
104560,177,47965484,20843457,1779503,9135,0,16645766,10092544,262144,262144
108554,330,46988530,20621226,1881617,8563,0,16445122,9895936,2293760,0
103851,334,47127283,20682644,1841280,8327,0,14800952,10485760,1179648,4063232
111223,244,47209349,20877467,2046496,10070,0,16751856,14680064,9175040,0
91240,244,45563333,19920178,1747597,9293,0,16279472,15597568,458752,0
112125,478,46448483,20268555,1843913,8849,0,15252008,15400960,131072,0
83935,312,47565100,20882074,1815194,8624,0,16661332,15269888,0,0
81550,323,45509246,19764526,1673685,7493,0,16524126,14942208,196608,65536
1290,0,26888,194020,225733,85,0,14769240,14090240,327680,0
35922,619,11763714,14041928,4722191,9755,0,15255704,13565952,0,196608
88161,7958,24797664,17976078,4159459,11771,0,17404104,12779520,327680,0
105435,687,47467087,20695398,1892385,9853,0,16617312,12648448,0,196608
102267,1305,46660048,20397445,1744017,9947,0,14720170,11665408,0,1179648
90920,240,47593893,20572897,1754593,8852,0,17791154,11796480,1835008,0
91315,241,46808294,20548505,2014729,11151,0,16557916,12124160,4259840,2293760
103913,841,45017938,20292145,1973800,10997,0,16269694,15335424,4325376,0
97325,287,47622560,20726830,1719215,13438,0,14669492,15073280,196608,0
88742,148,47388833,20679536,1835944,11209,0,16119948,14942208,0,0
94895,243,46853021,20473819,1772853,11324,0,16585549,14483456,0,0
81368,423,35327330,15121312,1239971,6541,0,15011076,14352384,0,131072
41874,554,6459882,7028302,2381127,1918,0,15367725,13500416,131072,0
44094,4278,17063610,17432704,5418132,10600,0,14941026,13238272,131072,131072
129095,5680,39644935,19151022,2264668,10514,0,16092914,12648448,131072,0
115660,406,46081992,20136908,1777774,8765,0,15149980,12255232,262144,0
130137,465,47388590,20820831,1867965,9305,0,15857516,11927552,196608,131072
133792,371,47514631,20799241,1897923,10548,0,15331366,11534336,458752,0
125206,309,46255865,20299383,1823905,10552,0,16068252,11010048,1507328,131072
127244,570,46494626,20381193,1915081,10806,0,15170404,11599872,720896,720896
91680,456,46601575,20512566,1905281,11433,0,15375716,12189696,4128768,851968
80575,296,47082002,20671091,1868694,11312,0,16639712,14548992,2686976,0
89021,496,46764938,20337916,1686214,11029,0,15890568,14876672,131072,131072
103767,316,46456247,20222604,1811321,10505,0,15499760,14221312,196608,0
38321,11114,6823479,4301636,1443702,1539,0,15128392,12124160,196608,0
112795,4138,34568406,17309528,2084358,11150,0,14945876,11796480,131072,65536
92974,488,46563895,20420295,1946670,13099,0,14690612,11468800,131072,0
97709,384,46305812,20239664,1961391,14702,0,16644416,11010048,262144,65536
97531,408,46596087,20245641,1797141,13407,0,17593018,10420224,196608,0
105885,546,47343944,20818203,1876295,15527,0,15734714,10092544,524288,0
90669,131,46360487,20199427,1742896,13736,0,15424520,10420224,655360,196608
96926,309,46828730,20311602,1664442,12493,0,14392650,10747904,3080192,2293760
98158,522,46615396,20319199,1691423,11836,0,15834278,14221312,3145728,0
79243,173,47209431,20543885,1812318,12588,0,15287932,14090240,65536,0
90987,305,48173883,20885188,1727126,12604,0,17177094,13828096,131072,0
87954,472,46680313,20272412,1703333,11585,0,15519500,13631488,131072,65536
36338,146,21558141,9199305,825124,4717,0,17180534,13303808,262144,0
37744,5403,4632775,3654960,1332225,1567,0,15683576,12582912,131072,65536
52088,2760,20532744,21112226,6739219,15898,0,16598952,12320768,131072,0
153270,6167,37484210,18559692,2445739,12113,0,15839196,12058624,131072,65536
145514,504,46138357,20568559,2070476,13541,0,15926596,11730944,196608,0
154059,699,46769862,20628503,1808100,14369,0,15718400,11337728,327680,0
133707,416,46940561,20625033,1773455,12959,0,16148604,11010048,131072,0
140270,520,45883242,20377584,1882912,13647,0,17122984,11403264,1441792,131072
133325,317,46013720,20392169,1879318,13067,0,17372820,11599872,1507328,1114112
124843,1323,46640828,20567661,1844519,13199,0,13349184,14417920,0,262144
112224,384,46841809,20514734,1965947,13925,0,15864012,12386304,1245184,0
115471,408,46843943,20436749,1898712,14193,0,16890999,12386304,262144,0
39109,161,15412042,6805633,602373,4060,0,16288953,11862016,327680,65536
17716,7197,24367458,7614307,668710,4205,0,14468108,14286848,131072,65536
34411,6349,52708539,15826126,818469,8361,0,16409661,13697024,131072,0
38560,8197,55063441,16472773,782898,10072,0,15868373,13434880,65536,0
41101,10850,51585449,15595061,740003,9973,0,16028580,12255232,589824,131072
40256,6380,54385028,15736280,520023,13674,0,17827008,10420224,720896,0
35444,7193,49296445,14908576,522801,14698,0,16408216,9240576,655360,0
31355,4077,29473627,11201260,1498520,9843,0,17675968,8912896,393216,131072
53381,6349,19921592,20421464,6365183,11768,0,16851224,8257536,393216,0
113111,7134,37871359,17702922,1981896,12279,0,16387622,7995392,65536,0
104370,296,47095707,20782930,1984204,6944,0,15531730,7471104,196608,917504
108527,405,46333404,20540866,1972241,7339,0,16365388,8126464,1441792,0
112371,521,45878703,20300571,1972924,7915,0,15920956,9043968,5439488,2490368
111059,372,49279227,21686548,1921750,10378,0,16533898,13959168,5046272,0
108049,452,46886482,20688653,1956106,8990,0,16414212,14024704,327680,0
110345,451,46595898,20453863,1884839,9725,0,16555978,13041664,262144,0
97116,456,46693832,20667811,1924865,8249,0,16003548,12386304,262144,0
107445,480,46266084,20405975,1847144,8730,0,16809400,11796480,458752,0
113128,656,47467942,20672152,1846582,9407,0,17135824,11468800,262144,0
94019,472,47288240,20328325,1678279,8220,0,15934832,10878976,262144,0
29190,135,11323428,5345698,494736,1015,0,17049788,10616832,262144,0
49918,32,4846752,5955613,1872317,2028,0,16741348,9502720,196608,65536
54425,2696,17406075,20134452,6396776,14402,0,16067832,8650752,393216,524288
118501,5244,37533277,17599076,2051612,9688,0,15745114,7733248,720896,0
105919,762,46847575,20358483,1816252,8488,0,15583152,8781824,2097152,327680
97292,384,46947753,20402909,1822356,9650,0,16024560,9568256,2490368,2752512
101139,440,47069289,20532795,1922178,8378,0,16718306,13762560,6160384,0
111081,795,46441479,20397084,1838227,9436,0,17262852,13434880,851968,0
97429,268,46916949,20438109,1720409,10278,0,16087778,13107200,262144,0
97935,280,46914145,20340458,1684605,10521,0,16502978,12779520,131072,65536
103182,615,46617257,20529158,1720769,9896,0,16584192,12582912,327680,0
101032,302,47300665,20644437,1832085,6668,0,16345132,12189696,196608,0
98078,230,47711923,20771140,1697373,9007,0,16646220,11534336,196608,196608
100535,335,46338583,20258332,1707056,10187,0,15643192,11010048,262144,65536
34472,367,14984099,6454289,662085,1191,0,16598912,10354688,393216,0
43546,484,4915911,5594145,1738580,1907,0,15893802,9306112,65536,131072
50534,3967,19795587,20103942,6225703,13774,0,15816124,8978432,196608,65536
127117,5710,40913824,18497045,1730764,10826,0,15433852,9633792,2293760,589824
106321,550,47037852,20698331,1790522,10269,0,17926647,10420224,4128768,524288
106373,493,46615791,20371503,1856520,11308,0,15639048,13959168,3801088,0
97201,360,46606529,20530459,1840939,9545,0,18026676,13959168,524288,0
110399,496,46070565,20479357,1990862,11470,0,18600715,13434880,327680,0
110504,664,46630495,20398084,1819356,9838,0,16148262,12910592,196608,0
100705,352,47508271,20680958,1790405,10343,0,18385040,12320768,196608,65536
98511,496,46723463,20643060,1913037,10852,0,15363422,11862016,327680,0
107465,440,46889814,20466093,1753325,12066,0,16775612,10878976,262144,65536
107998,554,46592363,20167169,1869953,10491,0,18281884,9371648,917504,65536
101271,352,46655133,20236680,1774304,12033,0,17408690,9109504,327680,0
29702,146,14947155,6506221,667644,2511,0,15242844,8650752,327680,0
33775,563,10850011,12734624,4476432,7744,0,16785296,7798784,2621440,0
81562,6634,20877561,17716287,5009543,12107,0,17358244,9043968,1703936,851968
108125,1008,45822710,20215156,1936000,12457,0,15919616,11927552,6946816,0
98192,344,48059904,20923195,1771346,14439,0,16773608,14024704,1114112,0
88021,234,46277488,20155327,1727485,10640,0,17186988,13959168,131072,65536
97072,516,45875674,20249850,1825528,11790,0,17413574,13500416,262144,0
92399,378,47102546,20765323,1877418,7008,0,16117132,13434880,65536,0
94113,262,48535661,21103982,1786193,9564,0,15321408,13107200,131072,0
96826,377,46401718,20289538,1697659,8368,0,18247020,12713984,131072,0
105198,519,46970131,20484555,1741261,8291,0,16572780,12386304,131072,0
