category,swaptions,canneal,SP,streamcluster
runtime,61.81090712547302,70.34290933609009,157.22530961036682,172.8905384540558
l2miss,1273371864.4067795,2039087316.149395,3989237157.2097864,645969140.7603214
l3miss,26239067.79661017,1145271333.5086796,2317474343.6511436,533892198.39309937
instructions,11085114276686.441,63959022494.47659,158260774212.50952,38005093327.43209
cycles,7010546340101.695,229783373027.88007,101650197414.04716,83548378316.85855
stall_cycles,1686720581262.7117,184535821295.10785,40310966934.008736,62767046819.48454
intra_coh,898325720.3389829,5213507.1015255125,432507.38797901734,45575009.5648847
inter_coh,4906.779661016949,29.458179905312992,23.385256076562687,20.83405794581058
wall_cycles,23991530466.101696,28143247370.3314,12655747775.317343,11372160538.172586
llc_size,462639728.81355935,38225793952.6565,34650386646.69844,12744015539.77253
local_mem,125518101.69491525,52686910485.00789,180350920398.19006,27599475129.2129
remote_mem,40543457.62711865,6306555825.355076,8784093997.196972,1683181755.6258912
