l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
430334473,257563953,18101747926,11444622458,4418988541,62244,3,16209600,31588352,138674176,25296896
1149064,470045,24854650,21601608,10300410,1,0,18224692,30081024,186974208,0
1191978,468232,25180408,21811333,10361406,3,0,17422628,30343168,131792896,0
1194035,467470,25153384,21538935,10198309,0,0,16210904,35258368,281018368,52035584
1153310,456375,23705857,20981188,10040797,0,0,16348550,32374784,208011264,0
1156593,460234,25432475,21301520,10029059,1,0,15739228,31916032,140312576,5832704
1103242,452418,25031306,21145539,10043273,0,0,16235696,30670848,180224000,0
1153598,475401,25574466,21176000,10002872,0,0,16817300,31850496,157155328,0
1137483,442610,24266715,21219355,10074941,0,0,14998284,35454976,145424384,5963776
1128440,446342,24062111,20941328,9936111,0,0,15820500,31260672,159121408,0
1100688,445591,24235531,20911159,10039436,1,0,16901564,32243712,148111360,1572864
1133516,477389,25614037,21246679,9790112,0,0,16484472,29753344,121176064,0
1202543,477996,25951535,22083271,10331106,0,0,16521920,30146560,164691968,77398016
1143127,456848,24814986,21660570,10221945,0,0,16380348,31588352,271515648,524288
1142166,452227,24677238,21235676,10151477,6,0,15676902,29622272,253558784,10289152
1174435,455767,25227261,21569289,10107910,0,0,15885236,37093376,347078656,15335424
1121163,444746,24277641,21075362,10105226,0,0,17336576,41156608,347734016,0
1155905,447307,24523259,21049381,9941859,2,0,16153398,37158912,378470400,12976128
1145613,458393,25285370,21527899,10052989,0,0,16975200,38469632,370606080,0
1143215,449472,24882829,21268780,9931005,0,0,16118532,35782656,278659072,0
1155908,455884,24851762,20995100,9868367,0,0,15241592,41025536,190644224,11272192
812609,349527,24211916,21557732,10455101,261,0,15354960,35520512,218693632,17235968
1220426,488323,23072700,21743956,11640548,3,0,15830744,36110336,224329728,0
1161856,479007,22795278,20834804,11344074,1,0,16365588,40304640,215351296,0
1215207,482324,23458574,21415337,11561029,0,0,16680147,33947648,216465408,393216
1166106,477252,23213429,21260028,11469520,2,0,15865037,35651584,236453888,6160384
1167219,477890,22913698,21213342,11548575,2,0,16526024,34603008,214958080,22544384
1220288,405629,24118059,21578454,11671289,2,0,15852964,38535168,290914304,4521984
1138698,465466,22091877,21210004,11107384,0,0,14612808,41549824,319160320,0
1169097,479178,22823508,21127699,11266824,1,0,15659888,39190528,287506432,0
1135655,468465,22596186,20775914,11223554,0,0,15638116,39321600,310509568,33161216
1129116,469503,23151608,21560345,11851260,0,0,16243778,38535168,335872000,0
1210598,495583,24090927,21629345,11437982,0,0,15834706,36962304,286523392,44957696
1248709,528359,25385380,21485239,10955600,0,0,16439816,41484288,364511232,524288
1131507,456273,22362724,21344010,12016910,0,0,16477838,38010880,362741760,0
1175029,474469,23214390,21979988,12137449,0,0,16154190,33816576,140836864,10158080
1116735,454084,22165891,20960644,11661080,0,0,16077270,37879808,134414336,0
1096257,452785,22590105,20895968,11382919,16,0,15670588,32702464,160038912,13434880
272143,488098,31550360,21396817,8501361,341,0,16088990,32833536,163315712,0
645144,646874,33103661,21268236,10113535,1,0,16399248,32702464,185794560,2752512
