l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
769749,13675,20489342633,11857779415,2514670032,268434,0,14077156,458752,0,0
824875,16619,20171806469,12176995857,2757126152,300934,0,15373564,458752,0,65536
853276,16476,19690772040,12460419289,2992516425,290472,0,14716504,393216,0,0
947481,18497,20325796861,12885431925,3097540894,340325,1,15117008,458752,0,0
817820,20100,19902143447,12617805633,3028469642,237511,0,16256116,458752,0,0
785832,19430,19963313475,12657526297,3036838779,214560,0,15427532,458752,0,0
834285,19898,20112465373,12753412688,3059520280,228985,0,15642050,524288,0,0
692873,16376,20165707579,12700259356,3034652837,183861,0,13972504,917504,0,0
750525,18010,20350576073,12830537487,3068133586,231919,0,15920440,851968,0,0
717118,17931,20593823007,12968119666,3098328474,190850,0,15812434,917504,0,0
792716,19796,20391003825,12837995057,3070457109,219236,3,15784634,655360,0,0
776643,19971,20460693768,12938776724,3102213832,211507,0,15622554,589824,65536,0
757524,19121,20493347767,12916912570,3090746115,207002,0,14244796,589824,0,0
712992,16254,20429861888,12902332330,3091748998,216361,1,17628872,458752,0,0
663263,16971,20225510108,12748867415,3051306333,197275,1,18092384,458752,0,0
747011,18862,20376250430,12850375366,3078984482,223785,0,14845618,327680,0,0
838669,17129,20556077927,12960562103,3104176814,287217,3,16495384,458752,0,0
802747,17285,20004082126,12724507583,3058742346,249282,0,16892704,393216,0,0
899278,28709,20445737204,12895711382,3087376877,284500,0,15396348,589824,0,0
894579,27639,20249077266,12778626732,3059662779,284926,0,16423683,655360,0,0
878151,25258,20274069475,12811586536,3068194278,275410,0,16490188,655360,0,0
721683,17245,20567953508,12971851900,3102590717,206355,0,16769292,524288,0,0
686916,15982,20413259151,12892700018,3085360727,189331,1,14636266,458752,0,0
708349,17125,20474798928,12928131478,3095727703,235750,0,15525844,524288,0,0
681063,16722,20264818223,12858272119,3088033175,219319,0,15113388,393216,0,0
662842,14220,20297521932,12812335947,3069864992,223066,0,16914924,262144,0,0
677919,16316,20453542584,12906239961,3090829041,229508,0,13371188,262144,0,0
724810,16864,20174030801,12717093787,3042055258,211732,3,24109892,262144,65536,0
716347,17383,20329155321,12815511682,3066332201,219849,0,43498088,196608,65536,131072
1009467,53052,25932877107,16381039144,3920275604,279060,11,40341666,327680,262144,0
1946972,171440,49906711869,31446856628,7517167434,541276,34,26008032,458752,65536,0
1855838,181058,49972083910,31491913215,7536384170,548631,46,30460844,720896,589824,0
4655,418,129966590,82199018,19654565,0,0,30211186,393216,327680,65536
1819012,175908,50002435054,31514404626,7546840662,521656,27,32158752,393216,196608,262144
4400,529,118789257,74860338,17933343,987,0,39162508,327680,393216,65536
1768486,157880,47895005400,30198272164,7229999066,608662,74,36104484,589824,1048576,327680
2207703,201306,57670206656,36372577707,8705502164,771008,80,28967086,917504,589824,0
7438,660,185881858,117077558,28006765,1912,0,53761180,720896,655360,0
2204077,207937,51322088249,32393692460,7761336981,644296,35,65155698,786432,327680,262144
2249437,181623,49691739224,31379262290,7522959561,774176,22,28260444,720896,262144,0
2559418,179594,52953000355,33418865142,8010165512,883002,39,30662548,589824,0,196608
5422,984,117315962,74854541,18506286,1187,0,29477078,589824,327680,0
2145581,150898,46889070606,29596418614,7092788756,752346,38,28537834,393216,327680,131072
2052825,161442,47546522708,30038337828,7203764029,670494,29,48029198,524288,393216,65536
1972179,162654,46299174155,29247840774,7014634989,629651,21,24790832,327680,458752,196608
2471120,199830,57672853409,36378578576,8714429796,874952,49,25133668,524288,131072,65536
2219588,178906,51295071371,32318407532,7730892519,805875,18,23915800,262144,196608,0
94686163,187702,33069832847,23759744794,6963819865,85384715,43,19257242,524288,65536,0
57549,170,2542783,3879399,2125155,57282,0,18787838,458752,0,0
54202,75,2463108,3836786,2114887,56644,0,20508906,458752,0,196608
56575,183,12587996,12051927,2291821,72196,0,26629032,458752,196608,0
60370,53,14108234,13138284,2291664,93111,0,29320824,458752,0,0
59998,87,13569235,12678852,2240323,81658,0,17788383,458752,0,65536
51819,158,12979430,11588298,3968987,67069,0,18271533,524288,65536,0
58831,79,13674349,11613597,4423905,78040,0,17696574,589824,131072,0
52842,128,13644649,11624665,4406930,62582,0,25965635,458752,0,0
56475,94,13583742,11782083,4299664,58112,0,19299807,458752,0,0
68323,58,13538496,12586396,4211107,56581,0,25955614,458752,65536,65536
75049,31,13411203,12561711,4260084,55840,0,26757150,393216,393216,327680
86561,88,13573601,12622457,4236759,57276,0,71317650,589824,786432,0
65234,427,13367029,12405485,4443262,56002,0,79483374,458752,196608,65536
74523,39,13796876,12819611,4470093,59243,0,39879794,327680,131072,0
58249,59,13598374,12588744,4449633,55460,0,18444308,458752,65536,0
79965,83,5479360,11514016,4389481,50038,0,17612242,458752,131072,0
105352,260,3059532,11561213,4410486,49846,0,18288648,458752,0,0
195924,243,8055106,25705715,11862816,163082,0,16676361,458752,196608,65536
97624,225,4271461,6647677,5770010,85737,0,26321099,458752,131072,0
76850,8,3202463,5283816,4456659,71153,0,37619168,327680,131072,0
82106,40,3288923,5523831,2782576,71261,0,24557684,458752,0,65536
75802,113,2925989,5167126,2498779,65045,0,24155108,393216,65536,0
73250,32,3108028,5302250,2507979,64067,0,15573692,393216,131072,0
77326,205,16621242,15334134,2270945,61521,0,16500806,393216,65536,0
55227,62,15593714,14542670,1957923,58122,0,18081418,393216,0,0
56358,120,15672922,14381224,1759422,51843,0,32926442,458752,65536,65536
63016,181,14650484,12850397,4561327,59776,0,24448712,524288,131072,0
57261,65,15559131,12983886,5072307,49752,0,25751286,458752,65536,65536
56084,55,16134769,13493380,5264517,46989,0,19249834,524288,65536,0
56924,136,14705871,12867056,4795293,55984,0,29031946,458752,131072,131072
65831,140,14432290,13376149,4665701,56645,0,20171664,393216,131072,0
64069,60,14235541,13231689,4605074,56809,0,18313652,393216,65536,262144
61640,64,14074477,13216837,4705987,53659,0,37314668,458752,327680,0
56204,19,14304300,13306772,4725894,58627,0,19477120,458752,65536,0
215125,156,38821144,41860367,15405041,181518,0,18713252,458752,65536,0
69063,28,3020785,12088769,4800405,56028,0,18224768,458752,0,0
62672,10,3118814,11592541,4444023,50565,0,35588438,393216,65536,0
59426,13,2819134,4813075,4346216,51269,0,18205953,327680,131072,65536
60012,7,2749522,4558484,4371475,50749,0,19810880,393216,196608,0
59482,47,2465211,4614131,4445441,52150,0,46170365,458752,65536,0
63065,67,3324611,4303377,2841203,55776,0,18687224,393216,0,65536
58676,27,3576926,3986370,2178764,53614,0,19360488,458752,131072,0
58306,40,3330500,3742300,1954910,52846,0,20200710,458752,0,65536
59175,98,13874812,12481170,1794775,52685,0,30725936,393216,65536,0
57409,96,15371745,14245068,1927937,59105,0,17676386,327680,65536,0
59397,78,15433993,14218133,1976969,65109,0,17857224,393216,65536,327680
53721,84,15414213,13932983,4174291,60528,0,21657588,393216,393216,0
53601,57,15279912,12821629,5028356,56407,0,17779434,458752,65536,0
59978,147,15695066,13299892,5357897,64917,0,20082298,262144,65536,0
65337,133,16747363,14122891,5278403,52478,0,18198078,327680,65536,0
73748,98,14434501,13453175,4737661,58374,0,17950558,327680,0,65536
71847,77,14518958,13391148,4697864,56235,0,16882152,393216,65536,0
69771,101,14500634,13697991,4991068,53657,0,23474334,393216,0,0
57239,11,13641943,12596961,5091241,58439,0,19465682,327680,65536,0
52912,243,14002513,12977939,5206826,61939,0,24791468,327680,0,0
