l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
3045049,1080318,5834904415,2467499132,93562026,0,0,104669603,39583744,10485760,14090240
303492227,74024802,56603368461,34558963352,11380234980,1025105,38,22879464,41287680,65798144,16056320
306776,63272,24642161,13774563,4270867,60894,6,22632692,41156608,17694720,0
361911,33728,28778663,14607350,3550614,56829,0,64643708,41156608,6619136,0
365002,13093,29569594,14437964,3186201,33449,0,23903988,41222144,23003136,524288
140542,38532,23147063,14202306,3934471,194,0,50669848,41156608,13041664,4915200
133904,63641,15724967,14001125,5161340,44,0,73904670,41156608,29491200,0
127454,60590,14894018,13753111,5167948,100,0,24624850,41091072,24313856,0
186642,63773,15490947,13776863,4884312,419,0,53550718,41222144,7602176,0
129771,52829,17544744,14141747,5383941,166,0,49219274,41418752,43384832,0
120549,59791,17706831,14026161,6478872,232,0,21044450,41353216,851968,3538944
150463,53705,13547540,14133063,6099922,8,0,19193748,41287680,10092544,0
127964,56798,13971333,13110035,9029270,0,0,20862832,41287680,19726336,4784128
130664,75774,12259375,13676611,6031344,0,0,32591012,41287680,11665408,0
124773,77128,11677651,13771024,5355347,0,0,21383328,41222144,17039360,6684672
115142,70172,11734785,13423875,6354337,0,0,65677608,41353216,11272192,0
115903,61168,14943933,13795325,6628656,0,0,58993804,41156608,6291456,0
128525,65618,15826048,13605821,6984878,96,0,25794276,41091072,32571392,4718592
145405,67518,17478591,14666360,7999500,0,0,85882504,41287680,21037056,0
166543,88063,17657777,16287625,9091947,3,0,50818638,40960000,196608,9764864
153636,107716,17920242,16568314,8466875,24,0,53679222,40370176,23789568,0
147923,108921,16981345,16586036,8964675,4,0,44179718,40370176,2359296,524288
134072,102470,15977927,16207037,8760531,4,0,38841496,40435712,11468800,7077888
175282,106258,21425292,16505653,6861238,7,0,50380970,40239104,20381696,0
220092,123934,23523014,16711774,6431041,10,0,43629680,40501248,14221312,0
186467,86183,22135577,15719505,6239698,11,0,21486580,40697856,524288,0
129589,92677,20787400,16090385,6423272,9,0,19039320,40828928,5636096,3538944
135779,114355,18004540,17408183,6730029,33,0,31933042,40828928,4980736,0
116122,109406,18392332,16651149,5829711,378,0,29668982,40828928,2424832,4456448
113200,78347,17099992,15769795,5571341,0,0,24609672,41025536,8388608,0
172465,91046,16883766,16411132,5671855,836,0,20179720,41025536,5177344,0
182233,107154,14205479,16305735,5846184,261,0,35207548,41025536,11337728,19005440
168088,89258,10504298,16104831,6203274,0,0,18445008,41287680,48562176,0
155125,89426,15151999,16304307,6952570,2,0,20179052,41287680,15269888,0
189991,217974,12459130,15647338,8658228,704,0,19954200,41418752,20643840,0
217361,161091,20141547,16197249,9055273,0,0,20446148,41287680,48562176,4849664
207056,83041,31371488,17080191,8477664,0,0,34190216,41418752,36700160,0
201349,56998,34388453,17670964,9710597,7,0,24571392,41287680,31457280,720896
154578,45206,31513660,16621080,8879862,0,0,22762076,41353216,29229056,15925248
177699,62750,29762469,17586080,4280255,14,0,49278140,41287680,36569088,0
171965,59322,29958883,17254189,3853546,0,0,34379768,41287680,5373952,0
167265,54476,26507930,16374104,3914754,0,0,35025340,41353216,589824,4653056
156269,48978,27371429,16967785,4687917,2,0,20918832,41156608,14811136,0
160449,44242,29337186,16947542,4749724,1,0,26460056,41156608,5242880,0
163906,48579,27037166,16665138,4983486,0,0,20471628,41156608,3866624,589824
151865,42496,25450853,16736414,5869580,0,0,29068864,41156608,2228224,786432
170692,61045,33251416,17426141,5189970,0,0,18886338,41156608,7340032,18284544
174759,71773,31000954,17412147,5590855,0,0,30035722,40304640,24444928,0
166824,61653,29768923,16527358,5379278,0,0,22955224,40370176,12845056,0
