l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
1558148,34241,35909910780,21041877652,4553863503,573815,0,26144926,917504,65536,65536
3487359,219066,69131073146,43669186375,10480480283,1198149,87,21069518,655360,0,0
9600,1339,191524472,120922751,29038515,2600,0,49736043,720896,0,0
2453353,165934,46607080789,29405094907,7036166892,719720,32,23736664,655360,0,0
1864,136,34303552,21648401,5199004,649,0,18960392,655360,65536,0
1225,199,34486140,21718956,5206587,880,0,21910060,655360,0,0
2400,115,35097693,21616268,7231414,878,0,36239940,917504,65536,0
2070,116,34880240,21671189,4929974,182,0,94780424,655360,0,0
1954,159,34275156,21467211,5025994,234,0,33166982,655360,0,0
776,79,34186825,21427340,5121044,733,0,19708828,589824,65536,0
4292,1005,30951677,19448964,7183505,2125,0,18275942,524288,0,0
8331,302,114547798,71550094,16311091,2124,0,21154528,655360,0,131072
2552,151,34039566,21409021,4935070,615,0,24027644,786432,0,0
1928,129,34070619,21385517,5124501,604,0,32379559,655360,0,0
2487,140,40343518,24789545,8112376,706,0,22604908,720896,0,0
2421,126,34352020,21583873,4966243,0,0,22408686,655360,65536,65536
2803,184,48732558,30724552,7079274,524,0,19640776,458752,131072,65536
2436,144,37761428,23799605,5711692,619,0,20188502,655360,65536,65536
11379,412,202246032,125360959,28608777,3866,0,22306984,720896,0,0
3063,174,67168243,42324787,10029569,980,0,26486740,786432,65536,0
2424,110,66494342,41984602,10057424,656,0,26384148,786432,0,0
9846,550,153952488,95455093,21727695,1553,0,18845980,786432,0,65536
6450,432,105116232,66337320,15735283,1753,0,20244974,720896,0,0
4781,182,105003229,66386116,15918448,1503,0,30082224,720896,0,0
5645,239,110207062,67028680,21912093,1682,0,30682438,720896,0,0
2720,184,35040400,21510625,4761289,604,0,36717240,720896,0,0
7490,397,141916754,89658859,21073615,5450,0,19273848,720896,0,0
4989,424,105046008,66299471,15872849,1833,0,19851574,720896,0,65536
2879,263,38993574,24001397,8094173,617,0,22820540,786432,0,0
2633,243,39173261,24386088,5576666,400,0,40347746,720896,0,0
1842,181,38216325,24206520,5785722,555,0,19584228,720896,0,0
1919,133,38667397,24435009,5872615,481,0,70207228,786432,0,0
7683,388,110641954,67295096,22136647,3245,0,29277316,655360,65536,65536
6407,339,106224624,66506930,15141779,1159,0,24658128,851968,131072,65536
1746,173,34510862,21760904,5040186,221,0,37521168,720896,0,0
3731676,179863,73414307036,46356318843,11095183219,1126144,143,29305168,720896,0,65536
2205,141,34430520,21678061,5178204,477,0,21788236,786432,0,0
1208,40,34396624,21664225,5190293,448,0,19192498,851968,0,65536
872,12,34244722,21557133,5158137,422,0,26301924,851968,0,0
1061,47,27903201,21154907,5068195,314,0,22695516,851968,0,0
2154,0,23872253,20877224,4971712,559,0,29184140,851968,0,0
